plan_a,seed_a,plan_b,seed_b,K,distance_a,distance_b,relative_cost_gap,route_len_profile_gap,route_delivery_profile_gap,exact_route_len_multiset_match,delta_frac,mean_extra_units_a,mean_extra_units_b,abs_mean_extra_units_gap,p_need_two_a,p_need_two_b,abs_p_need_two_gap,p_need_at_most_one_a,p_need_at_most_one_b,abs_p_need_at_most_one_gap,p_zero_a,p_zero_b,abs_p_zero_gap,mean_absorbed_workload_frac_a,mean_absorbed_workload_frac_b,abs_mean_absorbed_workload_frac_gap,mean_residual_workload_frac_a,mean_residual_workload_frac_b,abs_mean_residual_workload_frac_gap,both_sub_mean_extra_units_a,both_sub_mean_extra_units_b,abs_both_sub_mean_extra_units_gap,both_sub_p_need_two_a,both_sub_p_need_two_b,abs_both_sub_p_need_two_gap,both_sub_p_need_at_most_one_a,both_sub_p_need_at_most_one_b,abs_both_sub_p_need_at_most_one_gap,both_sub_p_zero_a,both_sub_p_zero_b,abs_both_sub_p_zero_gap,both_sub_mean_absorbed_workload_frac_a,both_sub_mean_absorbed_workload_frac_b,abs_both_sub_mean_absorbed_workload_frac_gap,both_sub_mean_residual_workload_frac_a,both_sub_mean_residual_workload_frac_b,abs_both_sub_mean_residual_workload_frac_gap
0,0,2,1,7,1246180.0,1235689.0,0.008490000315613394,1.7142857142857142,6.085714285714297,0,0.2,1.619047619047619,1.4761904761904763,0.1428571428571428,0.6190476190476191,0.47619047619047616,0.1428571428571429,0.38095238095238093,0.5238095238095238,0.1428571428571429,0.0,0.0,0.0,0.22219633560067942,0.33647909030029094,0.11428275469961152,0.7778036643993205,0.663520909699709,0.11428275469961147,1.8666666666666667,1.6666666666666667,0.19999999999999996,0.8666666666666667,0.6666666666666666,0.20000000000000007,0.13333333333333333,0.3333333333333333,0.19999999999999998,0.0,0.0,0.0,0.18655438327923987,0.2713388066216552,0.08478442334241534,0.81344561672076,0.7286611933783448,0.0847844233424152
0,0,4,2,7,1246180.0,1245950.0,0.00018459809783699185,0.0,3.17142857142858,1,0.2,1.619047619047619,1.619047619047619,0.0,0.6190476190476191,0.6190476190476191,0.0,0.38095238095238093,0.38095238095238093,0.0,0.0,0.0,0.0,0.22219633560067942,0.23606421990940768,0.013867884308728262,0.7778036643993205,0.7639357800905925,0.013867884308727985,1.8666666666666667,1.619047619047619,0.24761904761904763,0.8666666666666667,0.6190476190476191,0.24761904761904763,0.13333333333333333,0.38095238095238093,0.2476190476190476,0.0,0.0,0.0,0.18655438327923987,0.23606421990940768,0.04950983663016781,0.81344561672076,0.7639357800905925,0.0495098366301675
0,0,6,3,7,1246180.0,1239200.0,0.0056326662362814715,1.7142857142857142,2.599999999999995,0,0.2,1.619047619047619,1.5238095238095237,0.09523809523809534,0.6190476190476191,0.5238095238095238,0.09523809523809523,0.38095238095238093,0.47619047619047616,0.09523809523809523,0.0,0.0,0.0,0.22219633560067942,0.2720193443571416,0.04982300875646217,0.7778036643993205,0.7279806556428584,0.04982300875646206,1.8666666666666667,1.7333333333333334,0.1333333333333333,0.8666666666666667,0.7333333333333333,0.13333333333333341,0.13333333333333333,0.26666666666666666,0.13333333333333333,0.0,0.0,0.0,0.18655438327923987,0.23016355562362886,0.04360917234438899,0.81344561672076,0.7698364443763713,0.04360917234438866
0,0,8,4,7,1246180.0,1229294.0,0.013736339720197121,1.7142857142857142,11.028571428571434,0,0.2,1.619047619047619,1.4761904761904763,0.1428571428571428,0.6190476190476191,0.47619047619047616,0.1428571428571429,0.38095238095238093,0.5238095238095238,0.1428571428571429,0.0,0.0,0.0,0.22219633560067942,0.26562388247676755,0.04342754687608813,0.7778036643993205,0.7343761175232325,0.043427546876087963,1.8666666666666667,2.0,0.1333333333333333,0.8666666666666667,1.0,0.1333333333333333,0.13333333333333333,0.0,0.13333333333333333,0.0,0.0,0.0,0.18655438327923987,0.16841925596839802,0.018135127310841853,0.81344561672076,0.831580744031602,0.018135127310841992
0,0,10,5,7,1246180.0,1248490.0,0.0018536647996276621,1.7142857142857142,10.800000000000008,0,0.2,1.619047619047619,1.4761904761904763,0.1428571428571428,0.6190476190476191,0.47619047619047616,0.1428571428571429,0.38095238095238093,0.5238095238095238,0.1428571428571429,0.0,0.0,0.0,0.22219633560067942,0.26841971815810495,0.04622338255742553,0.7778036643993205,0.731580281841895,0.04622338255742542,1.8666666666666667,2.0,0.1333333333333333,0.8666666666666667,1.0,0.1333333333333333,0.13333333333333333,0.0,0.13333333333333333,0.0,0.0,0.0,0.18655438327923987,0.17137003726995825,0.015184346009281618,0.81344561672076,0.8286299627300417,0.015184346009281757
0,0,12,6,7,1246180.0,1236966.0,0.007448870866297053,1.4285714285714286,7.828571428571439,0,0.2,1.619047619047619,1.4761904761904763,0.1428571428571428,0.6190476190476191,0.47619047619047616,0.1428571428571429,0.38095238095238093,0.5238095238095238,0.1428571428571429,0.0,0.0,0.0,0.22219633560067942,0.33944059475270716,0.11724425915202774,0.7778036643993205,0.6605594052472927,0.11724425915202774,1.8666666666666667,1.6666666666666667,0.19999999999999996,0.8666666666666667,0.6666666666666666,0.20000000000000007,0.13333333333333333,0.3333333333333333,0.19999999999999998,0.0,0.0,0.0,0.18655438327923987,0.2735415331178627,0.08698714983862285,0.81344561672076,0.7264584668821372,0.08698714983862277
0,0,14,7,7,1246180.0,1254971.0,0.00705435811840986,1.1428571428571428,3.4857142857142875,0,0.2,1.619047619047619,1.4761904761904763,0.1428571428571428,0.6190476190476191,0.47619047619047616,0.1428571428571429,0.38095238095238093,0.5238095238095238,0.1428571428571429,0.0,0.0,0.0,0.22219633560067942,0.28234402276803305,0.060147687167353636,0.7778036643993205,0.7176559772319668,0.060147687167353636,1.8666666666666667,1.6666666666666667,0.19999999999999996,0.8666666666666667,0.6666666666666666,0.20000000000000007,0.13333333333333333,0.3333333333333333,0.19999999999999998,0.0,0.0,0.0,0.18655438327923987,0.2398907968060476,0.053336413526807736,0.81344561672076,0.7601092031939524,0.053336413526807624
0,0,16,8,7,1246180.0,1239020.0,0.005778760633403819,1.4285714285714286,8.057142857142868,0,0.2,1.619047619047619,1.4761904761904763,0.1428571428571428,0.6190476190476191,0.47619047619047616,0.1428571428571429,0.38095238095238093,0.5238095238095238,0.1428571428571429,0.0,0.0,0.0,0.22219633560067942,0.3029177897475214,0.08072145414684201,0.7778036643993205,0.6970822102524786,0.08072145414684184,1.8666666666666667,2.0,0.1333333333333333,0.8666666666666667,1.0,0.1333333333333333,0.13333333333333333,0.0,0.13333333333333333,0.0,0.0,0.0,0.18655438327923987,0.20495250613168295,0.018398122852443077,0.81344561672076,0.795047493868317,0.018398122852443022
0,0,18,9,7,1246180.0,1247055.0,0.0007021457574347205,0.8571428571428571,3.914285714285718,0,0.2,1.619047619047619,1.619047619047619,0.0,0.6190476190476191,0.6190476190476191,0.0,0.38095238095238093,0.38095238095238093,0.0,0.0,0.0,0.0,0.22219633560067942,0.18207302402112177,0.04012331157955765,0.7778036643993205,0.8179269759788781,0.04012331157955762,1.8666666666666667,2.0,0.1333333333333333,0.8666666666666667,1.0,0.1333333333333333,0.13333333333333333,0.0,0.13333333333333333,0.0,0.0,0.0,0.18655438327923987,0.1395236820844878,0.047030701194752084,0.81344561672076,0.8604763179155122,0.04703070119475217
0,0,20,10,7,1246180.0,1249913.0,0.0029955544142900707,0.8571428571428571,6.7428571428571376,0,0.2,1.619047619047619,1.4761904761904763,0.1428571428571428,0.6190476190476191,0.47619047619047616,0.1428571428571429,0.38095238095238093,0.5238095238095238,0.1428571428571429,0.0,0.0,0.0,0.22219633560067942,0.26353269985568273,0.04133636425500331,0.7778036643993205,0.736467300144317,0.04133636425500342,1.8666666666666667,2.0,0.1333333333333333,0.8666666666666667,1.0,0.1333333333333333,0.13333333333333333,0.0,0.13333333333333333,0.0,0.0,0.0,0.18655438327923987,0.15700443418668142,0.029549949092558453,0.81344561672076,0.8429955658133185,0.02954994909255848
