plan_id,seed,split_level,K,distance,solve_time,recovery_rate_d0.05,mean_absorbed_customer_frac_d0.05,mean_absorbed_workload_frac_d0.05,mean_full_absorption_delta_d0.05,recovery_rate_d0.1,mean_absorbed_customer_frac_d0.1,mean_absorbed_workload_frac_d0.1,mean_full_absorption_delta_d0.1,recovery_rate_d0.2,mean_absorbed_customer_frac_d0.2,mean_absorbed_workload_frac_d0.2,mean_full_absorption_delta_d0.2,recovery_rate_d0.4,mean_absorbed_customer_frac_d0.4,mean_absorbed_workload_frac_d0.4,mean_full_absorption_delta_d0.4
10,3,1,7,1386725.0,3.954136848449707,0.0,0.11110944377751099,0.0993854546371498,nan,0.14285714285714285,0.3690726290516207,0.3380896282255162,10286.0,0.14285714285714285,0.522218887555022,0.49343080750585483,10286.0,0.14285714285714285,0.6592186874749899,0.5874683276854453,10286.0
11,3,2,8,1410567.0,3.9786276817321777,0.0,0.08576242997198878,0.07440985462987901,nan,0.125,0.37613795518207277,0.31121669426750986,10286.0,0.25,0.5465248599439776,0.5142514296448928,18711.5,0.25,0.7141544117647058,0.6669621131578032,18711.5
12,4,0,6,1367047.0,7.823644161224365,0.0,0.10227272727272728,0.06865721764369756,nan,0.0,0.17476851851851852,0.1022079563072082,nan,0.0,0.3033150128738364,0.2114882695716845,nan,0.0,0.42380917013269953,0.3193168200218914,nan
13,4,1,7,1417981.0,7.827726364135742,0.14285714285714285,0.2541872809729953,0.223267333782079,0.0,0.14285714285714285,0.3155019583591012,0.2583212242030647,0.0,0.14285714285714285,0.4734871221215759,0.371523777083596,0.0,0.14285714285714285,0.5895486982671857,0.5247562368309389,0.0
14,4,2,8,1443770.0,7.833544969558716,0.25,0.3519593253968254,0.3299169254067823,1058.5,0.25,0.40674603174603174,0.3599182124147243,1058.5,0.25,0.5667002217553688,0.4888776152737776,1058.5,0.375,0.6749460200746966,0.6226270895002012,36661.333333333336
15,5,0,6,1367936.0,5.602749347686768,0.0,0.10399304857509191,0.0753579144479183,nan,0.0,0.1400595964063456,0.08809429234672261,nan,0.0,0.2410973958961575,0.14274898824645035,nan,0.0,0.4252931794727461,0.30910914118055394,nan
16,5,1,7,1392855.0,5.6086626052856445,0.14285714285714285,0.25017585981761126,0.2304144809933693,2117.0,0.14285714285714285,0.2919125544954824,0.24644470549972922,2117.0,0.14285714285714285,0.3798150839283081,0.30932052440989377,2117.0,0.14285714285714285,0.559501695415008,0.4644672996029365,2117.0
17,5,2,8,1446087.0,5.609757423400879,0.25,0.35640225787284613,0.3251611988792153,2183.5,0.25,0.40538844325609036,0.365336435318231,2183.5,0.25,0.4872660427807487,0.45183931596693444,2183.5,0.25,0.6976641414141415,0.6302667549388701,2183.5
18,6,0,6,1371804.0,5.66803503036499,0.0,0.09454365079365079,0.07873589567391169,nan,0.0,0.20291305916305916,0.1665100080918799,nan,0.0,0.270211038961039,0.24545514111370995,nan,0.0,0.4237614237614238,0.3403583669093661,nan
19,6,1,7,1395657.0,5.672451019287109,0.14285714285714285,0.24486794717887153,0.22265178433862576,-1.0,0.14285714285714285,0.3466845829240787,0.3100604931852845,-1.0,0.14285714285714285,0.43199052348212014,0.4243291512409799,-1.0,0.14285714285714285,0.5911687402233621,0.5593090134225456,-1.0
20,6,2,8,1412638.0,5.680039167404175,0.125,0.2630861479207067,0.2090499069542409,6235.0,0.25,0.4213900988717165,0.38636590686723554,9675.0,0.25,0.5365038148126383,0.5228478085792935,9675.0,0.25,0.7027667491821904,0.6941199774129918,9675.0
21,7,0,6,1375231.0,5.560912370681763,0.0,0.0772642390289449,0.07265701046607322,nan,0.0,0.12068160597572364,0.12886347776078688,nan,0.0,0.26050420168067223,0.23634590118152907,nan,0.0,0.42787114845938373,0.317902760242065,nan
22,7,1,7,1402094.0,5.578916072845459,0.0,0.10080395794681508,0.07439221240321196,nan,0.14285714285714285,0.25644803375895814,0.2553622281656104,12900.0,0.14285714285714285,0.3892829859216414,0.36451701349323334,12900.0,0.14285714285714285,0.5755211175379242,0.5180138066135823,12900.0
23,7,2,8,1451214.0,5.593348503112793,0.0,0.1290688478188478,0.10161814751910364,nan,0.125,0.3156800307535601,0.3340195207780987,12900.0,0.25,0.4939300895183249,0.48506418476057983,15821.5,0.375,0.7284357799063682,0.7114716475386339,58329.333333333336
24,8,0,6,1383049.0,4.7186808586120605,0.0,0.12500862663906143,0.10402965699878153,nan,0.0,0.19674344375431332,0.183797944069681,nan,0.0,0.33211190273210733,0.292290815913867,nan,0.0,0.4639261864165956,0.3735914096600797,nan
25,8,1,7,1399799.0,4.725599050521851,0.0,0.12367017040930084,0.10938416782884551,nan,0.14285714285714285,0.31316889632107026,0.29127565743497275,10286.0,0.14285714285714285,0.49308748583045253,0.42753642553379567,10286.0,0.14285714285714285,0.6570381664371434,0.6033501323529225,10286.0
26,8,2,8,1451843.0,4.7266881465911865,0.125,0.23608318764568761,0.22079989271505424,2652.0,0.25,0.4000109265734266,0.38411540192593635,6469.0,0.25,0.575882481489099,0.5180213357957242,5769.0,0.25,0.7538810760318114,0.7110317481036057,5769.0
27,9,0,6,1371804.0,5.780966281890869,0.0,0.09454365079365079,0.07873589567391169,nan,0.0,0.20291305916305916,0.1665100080918799,nan,0.0,0.270211038961039,0.24545514111370995,nan,0.0,0.4313371813371813,0.3484060089502481,nan
28,9,1,7,1423848.0,5.784883499145508,0.14285714285714285,0.22389455782312925,0.21177158695831924,2652.0,0.14285714285714285,0.3102891156462585,0.28710960031918115,2652.0,0.14285714285714285,0.39467120181405896,0.39082946136003516,2652.0,0.14285714285714285,0.5794501133786848,0.5522923444488644,2652.0
29,9,2,8,1412638.0,5.791982173919678,0.125,0.2630861479207067,0.2090499069542409,6235.0,0.25,0.4213900988717165,0.3906246545652098,9675.0,0.25,0.5365038148126383,0.5228478085792935,9675.0,0.25,0.7141303855458268,0.7057085819518619,9675.0
30,10,0,6,1375390.0,8.024507761001587,0.0,0.09375970008962337,0.07157236980277769,nan,0.0,0.16753420989354495,0.17153048616202302,nan,0.0,0.25371813998732157,0.2605323747592341,nan,0.0,0.40448622314031524,0.33928804162648296,nan
31,10,1,7,1399232.0,8.043415784835815,0.0,0.06727021912443908,0.048166495697596234,nan,0.0,0.12626881856421499,0.11867711797463938,nan,0.14285714285714285,0.35437745332246606,0.34500376439955444,27137.0,0.14285714285714285,0.54672671744283,0.5529781455008683,27137.0
32,10,2,8,1424338.0,8.031513690948486,0.25,0.3624460005574136,0.34919155580301486,970.0,0.25,0.4706573996655518,0.46265275683164875,970.0,0.25,0.5773602982162764,0.5686857355514869,970.0,0.25,0.7288513795986623,0.7109868120358923,970.0
33,11,0,6,1386668.0,7.922068357467651,0.0,0.08280723905723905,0.062325026098195103,nan,0.0,0.10890151515151514,0.08743931410738963,nan,0.0,0.22762551990493166,0.16242837083747017,nan,0.0,0.3589943553178847,0.25150951586686815,nan
34,11,1,7,1438712.0,7.925979852676392,0.14285714285714285,0.24702380952380953,0.21307654532352704,2652.0,0.14285714285714285,0.2696995464852608,0.23524312416831014,2652.0,0.14285714285714285,0.38826363878884884,0.32138972116657766,2652.0,0.14285714285714285,0.5468354008269974,0.5040949292037097,2652.0
35,11,2,8,1453118.0,7.930076837539673,0.125,0.2287210338680927,0.20564100301163304,1715.0,0.125,0.26132650029708854,0.2227132647389211,1715.0,0.25,0.49262849079025545,0.4226752043569933,11099.5,0.25,0.5927891042780749,0.5067091408598186,11099.5
36,12,0,6,1374351.0,3.247232675552368,0.0,0.10725762527233114,0.09256809528564619,nan,0.0,0.19780402059813826,0.1701410441000012,nan,0.0,0.33347073677956035,0.2480093074865692,nan,0.0,0.4302040007922361,0.3430053005195745,nan
37,12,1,7,1415012.0,3.250148296356201,0.14285714285714285,0.23432539682539685,0.21895220243191907,4033.0,0.14285714285714285,0.36477272727272725,0.3281023101239939,4033.0,0.14285714285714285,0.4587121212121212,0.43182042278467847,4033.0,0.14285714285714285,0.6043290043290044,0.5307489279462465,4033.0
38,12,2,8,1463540.0,3.253242015838623,0.125,0.29798344017094014,0.2962707623378338,2538.0,0.25,0.430354020979021,0.40489429155800855,8094.5,0.25,0.541310945998446,0.5288210210430845,8094.5,0.25,0.7063786907536908,0.7071537133043326,8094.5
39,13,2,8,1444899.0,5.840296983718872,0.25,0.3518833849329205,0.3285515193907805,2384.5,0.25,0.3967363261093911,0.3610726644291827,2384.5,0.25,0.4912732198142415,0.4355257274454036,2384.5,0.375,0.6895704334365325,0.62219715816473,34869.0
40,14,0,6,1380685.0,4.669402599334717,0.0,0.1387057387057387,0.0794947482281858,nan,0.0,0.14912240537240537,0.13171553654226464,nan,0.0,0.2768346441140559,0.19935426618346538,nan,0.0,0.4141066041801336,0.32203816272098823,nan
41,14,1,7,1406792.0,4.672401189804077,0.14285714285714285,0.27180416701093396,0.2383411166392823,1715.0,0.14285714285714285,0.28753545952794074,0.287668412478665,1715.0,0.14285714285714285,0.39954068672003207,0.34788502385439646,1715.0,0.14285714285714285,0.5612043400356094,0.4712456372365453,1715.0
42,14,2,8,1447453.0,4.67640233039856,0.25,0.3628286461345672,0.33354847705937196,2874.0,0.25,0.3940214117023328,0.3877300715496347,2874.0,0.25,0.5157183824946983,0.4728881245034391,2874.0,0.25,0.6661982480239059,0.6074270082576239,2874.0
43,15,0,6,1384972.0,3.3628830909729004,0.0,0.14682539682539683,0.11473941496550104,nan,0.0,0.2396475256769374,0.19339035332418597,nan,0.0,0.33901727357609707,0.26904744964306765,nan,0.0,0.4776552287581699,0.34280014587325863,nan
44,15,1,7,1425633.0,3.3668909072875977,0.14285714285714285,0.2776360544217687,0.24755283425257768,4033.0,0.14285714285714285,0.38562925170068024,0.3442295766046117,4033.0,0.14285714285714285,0.48137755102040813,0.4306263225867292,4033.0,0.14285714285714285,0.6433673469387754,0.5442798358542487,4033.0
45,15,2,8,1491403.0,3.3698878288269043,0.25,0.40897671568627453,0.3669279444390996,6753.0,0.25,0.45520027089783277,0.42647428702883505,6753.0,0.25,0.5571529927760578,0.5191772234297753,6753.0,0.25,0.7322126547987615,0.6824928330233228,6753.0
46,16,0,6,1364614.0,4.6678876876831055,0.0,0.11543240374762113,0.06185424530457101,nan,0.0,0.14824696237739715,0.08748862419149596,nan,0.0,0.31756988038957346,0.19566138586890977,nan,0.0,0.4404923058375744,0.2963262925144507,nan
47,16,1,7,1405275.0,4.670881032943726,0.14285714285714285,0.25132301273605623,0.2023553353520759,4033.0,0.14285714285714285,0.3143523746784616,0.25341328992963436,4033.0,0.14285714285714285,0.46680626137147874,0.34528154350753415,4033.0,0.14285714285714285,0.5847669238973587,0.49236558120453394,4033.0
48,16,2,8,1453803.0,4.674079895019531,0.125,0.31285635409276713,0.28331198081620423,2538.0,0.25,0.40967371245903855,0.36487375139872347,8094.5,0.25,0.5269511059592582,0.4656490855220771,8094.5,0.25,0.7048692928448363,0.6605523549452259,8094.5
49,17,0,6,1359667.0,8.01210331916809,0.0,0.11752450980392155,0.08610930380042849,nan,0.0,0.21165382819794584,0.2017950831413792,nan,0.0,0.3324171335200747,0.31166639775790395,nan,0.0,0.4684932306255835,0.35494163073014645,nan
50,17,1,7,1410308.0,8.017456769943237,0.0,0.07304421768707482,0.06337998395180733,nan,0.14285714285714285,0.3092236894757904,0.30934205636033374,8529.0,0.14285714285714285,0.4463935574229692,0.44015322511271343,8529.0,0.14285714285714285,0.6276110444177672,0.5725379032466139,8529.0
51,17,2,8,1383663.0,8.021109342575073,0.125,0.19720763305322128,0.19178622022723588,82.0,0.25,0.42707895658263306,0.40298541979011343,5458.5,0.25,0.5339592086834734,0.5156384842747966,5458.5,0.25,0.6544555322128851,0.6075269249666768,5458.5
52,18,0,6,1371470.0,7.284984827041626,0.0,0.09858597285067873,0.07684747547441267,nan,0.0,0.16413084464555053,0.1351563542906124,nan,0.0,0.24802889104359693,0.1815228096200987,nan,0.0,0.46610689147453854,0.31818779508935224,nan
53,18,1,7,1422668.0,7.289976596832275,0.14285714285714285,0.26088745214685066,0.23484630073239607,8529.0,0.14285714285714285,0.2903842711173539,0.2728497963575233,8529.0,0.14285714285714285,0.39489307868896545,0.3589751690676331,8529.0,0.14285714285714285,0.5922056069391319,0.5132425953037963,8529.0
54,18,2,8,1463329.0,7.292992115020752,0.25,0.3532765206284943,0.3304905131408465,6281.0,0.25,0.3983170064584538,0.3748231415762101,6281.0,0.25,0.5206405436668594,0.48556615489853944,6281.0,0.25,0.7088921221322537,0.6500168870213467,6281.0
55,19,0,6,1362162.0,7.490519762039185,0.0,0.08464105339105339,0.05993449144925397,nan,0.0,0.1090518278018278,0.08804841280418402,nan,0.0,0.2862501061030473,0.22268514157189803,nan,0.0,0.4242733709645474,0.3235831975308268,nan
56,19,1,7,1387081.0,7.496428489685059,0.14285714285714285,0.21930272108843538,0.2011702561189622,2117.0,0.14285714285714285,0.2558106575963719,0.2347333299636303,2117.0,0.14285714285714285,0.417922168867547,0.37294096311198494,2117.0,0.14285714285714285,0.5673202614379085,0.47192031258544587,2117.0
57,19,2,8,1428930.0,7.496309280395508,0.25,0.31348079004329005,0.28795703264573613,2874.0,0.25,0.3623286435786436,0.3521569674006251,2874.0,0.25,0.5113410894660895,0.4726512165189088,2874.0,0.25,0.6460137085137085,0.5689033882820436,2874.0
