plan_id,seed,split_level,K,distance,solve_time,recovery_rate_d0.05,mean_absorbed_customer_frac_d0.05,mean_absorbed_workload_frac_d0.05,mean_full_absorption_delta_d0.05,recovery_rate_d0.1,mean_absorbed_customer_frac_d0.1,mean_absorbed_workload_frac_d0.1,mean_full_absorption_delta_d0.1,recovery_rate_d0.2,mean_absorbed_customer_frac_d0.2,mean_absorbed_workload_frac_d0.2,mean_full_absorption_delta_d0.2,recovery_rate_d0.4,mean_absorbed_customer_frac_d0.4,mean_absorbed_workload_frac_d0.4,mean_full_absorption_delta_d0.4
0,0,0,6,1371997.0,8.044496536254883,0.0,0.08201659451659452,0.07485322693252681,nan,0.0,0.1905844155844156,0.1552103133957661,nan,0.0,0.31986991766403533,0.23950893521034156,nan,0.0,0.46299974535268656,0.36522485747150757,nan
1,0,1,7,1422931.0,8.047479152679443,0.14285714285714285,0.23562925170068025,0.22482094044005244,0.0,0.14285714285714285,0.33520408163265303,0.30951779974337323,0.0,0.14285714285714285,0.47077330932372946,0.4001635067809722,0.0,0.14285714285714285,0.6154561824729893,0.5767589186487632,0.0
2,0,2,8,1474722.0,8.05142331123352,0.25,0.3476190476190476,0.32991943482639124,1452.5,0.25,0.4212797619047619,0.39833158009802455,1452.5,0.25,0.5643075980392156,0.5259642710354057,1452.5,0.375,0.7103991596638655,0.6848100546782858,61179.0
3,1,0,6,1368718.0,7.836719036102295,0.0,0.1139234539969834,0.07376865760450486,nan,0.0,0.2651951806363571,0.18309362036490695,nan,0.0,0.3490537240537241,0.2822643443671988,nan,0.0,0.503808895353013,0.38195490111634417,nan
4,1,1,7,1419359.0,7.842616319656372,0.0,0.07097800658725029,0.05269405669530773,nan,0.14285714285714285,0.3295510511897067,0.3055751097308416,8529.0,0.14285714285714285,0.41942700156985874,0.3967121253928664,8529.0,0.14285714285714285,0.6284102102379414,0.5849902445086704,8529.0
5,1,2,8,1408017.0,7.849805116653442,0.125,0.21240337481146304,0.18590758248921188,6235.0,0.25,0.4396132972419737,0.40606275365742045,9517.5,0.25,0.5665697048049989,0.5478061252113284,9517.5,0.25,0.7189536872441284,0.677088883489957,9517.5
6,2,0,6,1349536.0,4.1730263233184814,0.0,0.12212301587301588,0.10935979196414848,nan,0.0,0.2099031279178338,0.17207030323028757,nan,0.0,0.359733893557423,0.32487637721451984,nan,0.0,0.4899568160597572,0.3904976128609135,nan
7,2,1,7,1350254.0,4.177034616470337,0.14285714285714285,0.24098639455782314,0.22680186728543203,82.0,0.14285714285714285,0.31682172869147657,0.2809594239677848,82.0,0.14285714285714285,0.4637004801920769,0.4392060328246332,82.0,0.14285714285714285,0.583313325330132,0.4993313725652035,82.0
8,2,2,8,1454581.0,4.179929733276367,0.25,0.3668037280701754,0.3453791911857968,78.5,0.25,0.44460623065015475,0.4066803322675909,78.5,0.25,0.6063161119711042,0.5697524236183732,78.5,0.25,0.7586042311661506,0.7326053214336958,78.5
9,3,0,6,1369975.0,3.9431283473968506,0.0,0.12855392156862744,0.10208212792454922,nan,0.0,0.21157212885154061,0.18263384004541092,nan,0.0,0.32266573295985057,0.25736857530403384,nan,0.0,0.4672385620915032,0.33824819991905136,nan
