plan_id,seed,split_level,K,distance,delta_frac,lost_route_idx,lost_route_len,lost_route_cost,lost_workload,fully_absorbable,extra_units,max_absorbed_customers,absorbed_customer_frac,max_absorbed_workload,absorbed_workload_frac,min_full_absorption_delta,feasible_block_insertions,lost_route
1,0,1,7,1422931.0,0.05,4,15,148538.0,217.09999999999997,0,1,3,0.2,41.199999999999996,0.1897742975587287,,7,80 8 20 29 32 91 42 75 85 59 55 60 48 1 16
1,0,1,7,1422931.0,0.05,5,16,216967.0,200.8,0,1,2,0.125,18.4,0.09163346613545816,,8,40 77 10 81 13 99 44 95 73 47 84 12 23 61 43 7
1,0,1,7,1422931.0,0.05,6,14,199055.0,160.09999999999997,0,1,3,0.21428571428571427,33.9,0.21174266083697693,,7,72 57 71 53 92 98 11 52 37 5 30 65 94 86
1,0,1,7,1422931.0,0.1,0,1,50934.0,11.100000000000001,1,0,1,1.0,11.100000000000001,1.0,0.0,2,96
1,0,1,7,1422931.0,0.1,1,21,257613.0,188.5,0,1,3,0.14285714285714285,18.1,0.0960212201591512,,15,4 22 36 28 38 34 6 45 97 14 9 27 56 50 58 62 21 66 15 3 19
1,0,1,7,1422931.0,0.1,2,17,280453.0,212.1,0,1,0,0.0,0.0,0.0,,0,76 26 46 17 68 64 39 24 100 49 82 41 51 79 35 70 2
1,0,1,7,1422931.0,0.1,3,16,269371.0,225.60000000000002,0,1,3,0.1875,48.699999999999996,0.2158687943262411,,7,33 89 69 93 74 31 25 63 67 87 83 78 18 88 90 54
1,0,1,7,1422931.0,0.1,4,15,148538.0,217.09999999999997,0,1,6,0.4,94.30000000000001,0.4343620451404884,,25,80 8 20 29 32 91 42 75 85 59 55 60 48 1 16
1,0,1,7,1422931.0,0.1,5,16,216967.0,200.8,0,1,3,0.1875,21.700000000000003,0.10806772908366534,,16,40 77 10 81 13 99 44 95 73 47 84 12 23 61 43 7
1,0,1,7,1422931.0,0.1,6,14,199055.0,160.09999999999997,0,1,6,0.42857142857142855,50.0,0.31230480949406625,,18,72 57 71 53 92 98 11 52 37 5 30 65 94 86
1,0,1,7,1422931.0,0.2,0,1,50934.0,11.100000000000001,1,0,1,1.0,11.100000000000001,1.0,0.0,2,96
1,0,1,7,1422931.0,0.2,1,21,257613.0,188.5,0,1,6,0.2857142857142857,31.0,0.16445623342175067,,30,4 22 36 28 38 34 6 45 97 14 9 27 56 50 58 62 21 66 15 3 19
1,0,1,7,1422931.0,0.2,2,17,280453.0,212.1,0,1,4,0.23529411764705882,35.8,0.16878830740216877,,15,76 26 46 17 68 64 39 24 100 49 82 41 51 79 35 70 2
1,0,1,7,1422931.0,0.2,3,16,269371.0,225.60000000000002,0,1,7,0.4375,100.80000000000001,0.44680851063829785,,23,33 89 69 93 74 31 25 63 67 87 83 78 18 88 90 54
1,0,1,7,1422931.0,0.2,4,15,148538.0,217.09999999999997,0,1,8,0.5333333333333333,100.9,0.46476278212805167,,59,80 8 20 29 32 91 42 75 85 59 55 60 48 1 16
1,0,1,7,1422931.0,0.2,5,16,216967.0,200.8,0,1,6,0.375,49.0,0.2440239043824701,,28,40 77 10 81 13 99 44 95 73 47 84 12 23 61 43 7
1,0,1,7,1422931.0,0.2,6,14,199055.0,160.09999999999997,0,1,6,0.42857142857142855,50.0,0.31230480949406625,,29,72 57 71 53 92 98 11 52 37 5 30 65 94 86
1,0,1,7,1422931.0,0.4,0,1,50934.0,11.100000000000001,1,0,1,1.0,11.100000000000001,1.0,0.0,3,96
1,0,1,7,1422931.0,0.4,1,21,257613.0,188.5,0,1,10,0.47619047619047616,77.4,0.41061007957559686,,72,4 22 36 28 38 34 6 45 97 14 9 27 56 50 58 62 21 66 15 3 19
1,0,1,7,1422931.0,0.4,2,17,280453.0,212.1,0,1,7,0.4117647058823529,87.4,0.4120697784064121,,49,76 26 46 17 68 64 39 24 100 49 82 41 51 79 35 70 2
1,0,1,7,1422931.0,0.4,3,16,269371.0,225.60000000000002,0,1,9,0.5625,106.80000000000001,0.4734042553191489,,79,33 89 69 93 74 31 25 63 67 87 83 78 18 88 90 54
1,0,1,7,1422931.0,0.4,4,15,148538.0,217.09999999999997,0,1,13,0.8666666666666667,179.5,0.826807922616306,,106,80 8 20 29 32 91 42 75 85 59 55 60 48 1 16
1,0,1,7,1422931.0,0.4,5,16,216967.0,200.8,0,1,9,0.5625,104.60000000000001,0.5209163346613546,,59,40 77 10 81 13 99 44 95 73 47 84 12 23 61 43 7
1,0,1,7,1422931.0,0.4,6,14,199055.0,160.09999999999997,0,1,6,0.42857142857142855,63.0,0.3935040599625235,,36,72 57 71 53 92 98 11 52 37 5 30 65 94 86
2,0,2,8,1474722.0,0.05,0,1,50934.0,11.100000000000001,1,0,1,1.0,11.100000000000001,1.0,0.0,2,96
2,0,2,8,1474722.0,0.05,1,20,254708.0,185.8,0,1,1,0.05,5.5,0.02960172228202368,,2,4 22 36 28 38 34 6 45 97 14 9 27 56 50 58 62 21 66 15 3
2,0,2,8,1474722.0,0.05,2,1,54696.0,2.7,1,0,1,1.0,2.7,1.0,2905.0,1,19
2,0,2,8,1474722.0,0.05,3,17,280453.0,212.1,0,1,0,0.0,0.0,0.0,,0,76 26 46 17 68 64 39 24 100 49 82 41 51 79 35 70 2
