plan_id,seed,K,distance,n_outage_pairs,n_d0.1,mean_extra_units_d0.1,p_need_two_d0.1,p_need_at_most_one_d0.1,p_zero_d0.1,mean_absorbed_workload_frac_d0.1,mean_residual_workload_frac_d0.1,both_sub_n_d0.1,both_sub_mean_extra_units_d0.1,both_sub_p_need_two_d0.1,both_sub_p_need_at_most_one_d0.1,both_sub_p_zero_d0.1,both_sub_mean_absorbed_workload_frac_d0.1,both_sub_mean_residual_workload_frac_d0.1
0,0,7,1246180.0,21,21.0,1.8571428571428572,0.8571428571428571,0.14285714285714285,0.0,0.1341256433437693,0.8658743566562306,15.0,1.9333333333333333,0.9333333333333333,0.06666666666666667,0.0,0.10600461335662593,0.8939953866433741
1,0,8,1270239.0,28,28.0,1.4285714285714286,0.42857142857142855,0.5714285714285714,0.0,0.2327035262989995,0.7672964737010005,10.0,2.0,1.0,0.0,0.0,0.09734802955176818,0.9026519704482319
2,1,7,1235689.0,21,21.0,1.4761904761904763,0.47619047619047616,0.5238095238095238,0.0,0.2491479957646318,0.7508520042353681,15.0,1.6666666666666667,0.6666666666666666,0.3333333333333333,0.0,0.18836469518579183,0.8116353048142081
3,1,8,1279890.0,28,28.0,1.4285714285714286,0.42857142857142855,0.5714285714285714,0.0,0.2595215846733228,0.7404784153266774,15.0,1.6,0.6,0.4,0.0,0.1848245312590883,0.8151754687409114
4,2,7,1245950.0,21,21.0,1.8571428571428572,0.8571428571428571,0.14285714285714285,0.0,0.15276590345464924,0.8472340965453508,21.0,1.8571428571428572,0.8571428571428571,0.14285714285714285,0.0,0.15276590345464924,0.8472340965453508
5,2,8,1261484.0,28,28.0,1.3214285714285714,0.35714285714285715,0.6428571428571429,0.03571428571428571,0.3293884863330628,0.6706115136669374,10.0,2.0,1.0,0.0,0.0,0.14438170089376048,0.8556182991062394
6,3,7,1239200.0,21,21.0,1.6666666666666667,0.6666666666666666,0.3333333333333333,0.0,0.18197945318334513,0.8180205468166548,15.0,1.9333333333333333,0.9333333333333333,0.06666666666666667,0.0,0.12807431084275628,0.8719256891572438
7,3,8,1262365.0,28,28.0,1.4285714285714286,0.42857142857142855,0.5714285714285714,0.0,0.30299363712223765,0.6970063628777624,15.0,1.7333333333333334,0.7333333333333333,0.26666666666666666,0.0,0.2088272909150047,0.7911727090849952
8,4,7,1229294.0,21,21.0,1.4761904761904763,0.47619047619047616,0.5238095238095238,0.0,0.18095853893001385,0.8190414610699861,10.0,2.0,1.0,0.0,0.0,0.08124575953050052,0.9187542404694995
9,4,8,1268134.0,28,28.0,1.3928571428571428,0.39285714285714285,0.6071428571428571,0.0,0.3304563258263352,0.6695436741736648,10.0,2.0,1.0,0.0,0.0,0.16561636926666384,0.8343836307333362
10,5,7,1248490.0,21,21.0,1.4761904761904763,0.47619047619047616,0.5238095238095238,0.0,0.2054861761558732,0.7945138238441267,10.0,2.0,1.0,0.0,0.0,0.10298043092543008,0.8970195690745699
