plan_a,seed_a,split_a,plan_b,seed_b,split_b,K,distance_a,distance_b,relative_cost_gap,delta_frac,recovery_rate_a,recovery_rate_b,abs_recovery_gap,absorbed_customer_frac_a,absorbed_customer_frac_b,abs_absorbed_customer_gap,absorbed_workload_frac_a,absorbed_workload_frac_b,abs_absorbed_workload_gap
0,0,0,3,1,0,6,1371997.0,1368718.0,0.0023956724467713584,0.05,0.0,0.0,0.0,0.08201659451659452,0.1139234539969834,0.03190685948038889,0.07485322693252681,0.07376865760450486,0.0010845693280219504
0,0,0,3,1,0,6,1371997.0,1368718.0,0.0023956724467713584,0.1,0.0,0.0,0.0,0.1905844155844156,0.2651951806363571,0.0746107650519415,0.1552103133957661,0.18309362036490695,0.027883306969140847
0,0,0,3,1,0,6,1371997.0,1368718.0,0.0023956724467713584,0.2,0.0,0.0,0.0,0.31986991766403533,0.3490537240537241,0.02918380638968876,0.23950893521034156,0.2822643443671988,0.04275540915685727
0,0,0,3,1,0,6,1371997.0,1368718.0,0.0023956724467713584,0.4,0.0,0.0,0.0,0.46299974535268656,0.503808895353013,0.04080915000032642,0.36522485747150757,0.38195490111634417,0.0167300436448366
0,0,0,6,2,0,6,1371997.0,1349536.0,0.016643498209755057,0.05,0.0,0.0,0.0,0.08201659451659452,0.12212301587301588,0.04010642135642137,0.07485322693252681,0.10935979196414848,0.03450656503162167
0,0,0,6,2,0,6,1371997.0,1349536.0,0.016643498209755057,0.1,0.0,0.0,0.0,0.1905844155844156,0.2099031279178338,0.019318712333418198,0.1552103133957661,0.17207030323028757,0.01685998983452147
0,0,0,6,2,0,6,1371997.0,1349536.0,0.016643498209755057,0.2,0.0,0.0,0.0,0.31986991766403533,0.359733893557423,0.03986397589338769,0.23950893521034156,0.32487637721451984,0.08536744200417828
0,0,0,6,2,0,6,1371997.0,1349536.0,0.016643498209755057,0.4,0.0,0.0,0.0,0.46299974535268656,0.4899568160597572,0.02695707070707065,0.36522485747150757,0.3904976128609135,0.025272755389405932
0,0,0,9,3,0,6,1371997.0,1369975.0,0.001475939341958795,0.05,0.0,0.0,0.0,0.08201659451659452,0.12855392156862744,0.04653732705203292,0.07485322693252681,0.10208212792454922,0.02722890099202241
0,0,0,9,3,0,6,1371997.0,1369975.0,0.001475939341958795,0.1,0.0,0.0,0.0,0.1905844155844156,0.21157212885154061,0.020987713267125008,0.1552103133957661,0.18263384004541092,0.027423526649644814
0,0,0,9,3,0,6,1371997.0,1369975.0,0.001475939341958795,0.2,0.0,0.0,0.0,0.31986991766403533,0.32266573295985057,0.0027958152958152405,0.23950893521034156,0.25736857530403384,0.017859640093692286
0,0,0,9,3,0,6,1371997.0,1369975.0,0.001475939341958795,0.4,0.0,0.0,0.0,0.46299974535268656,0.4672385620915032,0.004238816738816653,0.36522485747150757,0.33824819991905136,0.026976657552456207
0,0,0,12,4,0,6,1371997.0,1367047.0,0.00362094353742044,0.05,0.0,0.0,0.0,0.08201659451659452,0.10227272727272728,0.020256132756132764,0.07485322693252681,0.06865721764369756,0.0061960092888292545
0,0,0,12,4,0,6,1371997.0,1367047.0,0.00362094353742044,0.1,0.0,0.0,0.0,0.1905844155844156,0.17476851851851852,0.01581589706589709,0.1552103133957661,0.1022079563072082,0.0530023570885579
0,0,0,12,4,0,6,1371997.0,1367047.0,0.00362094353742044,0.2,0.0,0.0,0.0,0.31986991766403533,0.3033150128738364,0.016554904790198943,0.23950893521034156,0.2114882695716845,0.028020665638657044
0,0,0,12,4,0,6,1371997.0,1367047.0,0.00362094353742044,0.4,0.0,0.0,0.0,0.46299974535268656,0.42380917013269953,0.039190575219987034,0.36522485747150757,0.3193168200218914,0.04590803744961619
0,0,0,15,5,0,6,1371997.0,1367936.0,0.002968706138298868,0.05,0.0,0.0,0.0,0.08201659451659452,0.10399304857509191,0.021976454058497394,0.07485322693252681,0.0753579144479183,0.0005046875153914832
0,0,0,15,5,0,6,1371997.0,1367936.0,0.002968706138298868,0.1,0.0,0.0,0.0,0.1905844155844156,0.1400595964063456,0.05052481917807,0.1552103133957661,0.08809429234672261,0.06711602104904349
0,0,0,15,5,0,6,1371997.0,1367936.0,0.002968706138298868,0.2,0.0,0.0,0.0,0.31986991766403533,0.2410973958961575,0.07877252176787783,0.23950893521034156,0.14274898824645035,0.0967599469638912
0,0,0,15,5,0,6,1371997.0,1367936.0,0.002968706138298868,0.4,0.0,0.0,0.0,0.46299974535268656,0.4252931794727461,0.03770656587994048,0.36522485747150757,0.30910914118055394,0.05611571629095363
0,0,0,18,6,0,6,1371997.0,1371804.0,0.00014069065260051728,0.05,0.0,0.0,0.0,0.08201659451659452,0.09454365079365079,0.012527056277056275,0.07485322693252681,0.07873589567391169,0.003882668741384876
0,0,0,18,6,0,6,1371997.0,1371804.0,0.00014069065260051728,0.1,0.0,0.0,0.0,0.1905844155844156,0.20291305916305916,0.01232864357864355,0.1552103133957661,0.1665100080918799,0.011299694696113805
0,0,0,18,6,0,6,1371997.0,1371804.0,0.00014069065260051728,0.2,0.0,0.0,0.0,0.31986991766403533,0.270211038961039,0.049658878702996345,0.23950893521034156,0.24545514111370995,0.00594620590336839
0,0,0,18,6,0,6,1371997.0,1371804.0,0.00014069065260051728,0.4,0.0,0.0,0.0,0.46299974535268656,0.4237614237614238,0.03923832159126278,0.36522485747150757,0.3403583669093661,0.024866490562141463
