plan_id,seed,K,distance,n_outage_pairs,n_d0.2,mean_extra_units_d0.2,p_need_two_d0.2,p_need_at_most_one_d0.2,p_zero_d0.2,mean_absorbed_workload_frac_d0.2,mean_residual_workload_frac_d0.2,both_sub_n_d0.2,both_sub_mean_extra_units_d0.2,both_sub_p_need_two_d0.2,both_sub_p_need_at_most_one_d0.2,both_sub_p_zero_d0.2,both_sub_mean_absorbed_workload_frac_d0.2,both_sub_mean_residual_workload_frac_d0.2
0,0,7,1246180.0,21,21.0,1.619047619047619,0.6190476190476191,0.38095238095238093,0.0,0.22219633560067942,0.7778036643993205,15.0,1.8666666666666667,0.8666666666666667,0.13333333333333333,0.0,0.18655438327923987,0.81344561672076
1,0,8,1270239.0,28,28.0,1.2857142857142858,0.32142857142857145,0.6785714285714286,0.03571428571428571,0.3248394573757018,0.6751605426242983,10.0,1.9,0.9,0.1,0.0,0.16770566833941208,0.832294331660588
2,1,7,1235689.0,21,21.0,1.4761904761904763,0.47619047619047616,0.5238095238095238,0.0,0.33647909030029094,0.663520909699709,15.0,1.6666666666666667,0.6666666666666666,0.3333333333333333,0.0,0.2713388066216552,0.7286611933783448
3,1,8,1279890.0,28,28.0,1.3214285714285714,0.32142857142857145,0.6785714285714286,0.0,0.33766900820184176,0.6623309917981581,15.0,1.6,0.6,0.4,0.0,0.23991445288933247,0.7600855471106676
4,2,7,1245950.0,21,21.0,1.619047619047619,0.6190476190476191,0.38095238095238093,0.0,0.23606421990940768,0.7639357800905925,21.0,1.619047619047619,0.6190476190476191,0.38095238095238093,0.0,0.23606421990940768,0.7639357800905925
5,2,8,1261484.0,28,28.0,1.25,0.35714285714285715,0.6428571428571429,0.10714285714285714,0.4608620793007022,0.5391379206992978,10.0,2.0,1.0,0.0,0.0,0.2571885468225426,0.7428114531774573
6,3,7,1239200.0,21,21.0,1.5238095238095237,0.5238095238095238,0.47619047619047616,0.0,0.2720193443571416,0.7279806556428584,15.0,1.7333333333333334,0.7333333333333333,0.26666666666666666,0.0,0.23016355562362886,0.7698364443763713
7,3,8,1262365.0,28,28.0,1.2142857142857142,0.32142857142857145,0.6785714285714286,0.10714285714285714,0.434058623462218,0.565941376537782,15.0,1.6,0.6,0.4,0.0,0.3133845424747111,0.686615457525289
8,4,7,1229294.0,21,21.0,1.4761904761904763,0.47619047619047616,0.5238095238095238,0.0,0.26562388247676755,0.7343761175232325,10.0,2.0,1.0,0.0,0.0,0.16841925596839802,0.831580744031602
9,4,8,1268134.0,28,28.0,1.2142857142857142,0.32142857142857145,0.6785714285714286,0.10714285714285714,0.43712092200857494,0.5628790779914251,10.0,1.9,0.9,0.1,0.0,0.2561949810380306,0.7438050189619694
10,5,7,1248490.0,21,21.0,1.4761904761904763,0.47619047619047616,0.5238095238095238,0.0,0.26841971815810495,0.731580281841895,10.0,2.0,1.0,0.0,0.0,0.17137003726995825,0.8286299627300417
11,5,8,1264368.0,28,28.0,1.25,0.35714285714285715,0.6428571428571429,0.10714285714285714,0.4331406337081705,0.5668593662918295,15.0,1.6666666666666667,0.6666666666666666,0.3333333333333333,0.0,0.31328334467417546,0.6867166553258245
12,6,7,1236966.0,21,21.0,1.4761904761904763,0.47619047619047616,0.5238095238095238,0.0,0.33944059475270716,0.6605594052472927,15.0,1.6666666666666667,0.6666666666666666,0.3333333333333333,0.0,0.2735415331178627,0.7264584668821372
13,6,8,1273615.0,28,28.0,1.25,0.32142857142857145,0.6785714285714286,0.07142857142857142,0.4402185814508529,0.5597814185491471,15.0,1.6,0.6,0.4,0.0,0.32665915408750634,0.6733408459124937
14,7,7,1254971.0,21,21.0,1.4761904761904763,0.47619047619047616,0.5238095238095238,0.0,0.28234402276803305,0.7176559772319668,15.0,1.6666666666666667,0.6666666666666666,0.3333333333333333,0.0,0.2398907968060476,0.7601092031939524
15,7,8,1259973.0,28,28.0,1.3214285714285714,0.35714285714285715,0.6428571428571429,0.03571428571428571,0.3770583585631413,0.6229416414368586,10.0,2.0,1.0,0.0,0.0,0.19134621658578688,0.8086537834142131
16,8,7,1239020.0,21,21.0,1.4761904761904763,0.47619047619047616,0.5238095238095238,0.0,0.3029177897475214,0.6970822102524786,10.0,2.0,1.0,0.0,0.0,0.20495250613168295,0.795047493868317
17,8,8,1248724.0,28,28.0,1.25,0.35714285714285715,0.6428571428571429,0.10714285714285714,0.4024240728244681,0.597575927175532,10.0,2.0,1.0,0.0,0.0,0.20217484582129783,0.797825154178702
18,9,7,1247055.0,21,21.0,1.619047619047619,0.6190476190476191,0.38095238095238093,0.0,0.18207302402112177,0.8179269759788781,10.0,2.0,1.0,0.0,0.0,0.1395236820844878,0.8604763179155122
19,9,8,1273033.0,28,28.0,1.25,0.32142857142857145,0.6785714285714286,0.07142857142857142,0.4267716348423857,0.5732283651576144,21.0,1.4285714285714286,0.42857142857142855,0.5714285714285714,0.0,0.37577042494183494,0.6242295750581651
20,10,7,1249913.0,21,21.0,1.4761904761904763,0.47619047619047616,0.5238095238095238,0.0,0.26353269985568273,0.736467300144317,10.0,2.0,1.0,0.0,0.0,0.15700443418668142,0.8429955658133185
21,10,8,1274465.0,28,28.0,1.25,0.35714285714285715,0.6428571428571429,0.10714285714285714,0.37365528164279693,0.626344718357203,10.0,2.0,1.0,0.0,0.0,0.19343594968437822,0.806564050315622
22,11,7,1240913.0,21,21.0,1.4761904761904763,0.47619047619047616,0.5238095238095238,0.0,0.2517676421994196,0.7482323578005803,10.0,2.0,1.0,0.0,0.0,0.1738681817602041,0.8261318182397959
23,11,8,1271035.0,28,28.0,1.25,0.32142857142857145,0.6785714285714286,0.07142857142857142,0.421686375269139,0.578313624730861,15.0,1.6,0.6,0.4,0.0,0.3112298482778264,0.6887701517221737
24,12,7,1261586.0,21,21.0,1.619047619047619,0.6190476190476191,0.38095238095238093,0.0,0.20057965402799643,0.7994203459720035,15.0,1.6666666666666667,0.6666666666666666,0.3333333333333333,0.0,0.2005099243973597,0.7994900756026401
25,12,8,1270292.0,28,28.0,1.2857142857142858,0.32142857142857145,0.6785714285714286,0.03571428571428571,0.42533487350960286,0.574665126490397,15.0,1.6,0.6,0.4,0.0,0.3039301020458026,0.6960698979541974
26,13,7,1251866.0,21,21.0,1.619047619047619,0.6190476190476191,0.38095238095238093,0.0,0.18717126015080768,0.8128287398491922,15.0,1.6666666666666667,0.6666666666666666,0.3333333333333333,0.0,0.17040111015229228,0.8295988898477077
27,13,8,1270571.0,28,28.0,1.25,0.32142857142857145,0.6785714285714286,0.07142857142857142,0.38496159354861953,0.6150384064513804,15.0,1.6,0.6,0.4,0.0,0.2632366654410493,0.7367633345589508
28,14,7,1244175.0,21,21.0,1.5238095238095237,0.5238095238095238,0.47619047619047616,0.0,0.32739689143498746,0.6726031085650126,15.0,1.7333333333333334,0.7333333333333333,0.26666666666666666,0.0,0.2732937365632947,0.7267062634367054
29,14,8,1263846.0,28,28.0,1.2142857142857142,0.32142857142857145,0.6785714285714286,0.10714285714285714,0.42722705645446774,0.5727729435455322,10.0,1.9,0.9,0.1,0.0,0.22992304296498137,0.7700769570350186
30,15,7,1249358.0,21,21.0,1.5714285714285714,0.5714285714285714,0.42857142857142855,0.0,0.301756512518543,0.698243487481457,21.0,1.5714285714285714,0.5714285714285714,0.42857142857142855,0.0,0.301756512518543,0.698243487481457
31,15,8,1266770.0,28,28.0,1.2142857142857142,0.32142857142857145,0.6785714285714286,0.10714285714285714,0.41825976417769367,0.5817402358223063,10.0,1.9,0.9,0.1,0.0,0.24437510360888806,0.755624896391112
