plan_id,seed,generation,K,distance,delta_frac,lost_route_idx,lost_route_len,lost_route_delivery,lost_route_cost,lost_workload,substantive_by_len,substantive_by_work,substantive_either,fully_absorbable,extra_units,max_absorbed_customers,absorbed_customer_frac,max_absorbed_workload,absorbed_workload_frac,min_full_absorption_delta,feasible_block_insertions,lost_route
0,0,direct_fixed_k,7,1246180.0,0.4,2,18,149.39999999999998,192110.0,225.4,1,1,1,0,1,9,0.5,80.80000000000001,0.35847382431233366,,53,63 73 57 79 39 23 11 70 19 5 4 28 58 94 38 31 78 93
0,0,direct_fixed_k,7,1246180.0,0.4,3,14,138.3,283642.0,194.6,1,1,1,0,1,1,0.07142857142857142,20.4,0.10483042137718396,,2,25 9 55 14 54 76 92 40 42 65 52 3 60 26
0,0,direct_fixed_k,7,1246180.0,0.4,4,18,135.20000000000002,195352.0,210.89999999999998,1,1,1,0,1,13,0.7222222222222222,154.5,0.7325746799431011,,115,2 68 37 17 43 44 35 98 81 16 69 7 41 99 95 97 30 84
0,0,direct_fixed_k,7,1246180.0,0.4,5,7,37.4,38935.0,62.099999999999994,0,0,0,1,0,7,1.0,62.1,1.0000000000000002,20617.0,71,61 21 36 45 27 88 18
0,0,direct_fixed_k,7,1246180.0,0.4,6,23,147.30000000000004,393145.0,227.40000000000003,1,1,1,0,1,7,0.30434782608695654,44.099999999999994,0.1939313984168865,,39,75 8 29 66 71 10 64 82 12 77 87 32 24 74 47 51 34 100 48 1 56 46 72
1,0,direct_fixed_k,8,1270239.0,0.05,0,14,138.29999999999998,283642.0,194.6,1,1,1,0,1,0,0.0,0.0,0.0,,0,26 60 3 52 65 42 40 92 76 54 14 55 9 25
1,0,direct_fixed_k,8,1270239.0,0.05,1,8,40.900000000000006,36356.0,69.0,0,0,0,0,1,6,0.75,56.5,0.8188405797101449,,26,18 17 43 30 27 45 36 21
1,0,direct_fixed_k,8,1270239.0,0.05,2,16,124.7,193802.0,193.10000000000002,1,1,1,0,1,4,0.25,35.9,0.18591403417918173,,10,88 84 97 44 95 99 41 69 7 16 81 98 35 68 37 2
1,0,direct_fixed_k,8,1270239.0,0.05,3,5,33.3,66400.0,45.1,0,0,0,0,1,1,0.2,2.1,0.04656319290465632,,1,50 90 33 91 15
1,0,direct_fixed_k,8,1270239.0,0.05,4,5,38.0,40928.0,56.7,0,0,0,0,1,3,0.6,35.1,0.6190476190476191,,7,13 20 49 61 89
1,0,direct_fixed_k,8,1270239.0,0.05,5,11,81.1,63856.0,127.60000000000001,1,1,1,0,1,2,0.18181818181818182,23.3,0.18260188087774293,,10,85 59 96 80 86 6 83 53 22 67 62
1,0,direct_fixed_k,8,1270239.0,0.05,6,23,147.29999999999998,393145.0,227.4,1,1,1,0,1,1,0.043478260869565216,2.4,0.010554089709762533,,3,72 46 56 1 51 34 100 48 47 74 24 32 87 77 12 82 64 10 71 66 29 8 75
1,0,direct_fixed_k,8,1270239.0,0.05,7,18,149.39999999999998,192110.0,225.39999999999998,1,1,1,0,1,1,0.05555555555555555,3.0,0.013309671694764864,,1,63 73 57 79 39 23 11 70 19 5 38 4 28 58 94 31 78 93
1,0,direct_fixed_k,8,1270239.0,0.1,0,14,138.29999999999998,283642.0,194.6,1,1,1,0,1,0,0.0,0.0,0.0,,0,26 60 3 52 65 42 40 92 76 54 14 55 9 25
1,0,direct_fixed_k,8,1270239.0,0.1,1,8,40.900000000000006,36356.0,69.0,0,0,0,1,0,8,1.0,69.0,1.0,29161.0,47,18 17 43 30 27 45 36 21
1,0,direct_fixed_k,8,1270239.0,0.1,2,16,124.7,193802.0,193.10000000000002,1,1,1,0,1,7,0.4375,72.2,0.37389953392024855,,21,88 84 97 44 95 99 41 69 7 16 81 98 35 68 37 2
1,0,direct_fixed_k,8,1270239.0,0.1,3,5,33.3,66400.0,45.1,0,0,0,0,1,4,0.8,34.8,0.7716186252771617,,11,50 90 33 91 15
1,0,direct_fixed_k,8,1270239.0,0.1,4,5,38.0,40928.0,56.7,0,0,0,1,0,5,1.0,56.7,1.0,21211.0,23,13 20 49 61 89
1,0,direct_fixed_k,8,1270239.0,0.1,5,11,81.1,63856.0,127.60000000000001,1,1,1,0,1,3,0.2727272727272727,23.3,0.18260188087774293,,13,85 59 96 80 86 6 83 53 22 67 62
1,0,direct_fixed_k,8,1270239.0,0.1,6,23,147.29999999999998,393145.0,227.4,1,1,1,0,1,2,0.08695652173913043,8.3,0.036499560246262094,,11,72 46 56 1 51 34 100 48 47 74 24 32 87 77 12 82 64 10 71 66 29 8 75
1,0,direct_fixed_k,8,1270239.0,0.1,7,18,149.39999999999998,192110.0,225.39999999999998,1,1,1,0,1,2,0.1111111111111111,22.1,0.09804791481810117,,6,63 73 57 79 39 23 11 70 19 5 38 4 28 58 94 31 78 93
1,0,direct_fixed_k,8,1270239.0,0.2,0,14,138.29999999999998,283642.0,194.6,1,1,1,0,1,0,0.0,0.0,0.0,,0,26 60 3 52 65 42 40 92 76 54 14 55 9 25
1,0,direct_fixed_k,8,1270239.0,0.2,1,8,40.900000000000006,36356.0,69.0,0,0,0,1,0,8,1.0,69.0,1.0,20959.0,73,18 17 43 30 27 45 36 21
1,0,direct_fixed_k,8,1270239.0,0.2,2,16,124.7,193802.0,193.10000000000002,1,1,1,0,1,9,0.5625,97.80000000000001,0.5064733298808908,,40,88 84 97 44 95 99 41 69 7 16 81 98 35 68 37 2
1,0,direct_fixed_k,8,1270239.0,0.2,3,5,33.3,66400.0,45.1,0,0,0,1,0,5,1.0,45.1,1.0,66510.0,21,50 90 33 91 15
1,0,direct_fixed_k,8,1270239.0,0.2,4,5,38.0,40928.0,56.7,0,0,0,1,0,5,1.0,56.7,1.0,18195.0,38,13 20 49 61 89
1,0,direct_fixed_k,8,1270239.0,0.2,5,11,81.1,63856.0,127.60000000000001,1,1,1,0,1,6,0.5454545454545454,72.2,0.5658307210031348,,33,85 59 96 80 86 6 83 53 22 67 62
1,0,direct_fixed_k,8,1270239.0,0.2,6,23,147.29999999999998,393145.0,227.4,1,1,1,0,1,2,0.08695652173913043,8.3,0.036499560246262094,,13,72 46 56 1 51 34 100 48 47 74 24 32 87 77 12 82 64 10 71 66 29 8 75
1,0,direct_fixed_k,8,1270239.0,0.2,7,18,149.39999999999998,192110.0,225.39999999999998,1,1,1,0,1,4,0.2222222222222222,22.1,0.09804791481810117,,24,63 73 57 79 39 23 11 70 19 5 38 4 28 58 94 31 78 93
1,0,direct_fixed_k,8,1270239.0,0.4,0,14,138.29999999999998,283642.0,194.6,1,1,1,0,1,2,0.14285714285714285,28.7,0.1474820143884892,,4,26 60 3 52 65 42 40 92 76 54 14 55 9 25
1,0,direct_fixed_k,8,1270239.0,0.4,1,8,40.900000000000006,36356.0,69.0,0,0,0,1,0,8,1.0,69.0,1.0,17367.0,136,18 17 43 30 27 45 36 21
1,0,direct_fixed_k,8,1270239.0,0.4,2,16,124.7,193802.0,193.10000000000002,1,1,1,0,1,12,0.75,140.2,0.7260486794407042,,95,88 84 97 44 95 99 41 69 7 16 81 98 35 68 37 2
1,0,direct_fixed_k,8,1270239.0,0.4,3,5,33.3,66400.0,45.1,0,0,0,1,0,5,1.0,45.1,1.0,51948.0,44,50 90 33 91 15
1,0,direct_fixed_k,8,1270239.0,0.4,4,5,38.0,40928.0,56.7,0,0,0,1,0,5,1.0,56.7,1.0,18194.0,57,13 20 49 61 89
1,0,direct_fixed_k,8,1270239.0,0.4,5,11,81.1,63856.0,127.60000000000001,1,1,1,0,1,10,0.9090909090909091,116.89999999999999,0.9161442006269591,,64,85 59 96 80 86 6 83 53 22 67 62
1,0,direct_fixed_k,8,1270239.0,0.4,6,23,147.29999999999998,393145.0,227.4,1,1,1,0,1,7,0.30434782608695654,57.99999999999999,0.25505716798592787,,46,72 46 56 1 51 34 100 48 47 74 24 32 87 77 12 82 64 10 71 66 29 8 75
1,0,direct_fixed_k,8,1270239.0,0.4,7,18,149.39999999999998,192110.0,225.39999999999998,1,1,1,0,1,11,0.6111111111111112,87.0,0.38598047914818107,,62,63 73 57 79 39 23 11 70 19 5 38 4 28 58 94 31 78 93
2,1,direct_fixed_k,7,1235689.0,0.05,0,13,124.6,263687.0,174.2,1,1,1,0,1,0,0.0,0.0,0.0,,0,26 60 3 52 65 42 40 92 76 54 14 55 9
2,1,direct_fixed_k,7,1235689.0,0.05,1,21,147.2,386691.0,223.6,1,1,1,0,1,0,0.0,0.0,0.0,,0,50 1 48 34 100 51 47 74 24 32 87 77 12 82 64 10 71 66 29 8 75
2,1,direct_fixed_k,7,1235689.0,0.05,2,6,53.39999999999999,43272.0,85.5,0,1,1,0,1,4,0.6666666666666666,62.2,0.7274853801169591,,14,13 20 21 30 84 88
2,1,direct_fixed_k,7,1235689.0,0.05,3,6,35.8,31852.0,59.9,0,0,0,1,0,6,1.0,59.900000000000006,1.0000000000000002,16332.0,30,18 17 43 37 68 2
2,1,direct_fixed_k,7,1235689.0,0.05,4,17,110.5,202371.0,165.1,1,1,1,0,1,5,0.29411764705882354,25.1,0.15202907328891582,,10,91 33 90 36 45 27 97 44 98 95 99 41 69 7 16 81 35
2,1,direct_fixed_k,7,1235689.0,0.05,5,16,146.20000000000002,155891.0,220.5,1,1,1,0,1,2,0.125,24.500000000000004,0.11111111111111113,,10,25 63 73 57 39 79 23 11 70 19 83 53 22 96 67 62
2,1,direct_fixed_k,7,1235689.0,0.05,6,21,135.29999999999998,151925.0,210.10000000000002,1,1,1,0,1,5,0.23809523809523808,36.900000000000006,0.17563065207044265,,13,61 49 15 46 93 78 31 56 58 28 94 4 38 5 6 86 80 59 85 72 89
2,1,direct_fixed_k,7,1235689.0,0.1,0,13,124.6,263687.0,174.2,1,1,1,0,1,0,0.0,0.0,0.0,,0,26 60 3 52 65 42 40 92 76 54 14 55 9
2,1,direct_fixed_k,7,1235689.0,0.1,1,21,147.2,386691.0,223.6,1,1,1,0,1,0,0.0,0.0,0.0,,0,50 1 48 34 100 51 47 74 24 32 87 77 12 82 64 10 71 66 29 8 75
2,1,direct_fixed_k,7,1235689.0,0.1,2,6,53.39999999999999,43272.0,85.5,0,1,1,1,0,6,1.0,85.5,1.0,31088.0,36,13 20 21 30 84 88
2,1,direct_fixed_k,7,1235689.0,0.1,3,6,35.8,31852.0,59.9,0,0,0,1,0,6,1.0,59.900000000000006,1.0000000000000002,11649.0,50,18 17 43 37 68 2
2,1,direct_fixed_k,7,1235689.0,0.1,4,17,110.5,202371.0,165.1,1,1,1,0,1,10,0.5882352941176471,88.3,0.5348273773470624,,58,91 33 90 36 45 27 97 44 98 95 99 41 69 7 16 81 35
2,1,direct_fixed_k,7,1235689.0,0.1,5,16,146.20000000000002,155891.0,220.5,1,1,1,0,1,4,0.25,45.3,0.20544217687074828,,17,25 63 73 57 39 79 23 11 70 19 83 53 22 96 67 62
2,1,direct_fixed_k,7,1235689.0,0.1,6,21,135.29999999999998,151925.0,210.10000000000002,1,1,1,0,1,7,0.3333333333333333,61.6,0.2931937172774869,,26,61 49 15 46 93 78 31 56 58 28 94 4 38 5 6 86 80 59 85 72 89
2,1,direct_fixed_k,7,1235689.0,0.2,0,13,124.6,263687.0,174.2,1,1,1,0,1,0,0.0,0.0,0.0,,0,26 60 3 52 65 42 40 92 76 54 14 55 9
2,1,direct_fixed_k,7,1235689.0,0.2,1,21,147.2,386691.0,223.6,1,1,1,0,1,2,0.09523809523809523,15.0,0.06708407871198568,,4,50 1 48 34 100 51 47 74 24 32 87 77 12 82 64 10 71 66 29 8 75
2,1,direct_fixed_k,7,1235689.0,0.2,2,6,53.39999999999999,43272.0,85.5,0,1,1,1,0,6,1.0,85.5,1.0,31088.0,43,13 20 21 30 84 88
2,1,direct_fixed_k,7,1235689.0,0.2,3,6,35.8,31852.0,59.9,0,0,0,1,0,6,1.0,59.900000000000006,1.0000000000000002,11649.0,66,18 17 43 37 68 2
2,1,direct_fixed_k,7,1235689.0,0.2,4,17,110.5,202371.0,165.1,1,1,1,0,1,10,0.5882352941176471,92.10000000000001,0.5578437310720776,,96,91 33 90 36 45 27 97 44 98 95 99 41 69 7 16 81 35
2,1,direct_fixed_k,7,1235689.0,0.2,5,16,146.20000000000002,155891.0,220.5,1,1,1,0,1,11,0.6875,110.6,0.5015873015873016,,71,25 63 73 57 39 79 23 11 70 19 83 53 22 96 67 62
2,1,direct_fixed_k,7,1235689.0,0.2,6,21,135.29999999999998,151925.0,210.10000000000002,1,1,1,0,1,12,0.5714285714285714,118.0,0.5616373155640171,,80,61 49 15 46 93 78 31 56 58 28 94 4 38 5 6 86 80 59 85 72 89
2,1,direct_fixed_k,7,1235689.0,0.4,0,13,124.6,263687.0,174.2,1,1,1,0,1,2,0.15384615384615385,28.7,0.16475315729047074,,4,26 60 3 52 65 42 40 92 76 54 14 55 9
2,1,direct_fixed_k,7,1235689.0,0.4,1,21,147.2,386691.0,223.6,1,1,1,0,1,7,0.3333333333333333,74.6,0.33363148479427546,,33,50 1 48 34 100 51 47 74 24 32 87 77 12 82 64 10 71 66 29 8 75
2,1,direct_fixed_k,7,1235689.0,0.4,2,6,53.39999999999999,43272.0,85.5,0,1,1,1,0,6,1.0,85.5,1.0,24383.0,46,13 20 21 30 84 88
2,1,direct_fixed_k,7,1235689.0,0.4,3,6,35.8,31852.0,59.9,0,0,0,1,0,6,1.0,59.900000000000006,1.0000000000000002,11649.0,71,18 17 43 37 68 2
2,1,direct_fixed_k,7,1235689.0,0.4,4,17,110.5,202371.0,165.1,1,1,1,0,1,13,0.7647058823529411,123.30000000000001,0.7468201090248335,,142,91 33 90 36 45 27 97 44 98 95 99 41 69 7 16 81 35
2,1,direct_fixed_k,7,1235689.0,0.4,5,16,146.20000000000002,155891.0,220.5,1,1,1,0,1,11,0.6875,119.00000000000001,0.5396825396825398,,99,25 63 73 57 39 79 23 11 70 19 83 53 22 96 67 62
