plan_a,seed_a,plan_b,seed_b,K,distance_a,distance_b,relative_cost_gap,route_len_profile_gap,route_delivery_profile_gap,exact_route_len_multiset_match,delta_frac,recovery_rate_a,recovery_rate_b,abs_recovery_rate_gap,mean_absorbed_customer_frac_a,mean_absorbed_customer_frac_b,abs_mean_absorbed_customer_frac_gap,mean_absorbed_workload_frac_a,mean_absorbed_workload_frac_b,abs_mean_absorbed_workload_frac_gap,recovery_rate_sub_len_a,recovery_rate_sub_len_b,abs_recovery_rate_sub_len_gap,mean_absorbed_customer_frac_sub_len_a,mean_absorbed_customer_frac_sub_len_b,abs_mean_absorbed_customer_frac_sub_len_gap,mean_absorbed_workload_frac_sub_len_a,mean_absorbed_workload_frac_sub_len_b,abs_mean_absorbed_workload_frac_sub_len_gap,recovery_rate_sub_work_a,recovery_rate_sub_work_b,abs_recovery_rate_sub_work_gap,mean_absorbed_customer_frac_sub_work_a,mean_absorbed_customer_frac_sub_work_b,abs_mean_absorbed_customer_frac_sub_work_gap,mean_absorbed_workload_frac_sub_work_a,mean_absorbed_workload_frac_sub_work_b,abs_mean_absorbed_workload_frac_sub_work_gap,recovery_rate_sub_either_a,recovery_rate_sub_either_b,abs_recovery_rate_sub_either_gap,mean_absorbed_customer_frac_sub_either_a,mean_absorbed_customer_frac_sub_either_b,abs_mean_absorbed_customer_frac_sub_either_gap,mean_absorbed_workload_frac_sub_either_a,mean_absorbed_workload_frac_sub_either_b,abs_mean_absorbed_workload_frac_sub_either_gap
0,0,2,1,7,1246180.0,1235689.0,0.008490000315613394,0.12,0.05657370517928297,0,0.05,0.0,0.14285714285714285,0.14285714285714285,0.21482796016957506,0.33198279311724693,0.11715483294767187,0.17898268618914176,0.30946517379820415,0.1304824876090624,0.0,0.0,0.0,0.13647342995169082,0.13144257703081233,0.005030852920878487,0.09806609882904965,0.08775416729409392,0.010311931534955729,0.0,0.0,0.0,0.15539452495974235,0.22064659197012138,0.06525206701037903,0.1138050823575414,0.19437603609790477,0.08057095374036337,0.0,0.0,0.0,0.15539452495974235,0.22064659197012138,0.06525206701037903,0.1138050823575414,0.19437603609790477,0.08057095374036337
0,0,2,1,7,1246180.0,1235689.0,0.008490000315613394,0.12,0.05657370517928297,0,0.1,0.0,0.2857142857142857,0.2857142857142857,0.3174110223799665,0.45308123249299725,0.13567021011303076,0.27384621605980325,0.43335189592789963,0.15950567986809638,0.0,0.0,0.0,0.1729468599033816,0.23431372549019608,0.06136686558681448,0.12134082164636535,0.20669265429905953,0.08535183265269418,0.0,0.16666666666666666,0.16666666666666666,0.22745571658615135,0.36192810457516345,0.1344723879890121,0.17965901803863782,0.33891054524921627,0.15925152721057845,0.0,0.16666666666666666,0.16666666666666666,0.22745571658615135,0.36192810457516345,0.1344723879890121,0.17965901803863782,0.33891054524921627,0.15925152721057845
0,0,2,1,7,1246180.0,1235689.0,0.008490000315613394,0.12,0.05657370517928297,0,0.2,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.43900966183574885,0.5632002801120448,0.12419061827629596,0.4058094335996777,0.526878918133626,0.12106948453394828,0.0,0.0,0.0,0.2896135265700483,0.38848039215686275,0.09886686558681446,0.24013320703954877,0.3376304853870764,0.09749727834752764,0.0,0.16666666666666666,0.16666666666666666,0.345511272141707,0.4904003267973856,0.14488905465567858,0.3067776725329573,0.4480254044892303,0.141247731956273,0.0,0.16666666666666666,0.16666666666666666,0.345511272141707,0.4904003267973856,0.14488905465567858,0.3067776725329573,0.4480254044892303,0.141247731956273
0,0,2,1,7,1246180.0,1235689.0,0.008490000315613394,0.12,0.05657370517928297,0,0.4,0.2857142857142857,0.2857142857142857,0.0,0.6330474218672977,0.6648101548311632,0.03176273296386556,0.6006072510375002,0.638134779217668,0.0375275281801678,0.0,0.0,0.0,0.4862663906142167,0.5307342167636285,0.044467826149411804,0.44085015145250034,0.49338869090473514,0.0525385394522348,0.16666666666666666,0.16666666666666666,0.0,0.5718886588451807,0.6089451806363572,0.03705652179117647,0.5340417928770836,0.5778239090872793,0.043782116210195676,0.16666666666666666,0.16666666666666666,0.0,0.5718886588451807,0.6089451806363572,0.03705652179117647,0.5340417928770836,0.5778239090872793,0.043782116210195676
0,0,4,2,7,1246180.0,1245950.0,0.00018459809783699185,0.0,0.02948207171314749,1,0.05,0.0,0.0,0.0,0.21482796016957506,0.20349009168884943,0.011337868480725627,0.17898268618914176,0.16928798951645577,0.009694696672685993,0.0,0.0,0.0,0.13647342995169082,0.09202898550724639,0.044444444444444425,0.09806609882904965,0.07369926375441059,0.024366835074639062,0.0,0.0,0.0,0.15539452495974235,0.20349009168884943,0.048095566729107087,0.1138050823575414,0.16928798951645577,0.055482907158914366,0.0,0.0,0.0,0.15539452495974235,0.20349009168884943,0.048095566729107087,0.1138050823575414,0.16928798951645577,0.055482907158914366
0,0,4,2,7,1246180.0,1245950.0,0.00018459809783699185,0.0,0.02948207171314749,1,0.1,0.0,0.0,0.0,0.3174110223799665,0.34320467317361725,0.025793650793650758,0.27384621605980325,0.30468017156485444,0.03083395550505119,0.0,0.0,0.0,0.1729468599033816,0.18405797101449275,0.011111111111111155,0.12134082164636535,0.15173851470060018,0.03039769305423483,0.0,0.0,0.0,0.22745571658615135,0.34320467317361725,0.1157489565874659,0.17965901803863782,0.30468017156485444,0.12502115352621662,0.0,0.0,0.0,0.22745571658615135,0.34320467317361725,0.1157489565874659,0.17965901803863782,0.30468017156485444,0.12502115352621662
0,0,4,2,7,1246180.0,1245950.0,0.00018459809783699185,0.0,0.02948207171314749,1,0.2,0.14285714285714285,0.14285714285714285,0.0,0.43900966183574885,0.44297791580400275,0.003968253968253899,0.4058094335996777,0.41378662695868945,0.007977193359011758,0.0,0.0,0.0,0.2896135265700483,0.29516908212560383,0.005555555555555536,0.24013320703954877,0.2513012777421653,0.01116807070261655,0.0,0.14285714285714285,0.14285714285714285,0.345511272141707,0.44297791580400275,0.09746664366229574,0.3067776725329573,0.41378662695868945,0.10700895442573216,0.0,0.14285714285714285,0.14285714285714285,0.345511272141707,0.44297791580400275,0.09746664366229574,0.3067776725329573,0.41378662695868945,0.10700895442573216
0,0,4,2,7,1246180.0,1245950.0,0.00018459809783699185,0.0,0.02948207171314749,1,0.4,0.2857142857142857,0.2857142857142857,0.0,0.6330474218672977,0.6710292812777284,0.03798185941043075,0.6006072510375002,0.6367266990402134,0.03611944800271316,0.0,0.0,0.0,0.4862663906142167,0.5394409937888198,0.0531746031746031,0.44085015145250034,0.4914173786562987,0.05056722720379836,0.16666666666666666,0.2857142857142857,0.11904761904761904,0.5718886588451807,0.6710292812777284,0.09914062243254773,0.5340417928770836,0.6367266990402134,0.10268490616312975,0.16666666666666666,0.2857142857142857,0.11904761904761904,0.5718886588451807,0.6710292812777284,0.09914062243254773,0.5340417928770836,0.6367266990402134,0.10268490616312975
0,0,6,3,7,1246180.0,1239200.0,0.0056326662362814715,0.12,0.024169986719787474,0,0.05,0.0,0.14285714285714285,0.14285714285714285,0.21482796016957506,0.26433235501558483,0.04950439484600977,0.17898268618914176,0.22750953073531824,0.04852684454617648,0.0,0.0,0.0,0.13647342995169082,0.1417210808515156,0.005247650899824791,0.09806609882904965,0.0987611191912046,0.0006950203621549494,0.0,0.0,0.0,0.15539452495974235,0.1417210808515156,0.01367344410822674,0.1138050823575414,0.0987611191912046,0.015043963166336799,0.0,0.0,0.0,0.15539452495974235,0.1417210808515156,0.01367344410822674,0.1138050823575414,0.0987611191912046,0.015043963166336799
0,0,6,3,7,1246180.0,1239200.0,0.0056326662362814715,0.12,0.024169986719787474,0,0.1,0.0,0.14285714285714285,0.14285714285714285,0.3174110223799665,0.3895024230427957,0.07209140066282921,0.27384621605980325,0.3575737912268759,0.08372757516707263,0.0,0.0,0.0,0.1729468599033816,0.28775282688326165,0.11480596697988005,0.12134082164636535,0.2505027564313552,0.12916193478498988,0.0,0.0,0.0,0.22745571658615135,0.28775282688326165,0.060297110297110296,0.17965901803863782,0.2505027564313552,0.0708437383927174,0.0,0.0,0.0,0.22745571658615135,0.28775282688326165,0.060297110297110296,0.17965901803863782,0.2505027564313552,0.0708437383927174
