plan_id,seed,K,distance,delta_frac,lost_a,lost_b,lost_a_len,lost_b_len,lost_a_workload,lost_b_workload,lost_a_substantive,lost_b_substantive,both_substantive,extra_units,need_two_units,need_at_most_one,fully_absorbed,total_customers,absorbed_customers,absorbed_customer_frac,total_delivery,total_pickup,total_workload,absorbed_workload,absorbed_workload_frac,residual_delivery_at_max_work,residual_pickup_at_max_work,residual_workload,residual_workload_frac,one_unit_capacity_feasible,terminal_dp_states,lost_route_a,lost_route_b
6,3,7,1239200.0,0.2,0,4,13,10,123.89999999999999,93.10000000000001,1,1,1,1,0,1,0,23,6,0.2608695652173913,146.6,70.4,217.0,56.300000000000004,0.25944700460829495,111.1,49.6,160.7,0.740552995391705,1,1,50 78 31 38 4 28 58 94 93 6 86 80 96,13 15 91 33 90 36 21 20 49 61
6,3,7,1239200.0,0.2,0,5,13,5,123.89999999999999,56.800000000000004,1,0,0,1,0,1,0,18,6,0.3333333333333333,119.0,61.7,180.70000000000002,51.09999999999999,0.28278915329275034,86.2,43.4,129.60000000000002,0.7172108467072497,1,1,50 78 31 38 4 28 58 94 93 6 86 80 96,62 67 59 85 89
6,3,7,1239200.0,0.2,0,6,13,23,123.89999999999999,227.40000000000003,1,1,1,2,1,0,0,36,6,0.16666666666666666,232.1,119.2,351.29999999999995,55.800000000000004,0.15883859948761744,195.8,99.7,295.49999999999994,0.8411614005123825,0,16,50 78 31 38 4 28 58 94 93 6 86 80 96,75 8 29 66 71 10 64 82 12 77 87 32 24 74 47 51 34 100 48 1 56 46 72
6,3,7,1239200.0,0.2,1,2,14,21,213.90000000000003,234.19999999999996,1,1,1,2,1,0,0,35,10,0.2857142857142857,290.8,157.3,448.09999999999997,141.7,0.3162240571301049,200.8,105.6,306.4,0.6837759428698951,0,32,22 53 83 5 19 70 11 23 79 39 57 63 73 25,18 88 84 30 45 27 97 44 95 99 41 69 7 16 81 98 35 43 17 37 68
6,3,7,1239200.0,0.2,1,3,14,14,213.90000000000003,189.6,1,1,1,2,1,0,0,28,4,0.14285714285714285,275.9,127.6,403.49999999999994,57.5,0.1425030978934325,238.3,107.7,345.99999999999994,0.8574969021065675,0,16,22 53 83 5 19 70 11 23 79 39 57 63 73 25,26 60 3 52 65 42 40 92 76 54 14 55 9 2
6,3,7,1239200.0,0.2,1,4,14,10,213.90000000000003,93.10000000000001,1,1,1,1,0,1,0,24,9,0.375,203.6,103.4,307.0,91.39999999999999,0.2977198697068404,141.4,74.2,215.60000000000002,0.7022801302931597,1,16,22 53 83 5 19 70 11 23 79 39 57 63 73 25,13 15 91 33 90 36 21 20 49 61
6,3,7,1239200.0,0.2,1,5,14,5,213.90000000000003,56.800000000000004,1,0,0,1,0,1,0,19,8,0.42105263157894735,176.0,94.7,270.7,85.1,0.3143701514591799,124.8,60.8,185.6,0.6856298485408201,1,16,22 53 83 5 19 70 11 23 79 39 57 63 73 25,62 67 59 85 89
6,3,7,1239200.0,0.2,1,6,14,23,213.90000000000003,227.40000000000003,1,1,1,2,1,0,0,37,5,0.13513513513513514,289.1,152.2,441.29999999999995,69.69999999999999,0.15794244278268751,244.9,126.7,371.59999999999997,0.8420575572173125,0,16,22 53 83 5 19 70 11 23 79 39 57 63 73 25,75 8 29 66 71 10 64 82 12 77 87 32 24 74 47 51 34 100 48 1 56 46 72
6,3,7,1239200.0,0.2,2,3,21,14,234.19999999999996,189.6,1,1,1,2,1,0,0,35,11,0.3142857142857143,283.1,140.7,423.79999999999995,113.9,0.2687588485134498,212.0,97.9,309.9,0.7312411514865503,0,16,18 88 84 30 45 27 97 44 95 99 41 69 7 16 81 98 35 43 17 37 68,26 60 3 52 65 42 40 92 76 54 14 55 9 2
6,3,7,1239200.0,0.2,2,4,21,10,234.19999999999996,93.10000000000001,1,1,1,1,0,1,0,31,13,0.41935483870967744,210.8,116.5,327.3,129.2,0.3947448823709135,131.3,66.8,198.10000000000002,0.6052551176290865,1,16,18 88 84 30 45 27 97 44 95 99 41 69 7 16 81 98 35 43 17 37 68,13 15 91 33 90 36 21 20 49 61
6,3,7,1239200.0,0.2,2,5,21,5,234.19999999999996,56.800000000000004,1,0,0,1,0,1,0,26,12,0.46153846153846156,183.2,107.8,291.0,145.0,0.49828178694158076,96.1,49.9,146.0,0.5017182130584192,1,32,18 88 84 30 45 27 97 44 95 99 41 69 7 16 81 98 35 43 17 37 68,62 67 59 85 89
6,3,7,1239200.0,0.2,2,6,21,23,234.19999999999996,227.40000000000003,1,1,1,2,1,0,0,44,10,0.22727272727272727,296.3,165.3,461.59999999999997,140.3,0.30394280762564996,210.7,110.6,321.29999999999995,0.69605719237435,0,35,18 88 84 30 45 27 97 44 95 99 41 69 7 16 81 98 35 43 17 37 68,75 8 29 66 71 10 64 82 12 77 87 32 24 74 47 51 34 100 48 1 56 46 72
6,3,7,1239200.0,0.2,3,4,14,10,189.6,93.10000000000001,1,1,1,2,1,0,0,24,7,0.2916666666666667,195.9,86.8,282.70000000000005,61.50000000000001,0.2175451008135833,154.5,66.7,221.20000000000005,0.7824548991864168,0,8,26 60 3 52 65 42 40 92 76 54 14 55 9 2,13 15 91 33 90 36 21 20 49 61
6,3,7,1239200.0,0.2,3,5,14,5,189.6,56.800000000000004,1,0,0,1,0,1,0,19,6,0.3157894736842105,168.3,78.1,246.4,72.20000000000002,0.29301948051948057,124.6,49.6,174.2,0.7069805194805194,1,16,26 60 3 52 65 42 40 92 76 54 14 55 9 2,62 67 59 85 89
6,3,7,1239200.0,0.2,3,6,14,23,189.6,227.40000000000003,1,1,1,2,1,0,0,37,4,0.10810810810810811,281.4,135.6,416.99999999999994,29.50000000000003,0.07074340527577945,263.3,124.2,387.4999999999999,0.9292565947242205,0,16,26 60 3 52 65 42 40 92 76 54 14 55 9 2,75 8 29 66 71 10 64 82 12 77 87 32 24 74 47 51 34 100 48 1 56 46 72
6,3,7,1239200.0,0.2,4,5,10,5,93.10000000000001,56.800000000000004,1,0,0,1,0,1,0,15,10,0.6666666666666666,96.0,53.9,149.9,96.30000000000001,0.6424282855236825,36.3,17.3,53.599999999999994,0.35757171447631747,1,1,13 15 91 33 90 36 21 20 49 61,62 67 59 85 89
