instance,source,profile,policy,repetition,seed,N,dimension,alpha,capacity,iterations,direction,solver,destroy_min_frac,destroy_max_frac,sa_temp,sa_cool,segment_size,reaction,sigma_1,sigma_2,sigma_3,local_search,calls,coverage,certified_feasible,certified_infeasible,fallbacks,mean_pieces,mean_route_length_checked,K,distance,objective_raw,accepted_moves,accepted_nonimproving,new_bests,random_destroy_uses,worst_destroy_uses,greedy_repair_uses,regret2_repair_uses,search_trace_digest,full_gate_seconds,cert_gate_seconds,full_solver_seconds,cert_solver_seconds,gate_speedup,solver_speedup,solver_speedup_with_prep,prep_seconds,explained_variance,effective_rank,entropy_rank,top_share,residual_cvar,audit_checks,identity_pass,trace_identity_pass
CON3-4,CON3-4.vrpspd,moderate,WDRO,0,52026,5000,10,0.9,745.99077,10,SLOPE,ALNS,0.1,0.4,100.0,0.9997,5,0.8,33.0,9.0,13.0,1,34965,0.6390962390962391,20666,1680,12619,3.821736021736022,11.107078507078507,4,653.0311999999999,795.9665694117646,6,4,0,3,7,3,7,a0da25fcdd923d51aa4a820385e3b6c96e14333b3ea11073b97b95baef550ac5,12.988077400477778,7.872016300083487,13.149490499999956,8.108458900002006,1.6499047900015187,1.6217003332158104,1.6209337317254728,0.0038348000016412698,0.09841059994950621,1.1971213729466967,1.4347629671463207,0.9107237842030107,4.066015415217112,602,1,1
SCA8-4,SCA8-4.vrpspd,moderate,WDRO,0,102026,5000,10,0.9,314.395875,10,SLOPE,ALNS,0.1,0.4,100.0,0.9997,5,0.8,33.0,9.0,13.0,1,37621,0.7659020228064113,10943,17871,8807,3.2770261290236835,4.874724223173228,12,1288.5834,1929.3915995294117,4,4,0,5,5,4,6,68aaba5e113afc9c247e904de788ee4071d9ec120bb0bef250c456615ce4909d,7.322153299712227,3.3074872998549836,7.45634229999996,3.4995060000001104,2.2138114634735757,2.1306842451476653,2.1291624092287513,0.0025012999976752326,0.10125045154941789,1.286914795031916,1.6806165448706847,0.8773395852185877,4.042214114380817,2960,1,1
