instance,source,profile,policy,N,dimension,alpha,capacity,iterations,repetitions,direction,solver,destroy_min_frac,destroy_max_frac,sa_temp,sa_cool,segment_size,reaction,sigma_1,sigma_2,sigma_3,local_search,prep_seconds,explained_variance,effective_rank,entropy_rank,top_share,residual_cvar,calls,coverage,coverage_iqr,certified_feasible,certified_infeasible,fallbacks,mean_pieces,mean_route_length_checked,K,distance,objective_raw,accepted_moves,accepted_nonimproving,new_bests,random_destroy_uses,worst_destroy_uses,greedy_repair_uses,regret2_repair_uses,full_gate_seconds,full_gate_iqr,cert_gate_seconds,cert_gate_iqr,gate_speedup,gate_speedup_iqr,full_solver_seconds,full_solver_iqr,cert_solver_seconds,cert_solver_iqr,solver_speedup,solver_speedup_iqr,solver_speedup_with_prep,solver_speedup_with_prep_iqr,audit_checks,identity_pass,trace_identity_pass
CON3-4,CON3-4.vrpspd,moderate,WDRO,5000,10,0.9,745.99077,10,1,SLOPE,ALNS,0.1,0.4,100.0,0.9997,5,0.8,33.0,9.0,13.0,1,0.0038348000016412698,0.09841059994950621,1.1971213729466967,1.4347629671463207,0.9107237842030107,4.066015415217112,34965,0.6390962390962391,0.0,20666,1680,12619,3.821736021736022,11.107078507078507,4,653.0311999999999,795.9665694117646,6,4,0,3,7,3,7,12.988077400477778,0.0,7.872016300083487,0.0,1.6499047900015187,0.0,13.149490499999956,0.0,8.108458900002006,0.0,1.6217003332158104,0.0,1.6209337317254728,0.0,602,1,1
SCA8-4,SCA8-4.vrpspd,moderate,WDRO,5000,10,0.9,314.395875,10,1,SLOPE,ALNS,0.1,0.4,100.0,0.9997,5,0.8,33.0,9.0,13.0,1,0.0025012999976752326,0.10125045154941789,1.286914795031916,1.6806165448706847,0.8773395852185877,4.042214114380817,37621,0.7659020228064113,0.0,10943,17871,8807,3.2770261290236835,4.874724223173228,12,1288.5834,1929.3915995294117,4,4,0,5,5,4,6,7.322153299712227,0.0,3.3074872998549836,0.0,2.2138114634735757,0.0,7.45634229999996,0.0,3.4995060000001104,0.0,2.1306842451476653,0.0,2.1291624092287513,0.0,2960,1,1
