Dataset,Instance,scenario,monitor,n_days,false_rate,detect_rate,mean_delay
Dethloff,CON3-0,dwell_mild,rolling_opt,15,1.0,0.0,
Dethloff,CON3-0,dwell_severe,tempo2,15,0.0,1.0,3.0
Dethloff,CON3-0,dwell_severe,tempo_flat,15,0.0,1.0,8.2
Dethloff,CON3-0,dwell_severe,cusum_cal,15,0.0,1.0,13.0
Dethloff,CON3-0,dwell_severe,cusum_match,15,0.0,1.0,20.666666666666668
Dethloff,CON3-0,dwell_severe,ph_match,15,0.0,1.0,33.53333333333333
Dethloff,CON3-0,dwell_severe,esr_match,15,0.0,1.0,2.6666666666666665
Dethloff,CON3-0,dwell_severe,ecusum_match,15,0.0,1.0,2.0
Dethloff,CON3-0,dwell_severe,bonferroni,15,0.0,1.0,10.0
Dethloff,CON3-0,dwell_severe,periodic,15,0.0,1.0,30.0
Dethloff,CON3-0,dwell_severe,rolling_opt,15,1.0,0.0,
Dethloff,CON3-0,accident_mild,tempo2,15,0.0,0.2,28.333333333333332
Dethloff,CON3-0,accident_mild,tempo_flat,15,0.0,0.13333333333333333,22.5
Dethloff,CON3-0,accident_mild,cusum_cal,15,0.0,0.13333333333333333,25.0
Dethloff,CON3-0,accident_mild,cusum_match,15,0.0,0.06666666666666667,55.0
Dethloff,CON3-0,accident_mild,ph_match,15,0.0,0.06666666666666667,45.0
Dethloff,CON3-0,accident_mild,esr_match,15,0.0,0.2,28.333333333333332
Dethloff,CON3-0,accident_mild,ecusum_match,15,0.0,0.2,28.333333333333332
Dethloff,CON3-0,accident_mild,bonferroni,15,0.0,0.26666666666666666,33.0
Dethloff,CON3-0,accident_mild,periodic,15,0.0,1.0,33.0
Dethloff,CON3-0,accident_mild,rolling_opt,15,1.0,0.0,
Dethloff,CON3-0,accident_severe,tempo2,15,0.0,1.0,30.0
Dethloff,CON3-0,accident_severe,tempo_flat,15,0.0,0.9333333333333333,27.142857142857142
Dethloff,CON3-0,accident_severe,cusum_cal,15,0.0,1.0,28.0
Dethloff,CON3-0,accident_severe,cusum_match,15,0.0,1.0,37.666666666666664
Dethloff,CON3-0,accident_severe,ph_match,15,0.0,0.9333333333333333,49.214285714285715
Dethloff,CON3-0,accident_severe,esr_match,15,0.0,1.0,33.6
Dethloff,CON3-0,accident_severe,ecusum_match,15,0.0,1.0,33.86666666666667
Dethloff,CON3-0,accident_severe,bonferroni,15,0.0,1.0,26.333333333333332
Dethloff,CON3-0,accident_severe,periodic,15,0.0,1.0,33.0
Dethloff,CON3-0,accident_severe,rolling_opt,15,1.0,0.0,
Dethloff,CON3-0,breakdown,tempo2,15,0.0,0.6666666666666666,17.5
Dethloff,CON3-0,breakdown,tempo_flat,15,0.0,0.6666666666666666,17.5
Dethloff,CON3-0,breakdown,cusum_cal,15,0.0,0.6666666666666666,17.5
Dethloff,CON3-0,breakdown,cusum_match,15,0.0,0.6666666666666666,17.5
Dethloff,CON3-0,breakdown,ph_match,15,0.0,0.6666666666666666,17.5
Dethloff,CON3-0,breakdown,esr_match,15,0.0,0.6666666666666666,17.5
Dethloff,CON3-0,breakdown,ecusum_match,15,0.0,0.6666666666666666,17.5
Dethloff,CON3-0,breakdown,bonferroni,15,0.0,0.6666666666666666,17.5
Dethloff,CON3-0,breakdown,periodic,15,0.0,1.0,20.8
Dethloff,CON3-0,breakdown,rolling_opt,15,1.0,0.0,
Dethloff,CON3-0,traffic_ramp,tempo2,15,0.0,1.0,8.0
Dethloff,CON3-0,traffic_ramp,tempo_flat,15,0.0,1.0,17.666666666666668
Dethloff,CON3-0,traffic_ramp,cusum_cal,15,0.0,1.0,22.666666666666668
Dethloff,CON3-0,traffic_ramp,cusum_match,15,0.0,1.0,32.666666666666664
Dethloff,CON3-0,traffic_ramp,ph_match,15,0.0,0.9333333333333333,54.92857142857143
Dethloff,CON3-0,traffic_ramp,esr_match,15,0.0,1.0,10.066666666666666
Dethloff,CON3-0,traffic_ramp,ecusum_match,15,0.0,1.0,9.333333333333334
Dethloff,CON3-0,traffic_ramp,bonferroni,15,0.0,1.0,15.333333333333334
Dethloff,CON3-0,traffic_ramp,periodic,15,0.0,1.0,34.0
Dethloff,CON3-0,traffic_ramp,rolling_opt,15,1.0,0.0,
Dethloff,CON3-0,demand_ramp,tempo2,15,0.06666666666666667,0.8666666666666667,41.38461538461539
Dethloff,CON3-0,demand_ramp,tempo_flat,15,0.06666666666666667,0.2,32.666666666666664
Dethloff,CON3-0,demand_ramp,cusum_cal,15,0.06666666666666667,0.4,46.333333333333336
Dethloff,CON3-0,demand_ramp,cusum_match,15,0.06666666666666667,0.13333333333333333,16.5
Dethloff,CON3-0,demand_ramp,ph_match,15,0.06666666666666667,0.2,33.666666666666664
Dethloff,CON3-0,demand_ramp,esr_match,15,0.06666666666666667,0.4666666666666667,31.285714285714285
Dethloff,CON3-0,demand_ramp,ecusum_match,15,0.06666666666666667,0.5333333333333333,31.875
