Instance,Plan,N_cust,K_routes,Travel_km,Fixed_cost,none_rec,none_TBC,none_HO,none_fail,v1_end_rec,v1_end_TBC,v1_end_HO,v1_end_fail,v1_end_saving,v1_end_gap,v1_myo_rec,v1_myo_TBC,v1_myo_HO,v1_myo_fail,v1_myo_saving,v1_myo_gap,fb_tau_rec,fb_tau_TBC,fb_tau_HO,fb_tau_fail,fb_tau_saving,fb_tau_gap,v2_lsm_rec,v2_lsm_TBC,v2_lsm_HO,v2_lsm_fail,v2_lsm_saving,v2_lsm_gap,dp_n_rec,dp_n_TBC,dp_n_HO,dp_n_fail,dp_n_saving,dp_n_gap,dp_xl_rec,dp_xl_TBC,dp_xl_HO,dp_xl_fail,dp_xl_saving,dp_xl_gap,oracle_rec,oracle_TBC,oracle_HO,oracle_fail,oracle_saving,solve_s,eval_s
CON3-5,GNRS,50,4,595.81,199.58,44.3,243.89,0.0,0.1566,22.36,221.94,0.1452,0.0244,49.52,26.08,39.82,239.4,0.302,0.0009,10.12,84.89,22.19,221.77,0.1489,0.022,49.92,25.49,19.72,219.3,0.1641,0.0128,55.49,17.17,19.62,219.21,0.1671,0.0102,55.7,16.85,19.1,218.68,0.1631,0.0109,56.88,15.09,14.62,214.2,0.1566,0.0,66.99,35.4,1.0
CON3-5,BSIM,50,4,605.41,200.54,31.28,231.82,0.0,0.1215,15.32,215.86,0.1181,0.016,51.03,24.72,25.97,226.51,0.2228,0.0013,16.97,74.97,15.25,215.79,0.1186,0.0155,51.24,24.4,13.64,214.18,0.1298,0.0084,56.39,16.81,14.09,214.63,0.1364,0.0064,54.96,18.91,13.23,213.77,0.1301,0.0066,57.7,14.87,10.08,210.62,0.1215,0.0,67.78,35.4,1.0
CON3-6,GNRS,50,4,521.67,192.17,41.55,233.71,0.0,0.1461,22.37,214.54,0.1365,0.0267,46.14,32.08,34.35,226.51,0.2824,0.0011,17.33,74.49,21.73,213.9,0.1345,0.0256,47.69,29.81,18.87,211.04,0.1439,0.0184,54.58,19.66,18.57,210.74,0.1562,0.0115,55.3,18.6,17.8,209.97,0.1611,0.0083,57.15,15.87,13.32,205.49,0.1461,0.0,67.94,35.7,0.8
CON3-6,BSIM,50,5,546.2,229.62,27.64,257.26,0.0,0.0879,15.31,244.93,0.084,0.0152,44.59,34.5,25.92,255.54,0.1798,0.0008,6.22,90.86,14.95,244.57,0.0817,0.0156,45.91,32.56,12.32,241.94,0.0957,0.0074,55.42,18.59,13.16,242.78,0.1081,0.0046,52.39,23.05,11.7,241.32,0.0958,0.0052,57.67,15.29,8.82,238.44,0.0879,0.0,68.08,35.7,0.8
CON3-7,GNRS,50,4,602.5,200.25,31.05,231.3,0.0,0.115,15.72,215.97,0.1117,0.0158,49.38,26.12,29.44,229.69,0.2344,0.001,5.21,92.2,15.84,216.09,0.1206,0.013,48.98,26.71,14.18,214.43,0.1217,0.0101,54.33,18.71,14.71,214.96,0.1289,0.0079,52.62,21.26,13.71,213.96,0.1254,0.007,55.85,16.43,10.3,210.55,0.115,0.0,66.83,35.3,0.8
CON3-7,BSIM,50,5,618.01,236.8,13.73,250.54,0.0,0.0426,7.36,244.16,0.0466,0.0038,46.39,30.56,12.04,248.84,0.08,0.0002,12.32,81.56,7.29,244.09,0.0438,0.005,46.94,29.74,5.98,242.78,0.0438,0.0035,56.49,15.44,7.28,244.08,0.0509,0.0032,46.99,29.66,5.91,242.72,0.0474,0.0019,56.94,14.77,4.56,241.36,0.0426,0.0,66.81,35.3,0.8
CON3-8,GNRS,50,4,545.76,194.58,48.45,243.03,0.0,0.1646,23.51,218.08,0.1701,0.0174,51.48,23.07,37.54,232.12,0.3103,0.0009,22.51,66.37,23.18,217.76,0.167,0.0175,52.15,22.07,20.49,215.07,0.176,0.0099,57.71,13.77,21.02,215.6,0.1829,0.0074,56.61,15.42,20.22,214.8,0.1795,0.0073,58.26,12.94,16.02,210.6,0.1646,0.0,66.93,59.4,1.0
CON3-8,BSIM,50,4,579.95,198.0,40.38,238.37,0.0,0.1604,19.69,217.69,0.1599,0.0176,51.23,24.66,32.75,230.75,0.2958,0.0013,18.88,72.23,19.02,217.02,0.1541,0.019,52.89,22.22,16.92,214.92,0.1712,0.011,58.09,14.57,17.47,215.46,0.1759,0.0094,56.74,16.56,16.41,214.41,0.1734,0.0078,59.35,12.72,12.92,210.92,0.1604,0.0,68.0,59.4,0.8
CON3-9,GNRS,50,4,608.24,200.82,46.37,247.19,0.0,0.1633,24.0,224.82,0.1546,0.0235,48.24,28.12,41.11,241.93,0.308,0.0008,11.34,83.1,23.74,224.56,0.1545,0.0229,48.8,27.29,20.25,221.07,0.1723,0.0118,56.33,16.07,20.88,221.71,0.1779,0.0109,54.96,18.11,19.61,220.44,0.1749,0.0087,57.7,14.03,15.25,216.07,0.1633,0.0,67.11,69.0,0.9
CON3-9,BSIM,50,5,616.23,236.62,23.6,260.22,0.0,0.0766,12.55,249.18,0.0832,0.0097,46.81,30.55,21.01,257.63,0.1577,0.0004,10.98,83.71,12.51,249.13,0.0849,0.0088,46.99,30.28,11.21,247.83,0.0803,0.0093,52.51,22.09,12.0,248.62,0.0875,0.0087,49.16,27.06,10.48,247.1,0.0854,0.0051,55.61,17.5,7.69,244.32,0.0766,0.0,67.4,69.0,0.8
CON8-0,GNRS,50,11,955.81,480.58,113.21,593.79,0.0,0.1706,69.24,549.82,0.1724,0.0411,38.84,40.28,81.87,562.45,0.2791,0.0159,27.68,57.44,68.89,549.47,0.1778,0.0386,39.15,39.8,66.84,547.42,0.1895,0.0335,40.96,37.01,67.04,547.62,0.1922,0.0328,40.78,37.29,65.38,545.96,0.1912,0.031,42.25,35.04,39.59,520.17,0.1706,0.0,65.03,62.3,0.9
CON8-0,BSIM,50,12,1029.01,522.9,82.11,605.01,0.0,0.1159,52.08,574.98,0.109,0.0334,36.58,42.05,62.47,585.37,0.1832,0.0159,23.92,62.1,52.22,575.12,0.1068,0.0347,36.4,42.33,49.89,572.79,0.117,0.0288,39.24,37.83,50.12,573.02,0.124,0.0267,38.96,38.27,49.88,572.78,0.1213,0.0275,39.25,37.81,30.29,553.19,0.1159,0.0,63.12,62.3,0.9
CON8-1,GNRS,50,11,830.32,468.03,117.38,585.41,0.0,0.1785,70.81,538.84,0.1784,0.0445,39.68,37.79,79.21,547.24,0.2599,0.024,32.52,49.02,70.18,538.21,0.178,0.0436,40.21,36.95,68.34,536.37,0.1932,0.037,41.78,34.5,68.41,536.45,0.2001,0.0347,41.71,34.6,67.69,535.72,0.1949,0.0353,42.33,33.62,42.52,510.55,0.1785,0.0,63.78,45.2,1.0
CON8-1,BSIM,50,12,854.72,505.47,72.09,577.56,0.0,0.1036,45.41,550.88,0.1065,0.0281,37.01,43.93,50.1,555.57,0.1478,0.0181,30.51,53.78,45.46,550.93,0.1068,0.0281,36.94,44.04,43.96,549.43,0.1117,0.0251,39.03,40.87,44.26,549.73,0.1182,0.0232,38.61,41.51,43.27,548.75,0.1123,0.0239,39.97,39.44,24.51,529.98,0.1036,0.0,66.0,45.2,0.8
CON8-2,GNRS,50,11,786.84,463.68,105.31,568.99,0.0,0.1596,61.67,525.35,0.1701,0.0329,41.44,36.42,70.67,534.35,0.25,0.0135,32.89,49.53,61.32,525.0,0.169,0.0333,41.77,35.9,59.16,522.84,0.1801,0.0275,43.82,32.76,59.92,523.6,0.1823,0.0275,43.1,33.86,58.91,522.59,0.1786,0.0273,44.06,32.4,36.68,500.36,0.1596,0.0,65.17,32.9,0.8
CON8-2,BSIM,50,12,812.63,501.26,71.85,573.12,0.0,0.1025,43.03,544.3,0.1048,0.0248,40.11,39.41,50.73,552.0,0.1723,0.0102,29.39,55.6,43.17,544.44,0.105,0.025,39.91,39.7,41.42,542.68,0.1128,0.0208,42.36,36.01,41.72,542.98,0.1193,0.019,41.94,36.64,41.16,542.42,0.1155,0.0195,42.71,35.47,24.29,525.55,0.1025,0.0,66.19,32.9,0.8
CON8-5,GNRS,50,11,888.34,473.83,92.07,565.9,0.0,0.1412,56.97,530.81,0.1511,0.0342,38.12,40.54,64.14,537.97,0.219,0.0193,30.34,52.68,57.04,530.87,0.1525,0.034,38.05,40.65,54.55,528.38,0.152,0.0316,40.75,36.43,55.4,529.23,0.159,0.0303,39.83,37.87,54.33,528.16,0.1584,0.029,40.99,36.06,33.04,506.88,0.1412,0.0,64.11,33.7,0.8
CON8-5,BSIM,50,12,899.21,509.92,62.72,572.64,0.0,0.0907,43.5,553.42,0.0893,0.0322,30.65,46.71,48.79,558.71,0.1267,0.0243,22.22,61.36,43.49,553.41,0.0892,0.0322,30.66,46.69,42.59,552.51,0.0885,0.0319,32.1,44.18,43.3,553.22,0.0921,0.0313,30.97,46.14,41.84,551.76,0.0905,0.03,33.29,42.11,26.65,536.57,0.0907,0.0,57.51,33.7,0.8
CON8-3,GNRS,50,12,902.31,510.23,102.45,612.68,0.0,0.1374,62.43,572.66,0.1498,0.0295,39.06,39.11,73.19,583.42,0.2113,0.0171,28.56,55.48,62.41,572.64,0.1497,0.0295,39.08,39.08,60.4,570.63,0.155,0.0265,41.05,36.02,60.77,571.0,0.1606,0.025,40.68,36.59,59.8,570.03,0.1539,0.0259,41.63,35.11,36.72,546.95,0.1374,0.0,64.16,65.2,1.0
CON8-3,BSIM,50,12,964.81,516.48,89.52,606.0,0.0,0.1278,57.05,573.53,0.1256,0.0365,36.28,41.88,64.68,581.17,0.1943,0.0192,27.74,55.55,57.21,573.69,0.1243,0.0373,36.09,42.18,55.1,571.58,0.1369,0.0303,38.45,38.4,55.97,572.45,0.1393,0.0309,37.47,39.96,54.53,571.01,0.1384,0.0293,39.08,37.38,33.64,550.13,0.1278,0.0,62.42,65.2,0.9
CON8-4,GNRS,50,11,872.64,472.26,107.06,579.33,0.0,0.1615,66.27,538.53,0.1645,0.0413,38.1,39.6,77.04,549.31,0.2415,0.023,28.04,55.56,66.07,538.34,0.1626,0.042,38.29,39.31,63.87,536.14,0.1859,0.0322,40.34,36.06,64.81,537.07,0.1888,0.032,39.47,37.45,62.85,535.11,0.184,0.031,41.3,34.54,39.52,511.78,0.1615,0.0,63.09,68.1,0.9
CON8-4,BSIM,50,11,912.31,476.23,98.52,574.75,0.0,0.1538,60.57,536.8,0.1569,0.0387,38.52,40.6,70.37,546.6,0.2501,0.0159,28.57,55.95,60.49,536.73,0.1575,0.0384,38.6,40.49,58.66,534.89,0.1779,0.0294,40.46,37.62,59.11,535.35,0.1835,0.0279,40.0,38.33,57.81,534.04,0.1778,0.0281,41.32,36.29,34.62,510.85,0.1538,0.0,64.86,68.1,0.8
CON8-7,GNRS,50,11,937.33,478.73,85.74,564.47,0.0,0.1291,56.15,534.88,0.1391,0.0337,34.51,46.29,61.91,540.65,0.1864,0.0197,27.79,56.76,55.62,534.35,0.1362,0.0341,35.13,45.32,53.02,531.75,0.1574,0.0246,38.16,40.61,52.81,531.54,0.1534,0.0255,38.41,40.23,51.91,530.64,0.1432,0.0279,39.46,38.59,30.65,509.38,0.1291,0.0,64.26,35.3,0.9
CON8-7,BSIM,50,12,971.75,517.18,47.38,564.55,0.0,0.0656,31.81,548.99,0.068,0.0199,32.85,47.57,37.59,554.76,0.1054,0.0115,20.66,67.03,31.81,548.98,0.0669,0.0204,32.86,47.56,30.82,547.99,0.074,0.017,34.95,44.22,31.97,549.14,0.0759,0.0179,32.53,48.09,29.85,547.02,0.0729,0.0158,37.0,40.96,17.69,534.86,0.0656,0.0,62.66,35.3,0.9
CON8-6,GNRS,50,11,745.39,459.54,96.25,555.79,0.0,0.1491,64.85,524.39,0.1472,0.0477,32.62,44.89,73.66,533.2,0.2228,0.0279,23.47,60.35,64.85,524.38,0.1473,0.0477,32.63,44.88,62.4,521.94,0.165,0.0393,35.17,40.59,63.0,522.54,0.169,0.0389,34.54,41.65,61.67,521.21,0.1571,0.0412,35.92,39.31,39.27,498.81,0.1491,0.0,59.19,56.9,0.8
CON8-6,BSIM,50,12,807.54,500.75,53.21,553.96,0.0,0.0762,34.41,535.17,0.0805,0.0206,35.32,46.02,40.36,541.12,0.1233,0.0114,24.14,63.11,34.53,535.28,0.0816,0.0204,35.11,46.34,33.09,533.85,0.0835,0.0183,37.8,42.22,34.12,534.88,0.0892,0.0177,35.87,45.18,32.87,533.63,0.0841,0.0178,38.21,41.59,18.39,519.15,0.0762,0.0,65.43,56.9,0.8
SCA3-0,GNRS,50,4,668.09,206.81,49.59,256.4,0.0,0.1823,26.6,233.41,0.1812,0.0247,46.35,30.67,41.41,248.22,0.3178,0.0034,16.48,75.35,26.49,233.3,0.1825,0.024,46.59,30.32,21.79,228.6,0.1942,0.0135,56.05,16.16,22.15,228.95,0.1945,0.0135,55.34,17.22,21.31,228.12,0.194,0.0118,57.02,14.71,16.44,223.25,0.1823,0.0,66.85,31.1,1.0
SCA3-0,BSIM,50,5,702.61,245.26,25.62,270.88,0.0,0.0768,13.89,259.15,0.0646,0.0174,45.78,31.27,21.03,266.29,0.1351,0.0013,17.92,73.09,13.84,259.1,0.065,0.0173,45.97,30.98,11.53,256.79,0.0821,0.0061,54.99,17.44,11.81,257.08,0.0839,0.0053,53.89,19.09,11.18,256.44,0.0822,0.0049,56.36,15.39,8.56,253.82,0.0768,0.0,66.61,31.1,1.0
CON8-8,GNRS,50,11,841.26,469.13,107.92,577.05,0.0,0.1651,65.7,534.82,0.1818,0.035,39.12,34.49,76.92,546.05,0.2476,0.0244,28.72,51.9,65.68,534.8,0.1819,0.0351,39.14,34.46,64.14,533.27,0.1882,0.033,40.56,32.08,64.32,533.45,0.1944,0.0306,40.4,32.35,63.15,532.28,0.1786,0.0349,41.48,30.54,43.47,512.59,0.1651,0.0,59.72,64.1,0.9
CON8-8,BSIM,50,11,906.98,475.7,100.18,575.88,0.0,0.1598,59.96,535.65,0.167,0.0334,40.15,39.07,70.92,546.61,0.251,0.0155,29.21,55.67,59.86,535.56,0.1666,0.0335,40.24,38.93,56.16,531.86,0.176,0.0286,43.94,33.32,56.64,532.34,0.1902,0.0242,43.46,34.05,55.51,531.21,0.1765,0.0275,44.58,32.34,34.17,509.87,0.1598,0.0,65.89,64.1,0.9
CON8-9,GNRS,50,11,892.83,474.28,111.12,585.4,0.0,0.1729,70.88,545.16,0.168,0.0481,36.21,43.25,81.01,555.29,0.2709,0.0207,27.09,57.55,70.44,544.72,0.1743,0.0452,36.61,42.64,66.17,540.46,0.1922,0.0352,40.45,36.62,66.99,541.27,0.1899,0.037,39.71,37.77,65.52,539.8,0.1895,0.0353,41.03,35.7,40.2,514.49,0.1729,0.0,63.82,46.7,0.9
CON8-9,BSIM,50,12,921.5,512.15,64.35,576.5,0.0,0.0895,42.14,554.29,0.0956,0.0246,34.51,46.78,50.46,562.61,0.1563,0.0127,21.58,66.72,42.23,554.38,0.0938,0.0255,34.38,46.98,41.63,553.77,0.1044,0.0216,35.32,45.54,42.0,554.15,0.1054,0.0212,34.73,46.44,40.66,552.81,0.096,0.023,36.82,43.22,22.62,534.77,0.0895,0.0,64.85,46.7,0.8
SCA3-1,GNRS,50,4,725.83,212.58,55.82,268.4,0.0,0.1896,27.67,240.25,0.1807,0.0259,50.43,24.57,50.1,262.68,0.3699,0.0008,10.25,84.67,27.59,240.17,0.1804,0.0259,50.57,24.35,24.71,237.29,0.2021,0.0139,55.74,16.63,24.95,237.53,0.2094,0.0106,55.31,17.26,24.04,236.63,0.1981,0.0121,56.93,14.85,18.5,231.09,0.1896,0.0,66.85,33.4,0.8
SCA3-1,BSIM,50,5,743.63,249.36,29.14,278.5,0.0,0.0862,16.26,265.62,0.0863,0.0131,44.2,32.31,28.93,278.29,0.1819,0.0006,0.71,98.92,16.38,265.74,0.0873,0.013,43.79,32.94,14.19,263.55,0.0948,0.0082,51.3,21.44,14.31,263.67,0.0988,0.0056,50.89,22.07,13.69,263.05,0.0918,0.0077,53.02,18.81,10.11,259.47,0.0862,0.0,65.3,33.4,0.8
SCA3-3,GNRS,50,4,721.55,212.15,52.62,264.78,0.0,0.1914,25.94,238.09,0.177,0.026,50.71,23.68,48.98,261.13,0.3716,0.0011,6.93,89.57,25.64,237.79,0.1759,0.0264,51.28,22.83,22.98,235.14,0.196,0.0155,56.32,15.24,23.07,235.23,0.1984,0.0136,56.15,15.49,22.35,234.5,0.2011,0.0109,57.53,13.42,17.66,229.81,0.1914,0.0,66.45,34.3,0.9
SCA3-3,BSIM,50,5,754.41,250.44,30.7,281.14,0.0,0.0925,16.02,266.46,0.0808,0.0163,47.81,27.85,30.53,280.98,0.1834,0.0002,0.53,99.19,15.98,266.42,0.0812,0.016,47.96,27.62,12.85,263.29,0.1009,0.0034,58.14,12.25,13.22,263.66,0.1039,0.0025,56.94,14.06,12.7,263.14,0.0975,0.004,58.63,11.51,10.36,260.8,0.0925,0.0,66.25,34.3,1.0
SCA3-2,GNRS,50,5,713.07,246.31,37.13,283.44,0.0,0.1072,19.35,265.66,0.109,0.0128,47.88,27.38,32.1,278.41,0.2094,0.0005,13.54,79.47,19.26,265.57,0.111,0.0118,48.14,27.0,16.58,262.89,0.1174,0.0062,55.35,16.05,16.98,263.29,0.1173,0.0071,54.26,17.7,16.14,262.44,0.1151,0.0059,56.54,14.24,12.65,258.96,0.1072,0.0,65.94,47.3,0.8
