Instance,Plan,N_cust,K_routes,Travel_km,Fixed_cost,none_rec,none_TBC,none_HO,none_fail,v1_end_rec,v1_end_TBC,v1_end_HO,v1_end_fail,v1_end_saving,v1_end_gap,v1_myo_rec,v1_myo_TBC,v1_myo_HO,v1_myo_fail,v1_myo_saving,v1_myo_gap,fb_tau_rec,fb_tau_TBC,fb_tau_HO,fb_tau_fail,fb_tau_saving,fb_tau_gap,v2_lsm_rec,v2_lsm_TBC,v2_lsm_HO,v2_lsm_fail,v2_lsm_saving,v2_lsm_gap,dp_n_rec,dp_n_TBC,dp_n_HO,dp_n_fail,dp_n_saving,dp_n_gap,dp_xl_rec,dp_xl_TBC,dp_xl_HO,dp_xl_fail,dp_xl_saving,dp_xl_gap,oracle_rec,oracle_TBC,oracle_HO,oracle_fail,oracle_saving,solve_s,eval_s
SCA3-8,BSIM,50,5,793.34,254.33,10.39,264.72,0.0,0.0311,5.84,260.18,0.0291,0.006,43.75,32.96,11.23,265.57,0.0689,0.0003,-8.14,112.47,5.84,260.18,0.0291,0.006,43.75,32.96,5.18,259.51,0.0307,0.0045,50.14,23.17,5.44,259.77,0.0365,0.0029,47.65,26.99,5.04,259.37,0.0341,0.0027,51.52,21.06,3.61,257.94,0.0311,0.0,65.26,62.6,0.9
SCA8-0,GNRS,50,11,1117.83,496.78,111.18,607.97,0.0,0.1689,70.38,567.16,0.1733,0.0411,36.7,43.54,83.68,580.46,0.2764,0.0155,24.74,61.94,70.36,567.14,0.1731,0.0412,36.72,43.5,64.59,561.37,0.1843,0.0331,41.9,35.53,65.72,562.5,0.1808,0.0355,40.89,37.09,64.05,560.84,0.1865,0.0313,42.39,34.78,38.92,535.7,0.1689,0.0,64.99,37.0,0.8
SCA8-0,BSIM,50,12,1209.65,540.97,70.43,611.39,0.0,0.0979,47.33,588.3,0.101,0.029,32.79,48.57,55.32,596.29,0.1557,0.0173,21.45,66.36,47.31,588.27,0.101,0.029,32.83,48.52,45.81,586.78,0.109,0.0252,34.95,45.19,46.53,587.5,0.109,0.026,33.93,46.8,45.28,586.24,0.1022,0.0268,35.71,44.0,25.52,566.49,0.0979,0.0,63.76,37.0,0.9
SCA8-1,GNRS,50,11,1193.56,504.36,116.0,620.36,0.0,0.1686,73.5,577.85,0.1851,0.0375,36.64,42.08,84.3,588.65,0.2672,0.019,27.33,56.8,73.64,578.0,0.1822,0.0387,36.52,42.28,70.24,574.6,0.201,0.03,39.45,37.65,70.7,575.06,0.1965,0.0321,39.05,38.27,68.88,573.23,0.186,0.0335,40.62,35.79,42.61,546.97,0.1686,0.0,63.27,42.7,0.9
SCA8-1,BSIM,50,12,1276.12,547.61,75.47,623.08,0.0,0.103,54.63,602.24,0.1012,0.0365,27.61,53.21,60.93,608.54,0.1521,0.024,19.26,67.36,54.68,602.29,0.1045,0.0354,27.54,53.33,53.31,600.92,0.1053,0.0342,29.37,50.24,53.89,601.5,0.1066,0.0343,28.59,51.56,52.15,599.76,0.0985,0.0351,30.9,47.63,30.93,578.54,0.103,0.0,59.01,42.7,0.8
SCA8-2,GNRS,50,11,1222.73,507.27,140.09,647.37,0.0,0.2033,85.6,592.87,0.2072,0.0452,38.9,38.2,100.92,608.19,0.3094,0.022,27.96,55.57,85.67,592.95,0.2063,0.0455,38.84,38.29,82.26,589.53,0.2168,0.0404,41.28,34.41,83.21,590.48,0.2205,0.0402,40.6,35.49,80.94,588.21,0.2146,0.0396,42.23,32.91,51.91,559.19,0.2033,0.0,62.94,64.1,0.8
SCA8-2,BSIM,50,12,1275.5,547.55,99.83,647.38,0.0,0.1311,62.31,609.86,0.1382,0.0312,37.58,39.77,70.88,618.43,0.2046,0.0164,28.99,53.53,62.42,609.97,0.1389,0.031,37.48,39.94,61.32,608.87,0.1432,0.0286,38.58,38.18,61.9,609.45,0.1467,0.0281,37.99,39.12,60.85,608.41,0.1367,0.0304,39.04,37.43,37.54,585.09,0.1311,0.0,62.4,64.1,0.7
SCA8-3,GNRS,50,11,1115.12,496.51,116.32,612.83,0.0,0.1724,72.35,568.86,0.1685,0.0445,37.8,39.04,80.06,576.57,0.2449,0.0233,31.17,49.73,72.36,568.87,0.1687,0.0444,37.79,39.06,68.68,565.2,0.1768,0.038,40.95,33.96,70.63,567.14,0.1856,0.0371,39.28,36.66,67.89,564.4,0.1856,0.0338,41.64,32.85,44.19,540.7,0.1724,0.0,62.01,71.0,1.0
SCA8-3,BSIM,50,12,1190.8,539.08,73.91,612.99,0.0,0.102,48.28,587.36,0.0993,0.0304,34.68,43.87,56.47,595.55,0.1507,0.0202,23.59,61.81,48.21,587.29,0.1,0.03,34.77,43.72,46.67,585.75,0.1028,0.0281,36.86,40.34,47.04,586.12,0.1055,0.0274,36.36,41.15,46.28,585.36,0.1057,0.0265,37.38,39.49,28.25,567.33,0.102,0.0,61.78,71.0,0.9
SCA8-4,GNRS,50,11,1255.68,510.57,127.82,638.39,0.0,0.1898,79.58,590.15,0.1872,0.0481,37.74,40.43,92.56,603.13,0.2905,0.0218,27.59,56.46,79.46,590.03,0.1795,0.0508,37.84,40.28,75.72,586.28,0.1985,0.041,40.76,35.66,77.08,587.65,0.2085,0.0391,39.69,37.35,74.75,585.32,0.2037,0.0377,41.52,34.47,46.84,557.41,0.1898,0.0,63.36,59.4,0.8
