Instance,Plan,N_cust,K_routes,Travel_km,Fixed_cost,none_rec,none_TBC,none_S,none_HO,none_fail,v1_end_rec,v1_end_TBC,v1_end_S,v1_end_HO,v1_end_fail,v1_end_saving,v1_end_gap,v1_myo_rec,v1_myo_TBC,v1_myo_S,v1_myo_HO,v1_myo_fail,v1_myo_saving,v1_myo_gap,fb_tau_rec,fb_tau_TBC,fb_tau_S,fb_tau_HO,fb_tau_fail,fb_tau_saving,fb_tau_gap,pi1_rec,pi1_TBC,pi1_S,pi1_HO,pi1_fail,pi1_saving,pi1_gap,pi2_rec,pi2_TBC,pi2_S,pi2_HO,pi2_fail,pi2_saving,pi2_gap,pi3_rec,pi3_TBC,pi3_S,pi3_HO,pi3_fail,pi3_saving,pi3_gap,rollout_rec,rollout_TBC,rollout_S,rollout_HO,rollout_fail,rollout_saving,rollout_gap,restock_rec,restock_TBC,restock_S,restock_HO,restock_fail,restock_saving,restock_gap,v2_lsm_rec,v2_lsm_TBC,v2_lsm_S,v2_lsm_HO,v2_lsm_fail,v2_lsm_saving,v2_lsm_gap,v2_act_rec,v2_act_TBC,v2_act_S,v2_act_HO,v2_act_fail,v2_act_saving,v2_act_gap,dp_n_rec,dp_n_TBC,dp_n_S,dp_n_HO,dp_n_fail,dp_n_saving,dp_n_gap,dp_xl_rec,dp_xl_TBC,dp_xl_S,dp_xl_HO,dp_xl_fail,dp_xl_saving,dp_xl_gap,oracle_rec,oracle_TBC,oracle_S,oracle_HO,oracle_fail,oracle_saving,solve_s,eval_s
CON3-0,Det,50,4,617.59,201.76,123.45,325.21,0,0.0,0.2584,96.37,298.13,2,0.1552,0.1199,21.94,33.61,117.07,318.83,3,0.2914,0.0896,5.17,84.35,95.96,297.72,2,0.1599,0.116,22.27,32.61,98.56,300.32,2,0.205,0.1073,20.16,38.98,98.68,300.44,2,0.1732,0.1239,20.06,39.28,99.56,301.32,2,0.126,0.1416,19.35,41.43,106.37,308.13,2,0.2446,0.0914,13.83,58.14,108.54,310.29,1,0.0848,0.1996,12.08,63.44,92.1,293.86,2,0.172,0.1068,25.39,23.15,89.25,291.01,1,0.0479,0.122,27.71,16.15,93.4,295.16,2,0.1789,0.1073,24.34,26.33,91.24,293.0,2,0.1796,0.1016,26.09,21.04,82.66,284.42,2,0.1705,0.0879,33.04,0.0,1.4
CON3-0,SAA,50,5,700.38,245.04,17.16,262.2,0,0.0,0.0403,10.54,255.58,1,0.039,0.0069,38.57,33.25,15.65,260.68,3,0.0701,0.0021,8.83,84.72,10.56,255.6,1,0.0372,0.008,38.48,33.42,13.98,259.02,1,0.031,0.0189,18.54,67.92,11.7,256.74,1,0.0336,0.0133,31.8,44.98,12.54,257.58,1,0.0249,0.0182,26.9,53.45,13.92,258.95,2,0.0629,0.0025,18.91,67.28,8.11,253.15,3,0.0801,0.0073,52.73,8.76,10.2,255.24,2,0.0397,0.0068,40.56,29.82,5.4,250.43,0,0.0,0.0055,68.56,-18.63,11.84,256.88,2,0.0511,0.0052,30.99,46.37,9.57,254.61,2,0.0408,0.0047,44.24,23.44,7.24,252.28,1,0.0403,0.0,57.79,0.0,1.4
CON3-2,Det,50,4,523.46,192.35,143.63,335.98,0,0.0,0.3177,89.31,281.66,3,0.2874,0.079,37.82,25.62,106.54,298.89,3,0.4249,0.057,25.82,49.21,87.9,280.24,3,0.2766,0.0809,38.8,23.69,96.35,288.7,3,0.2769,0.1016,32.92,35.26,112.28,304.62,3,0.1941,0.1628,21.83,57.07,106.63,298.97,2,0.1826,0.1539,25.76,49.33,100.57,292.91,3,0.3911,0.0577,29.98,41.03,141.3,333.64,1,0.0244,0.3027,1.63,96.8,86.9,279.24,3,0.285,0.0757,39.5,22.32,86.69,279.04,3,0.279,0.0767,39.65,22.03,87.93,280.28,3,0.2958,0.0732,38.78,23.73,86.36,278.7,3,0.2863,0.074,39.88,21.57,70.6,262.95,3,0.2647,0.053,50.85,0.0,1.4
CON3-2,SAA,50,5,570.07,232.01,12.29,244.3,0,0.0,0.0302,7.72,239.73,1,0.0357,0.0025,37.16,35.83,9.96,241.96,2,0.0497,0.0008,18.99,67.21,7.72,239.73,1,0.0357,0.0025,37.16,35.83,8.82,240.82,1,0.0313,0.0085,28.27,51.19,7.73,239.74,1,0.0289,0.0067,37.11,35.92,8.42,240.43,1,0.02,0.0121,31.49,45.62,9.64,241.65,2,0.048,0.001,21.53,62.82,4.67,236.68,2,0.0462,0.0052,62.0,-7.06,6.84,238.85,1,0.031,0.0037,44.34,23.43,3.54,235.55,0,0.0,0.0039,71.21,-22.96,8.57,240.58,2,0.0327,0.0071,30.25,47.77,6.59,238.6,1,0.0297,0.0036,46.34,19.98,5.17,237.18,1,0.0302,0.0,57.91,0.0,1.4
CON3-1,Det,50,4,554.47,195.45,155.04,350.48,0,0.0,0.3439,95.12,290.57,3,0.3131,0.076,38.64,23.77,112.88,308.33,3,0.4476,0.0526,27.19,46.37,94.34,289.79,3,0.3186,0.0731,39.15,22.78,99.43,294.88,3,0.3632,0.0693,35.86,29.26,107.09,302.53,3,0.2824,0.1168,30.93,38.99,97.83,293.28,3,0.3206,0.0791,36.9,27.22,107.88,303.33,3,0.4247,0.0532,30.41,40.01,152.14,347.59,1,0.0404,0.3176,1.86,96.32,92.24,287.69,3,0.3165,0.0716,40.5,20.11,90.52,285.96,3,0.2924,0.0713,41.62,17.91,92.47,287.92,3,0.3239,0.0689,40.35,20.4,91.7,287.14,3,0.3227,0.0676,40.85,19.41,76.44,271.89,3,0.2934,0.0505,50.7,0.0,1.4
CON3-1,SAA,50,5,616.97,236.7,12.87,249.56,0,0.0,0.0316,7.74,244.44,1,0.0312,0.0052,39.83,32.44,13.55,250.25,2,0.0669,0.0007,-5.31,109.0,7.62,244.32,1,0.032,0.0046,40.75,30.88,10.27,246.97,1,0.0355,0.0106,20.19,65.76,9.35,246.05,1,0.0225,0.0136,27.34,53.62,10.84,247.54,0,0.0114,0.0217,15.73,73.31,10.85,247.55,2,0.0546,0.0013,15.65,73.45,4.94,241.64,2,0.0593,0.0044,61.6,-4.48,7.61,244.31,1,0.033,0.0048,40.83,30.75,4.01,240.71,0,0.0,0.0043,68.85,-16.78,9.8,246.49,1,0.034,0.0095,23.85,59.54,7.05,243.75,1,0.0327,0.0036,45.2,23.33,5.28,241.98,1,0.0316,0.0,58.96,0.0,1.6
CON3-4,Det,50,4,599.73,199.97,184.33,384.3,0,0.0,0.3686,99.21,299.18,3,0.3778,0.0504,46.18,24.81,109.77,309.75,3,0.5202,0.0119,40.45,34.14,98.69,298.66,3,0.381,0.0479,46.46,24.35,104.17,304.14,3,0.4454,0.0328,43.49,29.19,115.95,315.92,3,0.3945,0.0744,37.1,39.6,139.19,339.16,2,0.2789,0.1526,24.49,60.13,106.3,306.27,3,0.493,0.0155,42.33,31.07,181.21,381.18,1,0.0256,0.3508,1.69,97.25,97.45,297.42,3,0.3881,0.0429,47.13,23.25,97.38,297.35,3,0.3874,0.0429,47.17,23.19,98.44,298.41,3,0.4126,0.0345,46.6,24.13,97.54,297.52,3,0.4103,0.034,47.08,23.34,71.12,271.1,3,0.3631,0.0055,61.41,0.0,1.4
CON3-4,SAA,50,5,650.56,240.06,12.02,252.08,0,0.0,0.0309,7.61,247.66,1,0.0284,0.0056,36.72,37.19,12.05,252.1,2,0.0559,0.0012,-0.22,100.38,7.61,247.66,1,0.0284,0.0056,36.72,37.19,9.16,249.22,1,0.0299,0.0107,23.76,59.37,8.92,248.97,1,0.0177,0.0153,25.82,55.84,10.19,250.24,0,0.0107,0.0215,15.26,73.9,10.18,250.24,2,0.0484,0.0017,15.3,73.84,3.96,244.01,2,0.0585,0.0025,67.08,-14.73,6.39,246.45,1,0.0308,0.0034,46.84,19.89,2.86,242.92,0,0.0,0.0027,76.17,-30.28,7.52,247.57,1,0.0351,0.004,37.46,35.93,6.43,246.49,1,0.03,0.0036,46.46,20.53,4.99,245.05,1,0.0309,0.0,58.47,0.0,1.4
CON3-3,Det,50,4,607.67,200.77,156.72,357.49,0,0.0,0.3581,82.26,283.03,3,0.3572,0.0401,47.51,21.94,106.12,306.88,3,0.5185,0.0044,32.29,46.95,81.91,282.68,3,0.3618,0.0373,47.74,21.57,86.51,287.28,3,0.434,0.0197,44.8,26.39,96.9,297.67,3,0.3274,0.0925,38.17,37.28,85.39,286.16,3,0.363,0.0455,45.51,25.22,99.81,300.57,3,0.4879,0.0063,36.31,40.33,147.22,347.99,1,0.0666,0.3127,6.06,90.04,77.87,278.64,3,0.3705,0.0286,50.31,17.34,77.29,278.06,3,0.3624,0.0285,50.68,16.73,77.79,278.55,3,0.3792,0.0244,50.37,17.25,77.04,277.8,3,0.3781,0.0227,50.84,16.46,61.33,262.1,3,0.3554,0.0027,60.86,0.0,1.4
CON3-3,SAA,50,5,713.82,246.38,16.81,263.2,0,0.0,0.0433,11.27,257.65,2,0.0415,0.0094,33.0,43.79,16.91,263.3,3,0.0801,0.0022,-0.59,101.01,11.27,257.65,2,0.0415,0.0094,33.0,43.79,12.61,258.99,2,0.0365,0.0168,25.02,57.37,11.03,257.42,2,0.0456,0.0095,34.37,41.46,10.41,256.79,2,0.0399,0.0095,38.1,35.11,13.33,259.71,3,0.0648,0.0024,20.71,64.73,5.59,251.97,3,0.077,0.0052,66.78,-13.75,10.12,256.51,2,0.047,0.0064,39.79,32.22,4.43,250.82,0,0.0,0.0048,73.63,-25.42,10.8,257.19,2,0.0463,0.0074,35.74,39.12,9.75,256.13,2,0.0461,0.0056,42.01,28.43,6.94,253.33,2,0.0433,0.0,58.71,0.0,1.4
CON3-5,Det,50,4,593.84,199.38,176.73,376.11,0,0.0,0.3524,119.36,318.75,3,0.3623,0.0946,32.46,33.63,126.61,325.99,3,0.4345,0.0798,28.36,42.01,117.09,316.48,3,0.3427,0.0981,33.74,31.0,127.22,326.6,3,0.4123,0.092,28.01,42.72,123.82,323.2,3,0.3514,0.1101,29.94,38.78,150.76,350.15,2,0.1595,0.2318,14.69,69.96,124.0,323.38,3,0.4191,0.081,29.84,38.99,172.14,371.52,1,0.0503,0.3236,2.6,94.69,117.3,316.68,3,0.3526,0.094,33.63,31.24,116.95,316.33,3,0.3478,0.0943,33.83,30.83,118.45,317.83,3,0.3473,0.0986,32.98,32.57,115.7,315.09,3,0.3387,0.097,34.53,29.39,90.3,289.68,3,0.2812,0.0711,48.9,0.0,1.3
CON3-5,SAA,50,5,630.37,238.04,9.16,247.2,0,0.0,0.0222,6.15,244.19,1,0.0286,0.0022,32.87,44.29,8.87,246.9,2,0.0435,0.0005,3.23,94.52,6.15,244.19,1,0.0286,0.0022,32.87,44.29,6.74,244.77,1,0.0199,0.0079,26.48,55.12,6.31,244.34,0,0.0156,0.0087,31.17,47.17,6.89,244.92,0,0.0126,0.0112,24.83,57.91,8.0,246.04,2,0.0381,0.0011,12.69,78.48,3.83,241.87,1,0.0309,0.005,58.17,1.4,5.27,243.31,1,0.024,0.0027,42.5,27.96,2.68,240.72,0,0.0,0.0019,70.74,-19.91,6.77,244.81,1,0.0316,0.0028,26.13,55.71,5.14,243.18,1,0.0232,0.0027,43.92,25.56,3.76,241.79,1,0.0222,0.0,58.99,0.0,1.6
CON3-7,Det,50,4,586.71,198.67,145.66,344.33,0,0.0,0.3129,79.43,278.1,3,0.3231,0.0381,45.47,25.05,96.81,295.48,3,0.4606,0.0103,33.54,44.71,77.74,276.41,3,0.3193,0.0359,46.63,23.14,84.91,283.59,3,0.3476,0.0394,41.7,31.25,97.86,296.53,3,0.2883,0.095,32.82,45.9,115.91,314.59,1,0.15,0.1845,20.42,66.34,88.49,287.16,3,0.4164,0.0129,39.25,35.29,145.88,344.55,0,0.0059,0.3094,-0.15,100.24,74.13,272.8,3,0.3271,0.0294,49.11,19.05,73.75,272.42,3,0.3207,0.0298,49.37,18.61,74.48,273.15,3,0.3372,0.0261,48.87,19.44,74.01,272.68,3,0.3249,0.0299,49.19,18.91,57.3,255.97,3,0.3059,0.007,60.66,0.0,1.4
CON3-7,SAA,50,5,635.3,238.53,10.01,248.54,0,0.0,0.024,6.23,244.76,1,0.0254,0.0032,37.74,35.56,9.92,248.45,2,0.045,0.0006,0.94,98.4,6.23,244.76,1,0.0254,0.0032,37.74,35.56,6.28,244.81,1,0.0261,0.0039,37.28,36.34,7.34,245.87,1,0.015,0.0112,26.69,54.44,7.9,246.43,0,0.0107,0.0141,21.12,63.94,7.74,246.28,1,0.0363,0.0007,22.65,61.32,3.39,241.92,1,0.0303,0.0032,66.19,-13.01,5.56,244.09,1,0.0245,0.0029,44.51,24.0,2.63,241.16,0,0.0,0.002,73.74,-25.9,7.08,245.61,1,0.0323,0.0024,29.31,49.95,5.46,243.99,1,0.0247,0.0025,45.46,22.38,4.15,242.68,1,0.024,0.0,58.57,0.0,1.4
CON3-8,Det,50,4,523.05,192.3,128.43,320.73,0,0.0,0.2612,70.2,262.5,2,0.2671,0.0377,45.34,21.01,75.69,268.0,2,0.3297,0.0213,41.06,28.47,68.93,261.24,2,0.2472,0.0432,46.33,19.3,74.19,266.5,2,0.2851,0.0381,42.23,26.43,88.66,280.96,2,0.2029,0.0983,30.97,46.05,99.85,292.16,1,0.1329,0.1424,22.25,61.24,72.93,265.24,2,0.3121,0.0232,43.21,24.72,123.8,316.1,1,0.037,0.2346,3.61,93.71,68.13,260.43,2,0.2529,0.0397,46.95,18.2,66.15,258.45,2,0.2313,0.0395,48.5,15.52,68.26,260.57,2,0.2559,0.0389,46.85,18.39,67.78,260.08,2,0.2582,0.0366,47.23,17.73,54.71,247.01,2,0.2434,0.0179,57.4,0.0,1.4
CON3-8,SAA,50,5,624.76,237.48,14.86,252.34,0,0.0,0.0366,9.23,246.71,1,0.0312,0.008,37.89,35.54,12.8,250.28,2,0.0568,0.0016,13.85,76.44,9.23,246.71,1,0.0312,0.008,37.89,35.54,10.65,248.13,1,0.0245,0.0157,28.33,51.81,11.3,248.78,1,0.0215,0.0183,23.93,59.29,11.59,249.07,1,0.0174,0.021,22.01,62.56,10.14,247.62,2,0.0462,0.0022,31.75,45.99,5.86,243.34,2,0.0549,0.0057,60.57,-3.04,8.49,245.96,1,0.0325,0.0071,42.88,27.07,4.95,242.43,0,0.0,0.0062,66.69,-13.45,9.96,247.44,1,0.0326,0.01,32.98,43.9,7.78,245.26,2,0.0371,0.0034,47.63,18.98,6.12,243.6,2,0.0366,0.0,58.79,0.0,1.4
CON3-6,Det,50,4,515.59,191.56,134.26,325.82,0,0.0,0.2754,82.06,273.61,3,0.2591,0.0616,38.88,27.49,95.47,287.03,3,0.3954,0.0295,28.89,46.12,79.68,271.24,3,0.2659,0.0529,40.65,24.19,85.36,276.92,3,0.3119,0.0484,36.42,32.08,100.82,292.38,2,0.1985,0.1234,24.91,53.55,123.98,315.54,1,0.0545,0.2308,7.66,85.72,90.16,281.72,3,0.367,0.032,32.85,38.75,127.34,318.9,1,0.0747,0.2359,5.16,90.38,78.29,269.85,3,0.2631,0.0522,41.69,22.26,77.08,268.64,2,0.2206,0.0549,42.59,20.58,78.6,270.16,3,0.2727,0.0478,41.46,22.69,77.34,268.9,3,0.2702,0.0469,42.4,20.94,62.27,253.82,3,0.2479,0.0275,53.62,0.0,1.4
