Instance,Plan,N_cust,K_routes,Travel_km,Fixed_cost,none_rec,none_TBC,none_S,none_HO,none_fail,v1_end_rec,v1_end_TBC,v1_end_S,v1_end_HO,v1_end_fail,v1_end_saving,v1_end_gap,v1_myo_rec,v1_myo_TBC,v1_myo_S,v1_myo_HO,v1_myo_fail,v1_myo_saving,v1_myo_gap,fb_tau_rec,fb_tau_TBC,fb_tau_S,fb_tau_HO,fb_tau_fail,fb_tau_saving,fb_tau_gap,pi1_rec,pi1_TBC,pi1_S,pi1_HO,pi1_fail,pi1_saving,pi1_gap,pi2_rec,pi2_TBC,pi2_S,pi2_HO,pi2_fail,pi2_saving,pi2_gap,pi3_rec,pi3_TBC,pi3_S,pi3_HO,pi3_fail,pi3_saving,pi3_gap,rollout_rec,rollout_TBC,rollout_S,rollout_HO,rollout_fail,rollout_saving,rollout_gap,restock_rec,restock_TBC,restock_S,restock_HO,restock_fail,restock_saving,restock_gap,v2_lsm_rec,v2_lsm_TBC,v2_lsm_S,v2_lsm_HO,v2_lsm_fail,v2_lsm_saving,v2_lsm_gap,v2_act_rec,v2_act_TBC,v2_act_S,v2_act_HO,v2_act_fail,v2_act_saving,v2_act_gap,dp_n_rec,dp_n_TBC,dp_n_S,dp_n_HO,dp_n_fail,dp_n_saving,dp_n_gap,dp_xl_rec,dp_xl_TBC,dp_xl_S,dp_xl_HO,dp_xl_fail,dp_xl_saving,dp_xl_gap,oracle_rec,oracle_TBC,oracle_S,oracle_HO,oracle_fail,oracle_saving,solve_s,eval_s
CON3-1,Det,50,4,554.47,195.45,129.84,325.29,0,0.0,0.3558,79.8,275.25,3,0.334,0.0813,38.54,25.24,92.94,288.39,3,0.4522,0.0567,28.42,44.87,78.54,273.99,3,0.3277,0.0783,39.51,23.36,81.54,276.99,3,0.3702,0.073,37.2,27.84,90.32,285.77,3,0.2825,0.1278,30.44,40.96,85.26,280.71,3,0.2925,0.1099,34.34,33.39,88.12,283.57,3,0.4269,0.0576,32.13,37.67,127.77,323.22,1,0.0377,0.3292,1.6,96.9,76.14,271.58,3,0.3357,0.0715,41.36,19.77,76.02,271.46,3,0.3227,0.0725,41.46,19.59,76.84,272.28,3,0.3416,0.0708,40.83,20.81,76.32,271.77,3,0.3316,0.0736,41.22,20.05,62.9,258.35,3,0.3012,0.0545,51.55,0.0,1.4
CON3-1,SAA,50,5,616.97,236.7,10.38,247.08,0,0.0,0.0344,5.81,242.51,1,0.0343,0.0049,44.01,28.94,11.52,248.22,3,0.077,0.001,-10.95,117.68,5.8,242.49,1,0.0344,0.0048,44.17,28.67,8.08,244.78,2,0.0358,0.0132,22.16,64.22,7.29,243.99,1,0.0256,0.0143,29.76,51.93,8.44,245.14,0,0.0129,0.0227,18.66,69.87,8.61,245.31,2,0.0594,0.0015,17.09,72.41,4.54,241.24,3,0.0722,0.0031,56.23,9.19,5.79,242.49,2,0.0375,0.0045,44.19,28.63,3.65,240.35,0,0.0,0.0039,64.81,-4.66,7.73,244.43,2,0.049,0.0058,25.52,58.78,5.33,242.03,1,0.0371,0.0032,48.68,21.39,3.95,240.65,1,0.0344,0.0,61.92,0.0,1.4
CON3-0,Det,50,4,617.59,201.76,101.39,303.15,0,0.0,0.2566,79.63,281.39,2,0.1367,0.1328,21.47,34.39,95.53,297.29,2,0.2769,0.089,5.79,82.31,80.02,281.77,2,0.1462,0.129,21.08,35.56,80.77,282.53,2,0.1873,0.1129,20.34,37.83,81.28,283.04,2,0.1905,0.1159,19.83,39.38,81.6,283.35,2,0.1334,0.1361,19.53,40.32,88.7,290.46,2,0.2455,0.0901,12.52,61.73,91.19,292.95,1,0.0794,0.1996,10.06,69.26,76.07,277.83,2,0.1752,0.105,24.98,23.67,75.8,277.56,2,0.1664,0.1054,25.24,22.87,76.35,278.11,2,0.1874,0.101,24.7,24.5,75.36,277.12,2,0.1777,0.1016,25.68,21.52,68.22,269.98,2,0.169,0.0876,32.72,0.0,1.4
CON3-0,SAA,50,5,700.38,245.04,10.8,255.84,0,0.0,0.0332,7.89,252.93,1,0.0341,0.0083,26.95,55.41,10.64,255.68,3,0.0652,0.0015,1.5,97.51,7.89,252.93,1,0.0341,0.0083,26.95,55.41,8.91,253.95,1,0.0287,0.0153,17.48,71.08,7.01,252.05,1,0.0304,0.0094,35.13,41.88,7.9,252.94,1,0.0257,0.0132,26.86,55.55,9.59,254.63,2,0.0588,0.0019,11.22,81.43,6.32,251.35,3,0.0703,0.0065,41.52,31.3,6.12,251.16,1,0.0332,0.005,43.33,28.3,4.13,249.16,0,0.0,0.0037,61.8,-2.26,8.25,253.29,2,0.0482,0.0048,23.61,60.94,5.99,251.03,1,0.0352,0.0038,44.5,26.37,4.27,249.31,1,0.0332,0.0,60.43,0.0,1.4
CON3-2,Det,50,4,523.46,192.35,113.13,305.47,0,0.0,0.309,68.66,261.01,3,0.2688,0.0834,39.3,26.34,81.87,274.21,3,0.4196,0.0513,27.63,48.21,68.26,260.6,3,0.2647,0.0831,39.66,25.66,72.5,264.85,3,0.2981,0.0839,35.91,32.7,87.13,279.47,3,0.2013,0.1522,22.98,56.93,81.7,274.05,2,0.1941,0.1392,27.78,47.93,78.23,270.58,3,0.3935,0.053,30.85,42.19,111.61,303.96,1,0.0325,0.2876,1.34,97.49,66.3,258.65,3,0.2864,0.0693,41.39,22.42,66.23,258.58,3,0.2835,0.0691,41.45,22.31,66.61,258.95,3,0.2868,0.0704,41.12,22.93,65.44,257.79,3,0.2845,0.0681,42.15,20.99,52.77,245.12,3,0.2605,0.0485,53.35,0.0,1.4
CON3-2,SAA,50,5,570.07,232.01,7.61,239.62,0,0.0,0.0248,4.51,236.52,1,0.0256,0.0034,40.76,32.43,6.98,238.99,2,0.0448,0.0009,8.26,86.31,4.51,236.52,1,0.0256,0.0034,40.76,32.43,5.34,237.35,1,0.0207,0.0091,29.84,50.54,4.83,236.84,1,0.0214,0.0072,36.54,39.44,5.41,237.41,1,0.0179,0.01,28.98,51.96,5.76,237.77,1,0.0381,0.0012,24.27,59.77,3.17,235.18,1,0.0318,0.0046,58.29,3.38,4.22,236.23,1,0.0234,0.0044,44.55,26.16,2.84,234.84,0,0.0,0.0041,62.74,-4.0,5.53,237.54,2,0.0361,0.0035,27.33,54.71,4.05,236.06,1,0.0266,0.0024,46.8,22.44,3.02,235.03,1,0.0248,0.0,60.33,0.0,1.4
CON3-4,Det,50,4,599.73,199.97,149.85,349.82,0,0.0,0.3568,79.52,279.5,3,0.3969,0.0418,46.93,26.28,88.21,288.18,3,0.5262,0.0103,41.14,35.38,78.44,278.41,3,0.3834,0.0454,47.66,25.14,82.86,282.83,3,0.4574,0.027,44.7,29.78,96.27,296.25,3,0.4144,0.0705,35.75,43.84,110.16,310.13,2,0.2557,0.1471,26.49,58.4,85.98,285.95,3,0.5082,0.0118,42.62,33.05,148.5,348.47,1,0.0147,0.3455,0.9,98.58,78.08,278.05,3,0.4131,0.031,47.9,24.76,77.97,277.94,3,0.4074,0.0316,47.97,24.65,78.29,278.26,3,0.426,0.0268,47.76,24.98,76.49,276.46,3,0.4079,0.0306,48.95,23.1,54.45,254.42,3,0.3508,0.006,63.66,0.0,1.4
CON3-4,SAA,50,5,650.56,240.06,8.18,248.24,0,0.0,0.0281,5.21,245.26,1,0.0285,0.0042,36.37,40.82,9.29,249.35,2,0.0578,0.0011,-13.57,122.07,5.21,245.26,1,0.0285,0.0042,36.37,40.82,5.71,245.77,1,0.0265,0.0092,30.17,50.91,6.27,246.32,1,0.0168,0.0147,23.43,61.89,6.92,246.98,0,0.0095,0.0198,15.39,74.96,6.46,246.51,2,0.0416,0.0014,21.13,65.62,3.77,243.83,2,0.0512,0.0038,53.92,12.28,4.41,244.46,1,0.0264,0.0045,46.17,24.88,2.9,242.96,0,0.0,0.0042,64.53,-4.98,5.61,245.66,1,0.0368,0.0038,31.51,48.74,4.28,244.34,1,0.0302,0.0026,47.68,22.42,3.15,243.21,1,0.0281,0.0,61.46,0.0,1.4
CON3-3,Det,50,4,607.67,200.77,126.72,327.49,0,0.0,0.355,65.33,266.1,3,0.3524,0.0399,48.44,23.62,89.24,290.0,3,0.5455,0.0027,29.58,53.37,63.94,264.71,3,0.356,0.0361,49.54,21.9,66.38,267.15,3,0.4228,0.0211,47.61,24.93,73.51,274.27,3,0.3317,0.0825,41.99,33.79,64.64,265.4,3,0.3552,0.0389,48.99,22.76,79.41,280.18,3,0.4921,0.0046,37.33,41.14,120.97,321.73,1,0.047,0.32,4.54,92.84,59.0,259.77,3,0.3628,0.0268,53.44,15.74,58.54,259.31,3,0.3591,0.0244,53.8,15.17,59.51,260.28,3,0.37,0.0246,53.03,16.39,58.98,259.75,3,0.3672,0.0243,53.45,15.72,46.34,247.11,3,0.3528,0.0023,63.43,0.0,1.4
CON3-3,SAA,50,5,713.82,246.38,13.94,260.32,0,0.0,0.0487,9.14,255.52,2,0.0477,0.0097,34.45,44.17,14.97,261.35,4,0.0938,0.0024,-7.39,111.98,9.12,255.51,2,0.0478,0.0096,34.55,44.0,10.16,256.54,3,0.0662,0.0096,27.12,56.04,8.64,255.02,2,0.0475,0.012,38.04,38.34,8.36,254.74,2,0.0435,0.0112,40.04,35.1,11.48,257.86,3,0.0736,0.0033,17.65,71.39,5.42,251.8,3,0.0873,0.0049,61.14,0.91,7.9,254.28,2,0.0519,0.0075,43.33,29.77,4.44,250.83,0,0.0,0.0046,68.13,-10.42,8.61,254.99,2,0.0542,0.0089,38.24,38.03,7.49,253.87,2,0.0516,0.0061,46.27,25.01,5.34,251.72,2,0.0487,0.0,61.7,0.0,1.5
