Dataset,Instance,scenario,monitor,n_days,false_rate,detect_rate
SalhiNagy,CMT12X,dwell_mild,tempo2,15,0.0,1.0
SalhiNagy,CMT12X,rush_crush,flat,15,0.0,1.0
SalhiNagy,CMT12X,rush_crush,tilt,15,0.0,1.0
SalhiNagy,CMT12X,rush_crush,tilt_adapt,15,0.0,1.0
SalhiNagy,CMT12X,rush_crush,tempo2,15,0.0,1.0
SalhiNagy,CMT12Y,null,flat,15,0.0,
SalhiNagy,CMT12Y,null,tilt,15,0.0,
SalhiNagy,CMT12Y,null,tilt_adapt,15,0.0,
SalhiNagy,CMT12Y,null,tempo2,15,0.0,
SalhiNagy,CMT12Y,traffic_mild,flat,15,0.0,0.06666666666666667
SalhiNagy,CMT12Y,traffic_mild,tilt,15,0.0,0.4
SalhiNagy,CMT12Y,traffic_mild,tilt_adapt,15,0.0,0.9333333333333333
SalhiNagy,CMT12Y,traffic_mild,tempo2,15,0.0,0.9333333333333333
SalhiNagy,CMT12Y,traffic_late,flat,15,0.0,1.0
SalhiNagy,CMT12Y,traffic_late,tilt,15,0.0,1.0
SalhiNagy,CMT12Y,traffic_late,tilt_adapt,15,0.0,1.0
SalhiNagy,CMT12Y,traffic_late,tempo2,15,0.0,1.0
SalhiNagy,CMT12Y,demand_mild,flat,15,0.0,0.0
SalhiNagy,CMT12Y,demand_mild,tilt,15,0.0,0.0
SalhiNagy,CMT12Y,demand_mild,tilt_adapt,15,0.0,0.0
SalhiNagy,CMT12Y,demand_mild,tempo2,15,0.0,0.0
SalhiNagy,CMT12Y,demand_severe,flat,15,0.0,0.5333333333333333
SalhiNagy,CMT12Y,demand_severe,tilt,15,0.0,0.13333333333333333
SalhiNagy,CMT12Y,demand_severe,tilt_adapt,15,0.0,0.7333333333333333
SalhiNagy,CMT12Y,demand_severe,tempo2,15,0.0,0.9333333333333333
SalhiNagy,CMT12Y,demand_ramp,flat,15,0.0,0.13333333333333333
SalhiNagy,CMT12Y,demand_ramp,tilt,15,0.0,0.0
SalhiNagy,CMT12Y,demand_ramp,tilt_adapt,15,0.0,0.2
SalhiNagy,CMT12Y,demand_ramp,tempo2,15,0.0,0.3333333333333333
SalhiNagy,CMT12Y,dwell_mild,flat,15,0.0,0.4
