Instance,Plan,N_cust,K_routes,Travel_km,Fixed_cost,none_rec,none_TBC,none_S,none_HO,none_fail,v1_end_rec,v1_end_TBC,v1_end_S,v1_end_HO,v1_end_fail,v1_end_saving,v1_end_gap,v1_myo_rec,v1_myo_TBC,v1_myo_S,v1_myo_HO,v1_myo_fail,v1_myo_saving,v1_myo_gap,fb_tau_rec,fb_tau_TBC,fb_tau_S,fb_tau_HO,fb_tau_fail,fb_tau_saving,fb_tau_gap,pi1_rec,pi1_TBC,pi1_S,pi1_HO,pi1_fail,pi1_saving,pi1_gap,pi2_rec,pi2_TBC,pi2_S,pi2_HO,pi2_fail,pi2_saving,pi2_gap,pi3_rec,pi3_TBC,pi3_S,pi3_HO,pi3_fail,pi3_saving,pi3_gap,rollout_rec,rollout_TBC,rollout_S,rollout_HO,rollout_fail,rollout_saving,rollout_gap,restock_rec,restock_TBC,restock_S,restock_HO,restock_fail,restock_saving,restock_gap,v2_lsm_rec,v2_lsm_TBC,v2_lsm_S,v2_lsm_HO,v2_lsm_fail,v2_lsm_saving,v2_lsm_gap,v2_act_rec,v2_act_TBC,v2_act_S,v2_act_HO,v2_act_fail,v2_act_saving,v2_act_gap,dp_n_rec,dp_n_TBC,dp_n_S,dp_n_HO,dp_n_fail,dp_n_saving,dp_n_gap,dp_xl_rec,dp_xl_TBC,dp_xl_S,dp_xl_HO,dp_xl_fail,dp_xl_saving,dp_xl_gap,oracle_rec,oracle_TBC,oracle_S,oracle_HO,oracle_fail,oracle_saving,solve_s,eval_s
CON3-2,Det,50,4,523.46,192.35,101.1,293.44,0,0.0,0.313,78.2,270.55,3,0.2459,0.1025,22.64,40.81,89.45,281.79,3,0.3734,0.0572,11.52,69.88,76.34,268.69,3,0.2459,0.0964,24.49,35.99,80.34,272.69,3,0.2566,0.1043,20.53,46.34,86.47,278.81,3,0.1832,0.161,14.47,62.17,82.27,274.62,2,0.1777,0.1492,18.62,51.32,84.43,276.77,3,0.3425,0.0605,16.49,56.9,100.25,292.6,1,0.0201,0.2995,0.83,97.82,74.44,266.78,3,0.2635,0.081,26.37,31.07,74.05,266.39,3,0.2605,0.08,26.76,30.05,75.75,268.09,3,0.2714,0.0799,25.07,34.46,74.02,266.36,3,0.2608,0.0815,26.79,29.98,62.42,254.77,3,0.2619,0.0511,38.26,0.0,1.5
CON3-2,SAA,50,5,570.07,232.01,7.18,239.18,0,0.0,0.0248,5.62,237.63,1,0.0239,0.0045,21.65,46.57,6.77,238.78,1,0.0325,0.002,5.65,86.07,5.62,237.63,1,0.0239,0.0045,21.64,46.6,6.33,238.34,1,0.014,0.0133,11.83,70.8,5.63,237.63,1,0.0171,0.0092,21.59,46.73,5.88,237.89,0,0.0129,0.0124,18.01,55.56,5.88,237.89,1,0.0282,0.0024,18.02,55.55,3.57,235.57,1,0.0329,0.006,50.29,-24.1,5.11,237.12,1,0.0223,0.0044,28.8,28.94,2.4,234.41,0,0.0,0.002,66.51,-64.11,6.29,238.29,1,0.017,0.0113,12.42,69.35,4.98,236.98,1,0.0224,0.0038,30.66,24.34,4.27,236.28,1,0.0248,0.0,40.53,0.0,1.4
CON3-1,Det,50,4,554.47,195.45,115.56,311.0,0,0.0,0.3584,87.59,283.04,3,0.2814,0.1096,24.2,38.14,96.47,291.92,3,0.3912,0.0639,16.52,57.78,85.62,281.07,3,0.2818,0.1035,25.9,33.79,89.19,284.64,3,0.329,0.0914,22.82,41.68,92.86,288.3,3,0.2221,0.1608,19.65,49.78,92.57,288.01,3,0.2367,0.1499,19.9,49.14,90.42,285.87,3,0.354,0.0705,21.75,44.4,114.7,310.15,1,0.0262,0.3415,0.74,98.1,83.99,279.44,3,0.2823,0.1014,27.32,30.17,82.47,277.91,3,0.2608,0.1006,28.64,26.8,84.58,280.03,3,0.2945,0.0951,26.8,31.48,83.43,278.88,3,0.2979,0.091,27.8,28.94,70.35,265.8,3,0.3085,0.0499,39.12,0.0,1.5
CON3-1,SAA,50,5,616.97,236.7,8.85,245.55,0,0.0,0.0309,7.34,244.04,1,0.0278,0.0076,17.12,59.55,9.29,245.98,2,0.0437,0.0028,-4.89,111.55,7.24,243.94,1,0.0319,0.0045,18.21,56.96,8.17,244.86,0,0.0129,0.0209,7.76,81.65,7.51,244.21,1,0.0169,0.0163,15.14,64.23,7.9,244.59,0,0.0095,0.0219,10.81,74.44,8.17,244.87,1,0.0393,0.0029,7.73,81.72,4.11,240.8,2,0.0621,0.0037,53.64,-26.75,6.56,243.26,1,0.0286,0.0063,25.92,38.76,3.36,240.06,0,0.0,0.0043,62.0,-46.51,7.9,244.59,1,0.0251,0.0128,10.82,74.42,6.27,242.96,1,0.0297,0.0045,29.22,30.94,5.11,241.8,1,0.0309,0.0,42.32,0.0,1.4
CON3-0,Det,50,4,617.59,201.76,88.53,290.29,0,0.0,0.2608,78.7,280.46,2,0.1438,0.1295,11.11,51.28,88.39,290.15,2,0.2178,0.1,0.16,99.28,78.76,280.52,2,0.1358,0.1346,11.04,51.57,79.86,281.62,2,0.1516,0.1374,9.8,57.02,78.38,280.14,2,0.1441,0.1388,11.46,49.71,78.25,280.01,1,0.1069,0.1569,11.61,49.07,80.87,282.63,2,0.1762,0.1116,8.66,62.02,79.68,281.44,1,0.0779,0.2014,10.0,56.13,75.49,277.25,2,0.1389,0.1309,14.73,35.39,70.83,272.59,1,0.0274,0.1384,19.99,12.3,75.73,277.49,2,0.1535,0.123,14.46,36.55,74.71,276.47,2,0.1547,0.1185,15.61,31.53,68.35,270.11,2,0.168,0.0927,22.8,0.0,1.6
CON3-0,SAA,50,5,700.38,245.04,11.89,256.92,0,0.0,0.0393,9.6,254.64,1,0.0314,0.0117,19.21,52.42,11.72,256.76,2,0.0522,0.0036,1.4,96.53,9.54,254.58,1,0.0314,0.0115,19.75,51.08,10.77,255.81,1,0.018,0.0244,9.41,76.69,9.49,254.53,1,0.027,0.0153,20.11,50.17,9.67,254.71,1,0.024,0.0173,18.64,53.82,10.24,255.28,2,0.0446,0.0044,13.86,65.67,6.79,251.82,3,0.0586,0.0108,42.91,-6.29,8.81,253.85,1,0.0339,0.0084,25.84,35.99,4.45,249.49,0,0.0,0.0046,62.54,-54.93,9.95,254.99,1,0.0373,0.0097,16.3,59.62,8.63,253.67,1,0.035,0.0071,27.37,32.19,7.09,252.13,1,0.0393,0.0,40.37,0.0,1.8
CON3-3,Det,50,4,607.67,200.77,109.92,310.68,0,0.0,0.3469,74.95,275.71,3,0.3084,0.0656,31.82,30.41,94.81,295.57,3,0.4664,0.0081,13.75,69.93,73.69,274.45,3,0.3026,0.0646,32.96,27.9,80.49,281.26,3,0.365,0.0517,26.77,41.45,83.08,283.85,3,0.2887,0.1061,24.41,46.6,74.43,275.2,3,0.3141,0.0568,32.28,29.38,84.56,285.33,3,0.4155,0.0144,23.06,49.55,107.09,307.86,1,0.0398,0.3183,2.57,94.37,71.57,272.33,3,0.3384,0.0379,34.89,23.68,70.8,271.57,3,0.324,0.0379,35.59,22.16,71.46,272.23,3,0.337,0.0387,34.99,23.47,70.9,271.67,3,0.3371,0.037,35.5,22.35,59.67,260.43,3,0.3429,0.004,45.72,0.0,1.4
CON3-3,SAA,50,5,713.82,246.38,16.32,262.7,0,0.0,0.0589,13.37,259.75,2,0.0486,0.015,18.08,56.79,16.81,263.19,3,0.0762,0.0051,-3.01,107.2,13.37,259.75,2,0.0486,0.015,18.08,56.79,13.73,260.11,1,0.0316,0.0308,15.86,62.08,12.83,259.22,2,0.0388,0.0237,21.36,48.95,12.14,258.52,2,0.0421,0.0186,25.61,38.77,14.14,260.53,3,0.0644,0.0071,13.32,68.16,6.42,252.8,4,0.0881,0.0075,60.67,-45.04,11.85,258.23,2,0.0512,0.0128,27.39,34.53,5.31,251.69,0,0.0,0.0069,67.45,-61.23,12.53,258.91,2,0.0471,0.0173,23.23,44.47,11.58,257.96,2,0.0527,0.0108,29.03,30.6,9.49,255.87,3,0.0589,0.0,41.83,0.0,1.4
CON3-4,Det,50,4,599.73,199.97,136.45,336.43,0,0.0,0.3789,95.12,295.09,3,0.3511,0.0729,30.29,35.54,101.94,301.91,3,0.4785,0.0187,25.3,46.17,94.81,294.79,3,0.3518,0.0721,30.52,35.07,100.95,300.92,3,0.4248,0.049,26.02,44.63,107.34,307.32,3,0.3185,0.122,21.33,54.6,119.23,319.21,2,0.1756,0.2266,12.62,73.15,98.63,298.61,3,0.4479,0.0277,27.72,41.02,135.26,335.23,1,0.0135,0.3674,0.87,98.14,93.5,293.47,3,0.3816,0.0528,31.48,33.02,93.6,293.57,3,0.3726,0.0573,31.41,33.17,94.97,294.94,3,0.3765,0.0592,30.4,35.31,93.46,293.44,3,0.3765,0.0553,31.5,32.96,72.33,272.3,3,0.3742,0.0046,46.99,0.0,1.4
CON3-4,SAA,50,5,650.56,240.06,8.82,248.87,0,0.0,0.0317,7.13,247.19,1,0.0259,0.0085,19.12,54.15,9.92,249.98,2,0.0442,0.0027,-12.58,130.18,7.2,247.26,1,0.0289,0.0068,18.3,56.11,7.61,247.67,1,0.0156,0.0182,13.64,67.28,7.66,247.72,0,0.0133,0.0196,13.05,68.69,8.21,248.27,0,0.006,0.0259,6.87,83.53,8.09,248.15,1,0.037,0.0032,8.2,80.32,3.73,243.79,2,0.0564,0.0028,57.68,-38.33,6.55,246.61,1,0.0268,0.0076,25.65,38.48,3.21,243.27,0,0.0,0.0052,63.59,-52.52,7.9,247.95,1,0.0168,0.0185,10.43,74.98,6.13,246.19,1,0.0289,0.005,30.42,27.05,5.14,245.2,1,0.0317,0.0,41.69,0.0,1.4
