Instance,Plan,N_cust,K_routes,Travel_km,Fixed_cost,none_rec,none_TBC,none_S,none_HO,none_fail,v1_end_rec,v1_end_TBC,v1_end_S,v1_end_HO,v1_end_fail,v1_end_saving,v1_end_gap,v1_myo_rec,v1_myo_TBC,v1_myo_S,v1_myo_HO,v1_myo_fail,v1_myo_saving,v1_myo_gap,fb_tau_rec,fb_tau_TBC,fb_tau_S,fb_tau_HO,fb_tau_fail,fb_tau_saving,fb_tau_gap,pi1_rec,pi1_TBC,pi1_S,pi1_HO,pi1_fail,pi1_saving,pi1_gap,pi2_rec,pi2_TBC,pi2_S,pi2_HO,pi2_fail,pi2_saving,pi2_gap,pi3_rec,pi3_TBC,pi3_S,pi3_HO,pi3_fail,pi3_saving,pi3_gap,rollout_rec,rollout_TBC,rollout_S,rollout_HO,rollout_fail,rollout_saving,rollout_gap,restock_rec,restock_TBC,restock_S,restock_HO,restock_fail,restock_saving,restock_gap,v2_lsm_rec,v2_lsm_TBC,v2_lsm_S,v2_lsm_HO,v2_lsm_fail,v2_lsm_saving,v2_lsm_gap,v2_act_rec,v2_act_TBC,v2_act_S,v2_act_HO,v2_act_fail,v2_act_saving,v2_act_gap,dp_n_rec,dp_n_TBC,dp_n_S,dp_n_HO,dp_n_fail,dp_n_saving,dp_n_gap,dp_xl_rec,dp_xl_TBC,dp_xl_S,dp_xl_HO,dp_xl_fail,dp_xl_saving,dp_xl_gap,oracle_rec,oracle_TBC,oracle_S,oracle_HO,oracle_fail,oracle_saving,solve_s,eval_s
CON3-0,Det,50,4,617.59,201.76,117.89,319.65,0,0.0,0.2606,98.22,299.98,2,0.1487,0.1285,16.68,35.96,118.81,320.57,2,0.2744,0.0959,-0.79,103.02,97.75,299.51,2,0.1457,0.1281,17.08,34.42,101.35,303.11,2,0.1825,0.1215,14.02,46.16,100.46,302.22,2,0.1706,0.1269,14.78,43.26,100.56,302.31,2,0.1271,0.1434,14.7,43.56,108.15,309.91,2,0.2264,0.1001,8.26,68.29,108.93,310.69,1,0.0827,0.2009,7.6,70.83,95.19,296.95,2,0.1676,0.1128,19.26,26.08,93.09,294.85,1,0.0619,0.1218,21.04,19.24,95.68,297.44,2,0.1736,0.1111,18.83,27.69,94.32,296.08,2,0.1665,0.1114,19.99,23.26,87.18,288.94,2,0.1663,0.0944,26.05,0.0,1.4
CON3-0,SAA,50,5,700.38,245.04,13.18,258.22,0,0.0,0.0387,10.39,255.43,1,0.0374,0.0092,21.19,54.87,13.95,258.99,3,0.0632,0.0024,-5.82,112.39,10.37,255.41,1,0.0373,0.0092,21.32,54.59,12.21,257.25,1,0.0228,0.0227,7.37,84.29,10.09,255.13,1,0.027,0.0154,23.41,50.13,10.66,255.7,1,0.0236,0.0178,19.15,59.22,11.85,256.89,2,0.0521,0.0042,10.09,78.51,8.6,253.64,3,0.0669,0.0095,34.73,26.03,9.1,254.14,1,0.0355,0.0073,30.97,34.03,5.51,250.55,0,0.0,0.0051,58.2,-23.97,10.63,255.67,2,0.045,0.006,19.35,58.78,9.15,254.19,1,0.0363,0.0071,30.54,34.95,6.99,252.03,1,0.0387,0.0,46.95,0.0,1.4
CON3-2,Det,50,4,523.46,192.35,135.08,327.43,0,0.0,0.3164,87.49,279.83,3,0.2782,0.0826,35.24,27.68,101.53,293.88,3,0.4038,0.0544,24.83,49.03,86.32,278.67,3,0.2697,0.0834,36.1,25.91,92.7,285.04,3,0.2781,0.0961,31.38,35.6,110.07,302.42,2,0.1797,0.1684,18.51,62.0,103.27,295.61,2,0.1855,0.15,23.55,51.66,97.38,289.73,3,0.3789,0.0571,27.91,42.72,134.38,326.73,0,0.0086,0.3095,0.52,98.94,84.99,277.33,3,0.2769,0.0777,37.08,23.89,84.8,277.14,3,0.2744,0.0769,37.23,23.6,85.45,277.79,3,0.284,0.075,36.74,24.59,84.58,276.92,3,0.276,0.0765,37.39,23.27,69.26,261.61,3,0.2671,0.0493,48.72,0.0,1.4
CON3-2,SAA,50,5,570.07,232.01,8.49,240.5,0,0.0,0.0266,6.49,238.5,1,0.0268,0.0047,23.57,49.2,10.34,242.34,2,0.0515,0.0002,-21.71,146.78,6.52,238.53,1,0.0272,0.0046,23.21,49.98,7.24,239.25,1,0.0223,0.0101,14.77,68.17,6.69,238.69,1,0.0257,0.007,21.27,54.17,6.96,238.96,1,0.0165,0.0127,18.09,61.01,7.79,239.8,1,0.0398,0.0006,8.28,82.15,4.59,236.59,2,0.0445,0.0037,46.01,0.85,5.88,237.88,1,0.0292,0.0026,30.82,33.59,3.29,235.29,0,0.0,0.002,61.31,-32.13,6.85,238.86,1,0.024,0.0085,19.36,58.27,5.61,237.62,1,0.0252,0.0039,33.96,26.82,4.55,236.56,1,0.0266,0.0,46.4,0.0,1.4
CON3-1,Det,50,4,554.47,195.45,151.66,347.11,0,0.0,0.3591,96.89,292.34,3,0.3152,0.0838,36.11,24.68,106.96,302.41,3,0.41,0.0561,29.47,38.53,96.22,291.66,3,0.3126,0.0835,36.56,23.75,101.75,297.2,3,0.3725,0.0699,32.91,31.37,109.12,304.57,3,0.2801,0.1244,28.05,41.5,101.27,296.71,3,0.3111,0.0926,33.23,30.7,103.68,299.13,3,0.3915,0.0585,31.64,34.02,151.59,347.04,1,0.0125,0.3495,0.05,99.91,95.07,290.52,3,0.3126,0.0824,37.31,22.18,94.58,290.03,3,0.3054,0.0816,37.64,21.5,94.54,289.99,3,0.3276,0.0733,37.66,21.45,94.6,290.05,3,0.3224,0.076,37.62,21.54,78.94,274.39,3,0.3086,0.0505,47.95,0.0,1.5
CON3-1,SAA,50,5,616.97,236.7,12.16,248.86,0,0.0,0.0384,9.33,246.02,1,0.0321,0.0106,23.33,50.97,11.58,248.28,2,0.0556,0.0023,4.76,90.01,9.27,245.97,1,0.0339,0.0093,23.8,50.0,10.62,247.32,1,0.0205,0.0222,12.7,73.32,9.48,246.17,1,0.0242,0.0169,22.08,53.6,10.46,247.16,0,0.0148,0.0245,13.99,70.61,9.89,246.59,2,0.047,0.0029,18.65,60.81,6.38,243.08,2,0.0512,0.0087,47.52,0.15,8.21,244.9,1,0.0337,0.008,32.53,31.65,5.03,241.72,0,0.0,0.0052,58.67,-23.29,9.96,246.66,1,0.0311,0.0139,18.13,61.9,7.7,244.4,1,0.036,0.0053,36.66,22.97,6.37,243.07,1,0.0384,0.0,47.59,0.0,1.6
CON3-3,Det,50,4,607.67,200.77,149.34,350.1,0,0.0,0.3635,81.27,282.03,3,0.3341,0.0549,45.58,21.5,105.23,306.0,3,0.5139,0.0044,29.53,49.14,80.36,281.13,3,0.338,0.052,46.19,20.46,86.61,287.37,3,0.3969,0.0378,42.01,27.66,97.13,297.89,3,0.3056,0.1069,34.96,39.79,86.05,286.81,3,0.3585,0.0501,42.38,27.02,93.96,294.73,3,0.4627,0.0074,37.08,36.14,145.91,346.68,1,0.0357,0.3369,2.29,96.05,77.04,277.81,3,0.3556,0.0351,48.41,16.63,75.38,276.15,3,0.3136,0.0389,49.52,14.72,77.96,278.73,3,0.3616,0.0334,47.79,17.69,75.81,276.58,3,0.3708,0.0248,49.24,15.21,62.62,263.39,3,0.3608,0.0027,58.07,0.0,1.4
CON3-3,SAA,50,5,713.82,246.38,15.86,262.24,0,0.0,0.0544,12.45,258.84,2,0.0511,0.0102,21.48,52.58,20.02,266.41,4,0.0944,0.002,-26.23,157.91,12.45,258.84,2,0.0511,0.0102,21.48,52.58,13.26,259.64,2,0.0411,0.0217,16.43,63.73,11.71,258.09,2,0.0488,0.0133,26.18,42.22,11.56,257.95,2,0.0388,0.0178,27.1,40.18,14.67,261.05,3,0.0701,0.004,7.51,83.43,6.82,253.21,3,0.0803,0.0067,56.97,-25.75,10.93,257.32,2,0.0529,0.0082,31.07,31.42,5.45,251.83,0,0.0,0.0051,65.67,-44.95,12.39,258.77,3,0.0617,0.0071,21.91,51.63,10.53,256.91,2,0.0511,0.0078,33.61,25.81,8.68,255.06,2,0.0544,0.0,45.31,0.0,1.4
CON3-5,Det,50,4,593.84,199.38,173.23,372.61,0,0.0,0.3496,122.88,322.26,3,0.3178,0.1185,29.07,37.96,126.79,326.17,3,0.3901,0.0954,26.81,42.78,121.4,320.79,3,0.3234,0.1124,29.92,36.15,131.92,331.3,3,0.4045,0.1015,23.85,49.1,129.05,328.43,3,0.3581,0.1142,25.5,45.56,161.66,361.04,1,0.0799,0.2881,6.68,85.75,125.65,325.04,3,0.3795,0.0981,27.47,41.38,172.33,371.72,1,0.0179,0.3375,0.52,98.89,120.64,320.03,3,0.3164,0.1141,30.36,35.21,120.61,319.99,3,0.31,0.1162,30.38,35.17,122.73,322.11,3,0.3287,0.1133,29.15,37.78,120.74,320.12,3,0.3247,0.111,30.3,35.32,92.07,291.45,3,0.2756,0.074,46.85,0.0,1.4
CON3-5,SAA,50,5,630.37,238.04,7.1,245.13,0,0.0,0.0218,5.12,243.16,1,0.0217,0.0037,27.81,42.25,8.33,246.36,2,0.0398,0.0004,-17.37,136.06,5.12,243.16,1,0.0217,0.0037,27.81,42.25,5.92,243.95,1,0.0189,0.0079,16.63,65.46,5.53,243.57,0,0.012,0.0109,22.07,54.17,5.91,243.94,0,0.0101,0.0125,16.77,65.18,6.15,244.19,1,0.0293,0.0013,13.31,72.36,4.12,242.16,2,0.0339,0.0047,41.94,12.9,4.72,242.76,1,0.0204,0.0038,33.43,30.59,3.03,241.07,0,0.0,0.0032,57.28,-18.94,5.89,243.92,1,0.0253,0.0043,17.04,64.62,4.73,242.77,1,0.0209,0.0035,33.3,30.86,3.68,241.72,1,0.0218,0.0,48.16,0.0,1.4
