Instance,Plan,N_cust,K_routes,Travel_km,Fixed_cost,none_rec,none_TBC,none_S,none_HO,none_fail,v1_end_rec,v1_end_TBC,v1_end_S,v1_end_HO,v1_end_fail,v1_end_saving,v1_end_gap,v1_myo_rec,v1_myo_TBC,v1_myo_S,v1_myo_HO,v1_myo_fail,v1_myo_saving,v1_myo_gap,fb_tau_rec,fb_tau_TBC,fb_tau_S,fb_tau_HO,fb_tau_fail,fb_tau_saving,fb_tau_gap,pi1_rec,pi1_TBC,pi1_S,pi1_HO,pi1_fail,pi1_saving,pi1_gap,pi2_rec,pi2_TBC,pi2_S,pi2_HO,pi2_fail,pi2_saving,pi2_gap,pi3_rec,pi3_TBC,pi3_S,pi3_HO,pi3_fail,pi3_saving,pi3_gap,rollout_rec,rollout_TBC,rollout_S,rollout_HO,rollout_fail,rollout_saving,rollout_gap,restock_rec,restock_TBC,restock_S,restock_HO,restock_fail,restock_saving,restock_gap,v2_lsm_rec,v2_lsm_TBC,v2_lsm_S,v2_lsm_HO,v2_lsm_fail,v2_lsm_saving,v2_lsm_gap,v2_act_rec,v2_act_TBC,v2_act_S,v2_act_HO,v2_act_fail,v2_act_saving,v2_act_gap,dp_n_rec,dp_n_TBC,dp_n_S,dp_n_HO,dp_n_fail,dp_n_saving,dp_n_gap,dp_xl_rec,dp_xl_TBC,dp_xl_S,dp_xl_HO,dp_xl_fail,dp_xl_saving,dp_xl_gap,oracle_rec,oracle_TBC,oracle_S,oracle_HO,oracle_fail,oracle_saving,solve_s,eval_s
CON3-6,SAA,50,5,562.39,231.24,7.22,238.46,0,0.0,0.0242,5.66,236.9,1,0.0235,0.0041,21.62,50.27,7.56,238.8,1,0.0344,0.0022,-4.71,110.83,5.67,236.9,1,0.0235,0.0041,21.57,50.38,6.03,237.27,1,0.0148,0.0116,16.55,61.93,5.75,236.99,1,0.0159,0.0101,20.39,53.1,6.5,237.74,0,0.0109,0.0153,9.94,77.12,6.92,238.16,1,0.0318,0.0023,4.21,90.31,3.19,234.43,2,0.0469,0.0033,55.79,-28.34,5.19,236.43,1,0.0227,0.0043,28.15,35.25,2.23,233.47,0,0.0,0.0034,69.16,-59.08,6.36,237.6,1,0.026,0.0062,12.0,72.39,5.07,236.31,1,0.0231,0.0037,29.83,31.38,4.08,235.32,1,0.0242,0.0,43.47,0.0,1.4
CON3-7,Det,50,4,586.71,198.67,108.21,306.88,0,0.0,0.3183,75.29,273.96,3,0.2924,0.0581,30.43,36.05,85.04,283.71,3,0.402,0.017,21.42,54.99,75.04,273.71,3,0.2706,0.073,30.65,35.57,80.78,279.45,3,0.3083,0.0658,25.35,46.72,84.44,283.11,3,0.2422,0.1171,21.97,53.82,93.01,291.68,1,0.1338,0.1967,14.05,70.47,80.49,279.16,3,0.3725,0.0241,25.62,46.16,106.2,304.87,1,0.0232,0.3033,1.86,96.1,72.33,271.0,3,0.2911,0.0571,33.16,30.31,72.33,271.0,3,0.2911,0.0571,33.16,30.31,72.13,270.8,3,0.2921,0.0555,33.34,29.92,71.47,270.14,3,0.3053,0.046,33.95,28.64,56.73,255.4,3,0.3121,0.0061,47.58,0.0,1.6
CON3-7,SAA,50,5,635.3,238.53,7.48,246.01,0,0.0,0.024,5.99,244.52,1,0.0243,0.004,19.99,54.64,7.36,245.89,1,0.0338,0.0014,1.61,96.35,5.99,244.52,1,0.0243,0.004,19.99,54.64,6.13,244.67,1,0.0215,0.0072,18.01,59.14,6.2,244.73,0,0.0108,0.0139,17.19,60.99,6.48,245.01,1,0.0119,0.0135,13.35,69.72,6.55,245.08,1,0.03,0.0017,12.41,71.83,2.63,241.16,1,0.033,0.0029,64.83,-47.1,5.21,243.74,1,0.0231,0.0036,30.43,30.96,1.95,240.48,0,0.0,0.002,73.91,-67.71,6.81,245.34,1,0.0276,0.0051,8.97,79.64,5.18,243.71,1,0.0217,0.0043,30.79,30.14,4.18,242.72,1,0.024,0.0,44.07,0.0,1.6
CON3-8,Det,50,4,523.05,192.3,96.63,288.94,0,0.0,0.2625,63.97,256.28,2,0.2486,0.0439,33.8,25.62,70.0,262.3,2,0.3143,0.0228,27.57,39.34,63.72,256.02,2,0.2328,0.0521,34.07,25.03,68.99,261.3,2,0.2561,0.0538,28.6,37.05,75.9,268.21,2,0.1939,0.1036,21.45,52.79,81.34,273.65,1,0.1315,0.1446,15.82,65.18,67.51,259.81,2,0.2959,0.0265,30.14,33.67,90.69,283.0,1,0.067,0.2239,6.15,86.47,62.95,255.25,2,0.253,0.0393,34.86,23.29,61.96,254.26,2,0.243,0.0387,35.89,21.03,63.45,255.75,2,0.2518,0.0416,34.34,24.43,62.47,254.77,2,0.2432,0.0433,35.36,22.19,52.72,245.03,2,0.2439,0.0186,45.44,0.0,1.5
CON3-8,SAA,50,5,624.76,237.48,10.72,248.2,0,0.0,0.0356,8.48,245.95,1,0.0331,0.0072,20.95,52.11,11.63,249.1,2,0.0542,0.0011,-8.42,119.26,8.48,245.95,1,0.0331,0.0072,20.95,52.11,9.05,246.53,1,0.0266,0.0148,15.6,64.34,9.42,246.9,1,0.0246,0.0171,12.15,72.21,9.05,246.52,1,0.0236,0.0162,15.64,64.25,9.21,246.68,2,0.0445,0.0018,14.14,67.67,4.13,241.6,2,0.0563,0.0042,61.51,-40.62,7.39,244.87,1,0.0326,0.0059,31.09,28.93,3.05,240.52,0,0.0,0.0036,71.6,-63.7,8.66,246.13,2,0.034,0.0089,19.28,55.92,7.11,244.58,1,0.0326,0.0049,33.7,22.95,6.03,243.51,1,0.0356,0.0,43.74,0.0,1.8
CON3-9,Det,50,4,590.64,199.06,54.57,253.63,0,0.0,0.1838,40.21,239.27,3,0.1547,0.0455,26.31,43.85,48.32,247.38,3,0.2506,0.0081,11.45,75.56,40.24,239.3,3,0.1433,0.0527,26.26,43.97,49.23,248.29,2,0.142,0.0837,9.79,79.11,41.68,240.74,3,0.1641,0.049,23.61,49.61,46.68,245.75,2,0.0827,0.106,14.45,69.17,44.52,243.58,3,0.2229,0.015,18.42,60.7,38.34,237.4,3,0.2045,0.0916,29.74,36.54,37.57,236.64,3,0.1691,0.0324,31.14,33.55,26.04,225.1,0,0.0,0.0375,52.28,-11.56,37.93,237.0,3,0.1749,0.0294,30.48,34.95,37.58,236.64,3,0.1666,0.0336,31.14,33.56,29.0,228.06,3,0.1838,0.0,46.86,0.0,1.4
CON3-9,SAA,50,5,653.43,240.34,7.95,248.29,0,0.0,0.029,5.79,246.13,1,0.0291,0.0032,27.17,37.23,8.68,249.02,2,0.0469,0.001,-9.19,121.22,5.79,246.13,1,0.0291,0.0032,27.17,37.23,6.3,246.64,1,0.024,0.0092,20.76,52.04,6.03,246.38,1,0.0236,0.0083,24.08,44.35,6.27,246.61,1,0.0162,0.0134,21.08,51.3,7.56,247.9,2,0.0405,0.0014,4.9,88.67,2.28,242.63,2,0.0526,0.0015,71.25,-64.61,5.3,245.65,1,0.0263,0.0042,33.25,23.18,1.81,242.15,0,0.0,0.0019,77.24,-78.47,6.16,246.5,1,0.0238,0.0085,22.48,48.05,5.29,245.63,1,0.0274,0.0033,33.44,22.74,4.51,244.85,1,0.029,0.0,43.28,0.0,1.4
CON8-0,Det,50,9,871.84,402.18,270.34,672.53,0,0.0,0.4549,223.83,626.01,7,0.3169,0.1933,17.21,50.12,232.29,634.47,7,0.3896,0.1617,14.08,59.19,224.01,626.19,7,0.3118,0.1971,17.14,50.31,243.87,646.05,5,0.2677,0.2572,9.79,71.61,237.96,640.15,6,0.2523,0.2567,11.98,65.28,242.46,644.65,4,0.1805,0.3025,10.31,70.1,226.45,628.63,7,0.3693,0.1672,16.24,52.93,257.24,659.42,3,0.1272,0.404,4.85,85.94,221.69,623.87,7,0.3309,0.1838,18.0,47.82,216.56,618.75,6,0.3074,0.1822,19.89,42.33,222.23,624.41,7,0.3242,0.1883,17.8,48.4,222.1,624.29,7,0.3199,0.1911,17.84,48.27,177.09,579.28,8,0.3567,0.0982,34.49,0.0,1.5
CON8-0,SAA,50,15,1164.19,641.42,18.79,660.2,0,0.0,0.0218,17.73,659.15,1,0.0128,0.0128,5.62,86.7,18.0,659.42,1,0.0158,0.0113,4.2,90.07,17.73,659.15,1,0.0128,0.0128,5.62,86.7,17.33,658.75,1,0.0085,0.015,7.75,81.67,17.46,658.88,1,0.0065,0.0164,7.06,83.28,17.58,659.0,1,0.0063,0.0166,6.39,84.87,17.83,659.25,1,0.0141,0.0121,5.1,87.93,12.11,653.53,3,0.0374,0.009,35.52,15.92,16.98,658.4,1,0.0113,0.013,9.59,77.3,12.02,653.44,0,0.0018,0.0079,36.01,14.76,17.81,659.23,1,0.0129,0.0131,5.18,87.75,17.08,658.5,1,0.01,0.0139,9.09,78.49,10.85,652.27,2,0.0218,0.0,42.25,0.0,1.3
CON8-1,Det,50,9,740.93,389.09,265.04,654.13,0,0.0,0.4544,221.79,610.88,6,0.2894,0.2217,16.32,52.34,227.21,616.3,7,0.3761,0.1792,14.27,58.31,220.85,609.94,6,0.2886,0.2204,16.67,51.31,237.58,626.67,6,0.2943,0.2471,10.36,69.74,235.88,624.98,5,0.2162,0.2839,11.0,67.87,233.42,622.51,4,0.2116,0.2842,11.93,65.15,224.97,614.06,6,0.3453,0.1931,15.12,55.85,248.23,637.32,3,0.1126,0.4012,6.34,81.48,220.39,609.49,6,0.308,0.2089,16.84,50.81,212.18,601.28,4,0.1891,0.2293,19.94,41.76,222.64,611.74,6,0.3093,0.212,16.0,53.29,220.57,609.67,6,0.2989,0.2142,16.78,51.0,174.29,563.38,7,0.3378,0.1166,34.24,0.0,1.4
CON8-1,SAA,50,14,963.63,586.36,28.56,614.92,0,0.0,0.0357,24.97,611.33,2,0.0244,0.0171,12.57,69.96,26.08,612.44,3,0.0296,0.015,8.7,79.22,24.99,611.36,2,0.0243,0.0172,12.48,70.16,26.13,612.49,2,0.0173,0.0226,8.51,79.67,25.85,612.21,2,0.0148,0.0239,9.48,77.33,25.81,612.17,1,0.0134,0.0246,9.64,76.96,25.74,612.1,3,0.0279,0.0157,9.87,76.4,16.71,603.07,5,0.0523,0.0137,41.49,0.82,24.74,611.1,2,0.0236,0.0175,13.37,68.03,13.58,599.94,0,0.0,0.0088,52.45,-25.36,25.42,611.78,2,0.0221,0.0193,11.01,73.69,24.37,610.74,2,0.0221,0.0179,14.66,64.96,16.61,602.97,3,0.0349,0.0008,41.84,0.0,1.3
