Instance,Plan,N_cust,K_routes,Travel_km,Fixed_cost,none_rec,none_TBC,none_S,none_HO,none_fail,v1_end_rec,v1_end_TBC,v1_end_S,v1_end_HO,v1_end_fail,v1_end_saving,v1_end_gap,v1_myo_rec,v1_myo_TBC,v1_myo_S,v1_myo_HO,v1_myo_fail,v1_myo_saving,v1_myo_gap,fb_tau_rec,fb_tau_TBC,fb_tau_S,fb_tau_HO,fb_tau_fail,fb_tau_saving,fb_tau_gap,pi1_rec,pi1_TBC,pi1_S,pi1_HO,pi1_fail,pi1_saving,pi1_gap,pi2_rec,pi2_TBC,pi2_S,pi2_HO,pi2_fail,pi2_saving,pi2_gap,pi3_rec,pi3_TBC,pi3_S,pi3_HO,pi3_fail,pi3_saving,pi3_gap,rollout_rec,rollout_TBC,rollout_S,rollout_HO,rollout_fail,rollout_saving,rollout_gap,restock_rec,restock_TBC,restock_S,restock_HO,restock_fail,restock_saving,restock_gap,v2_lsm_rec,v2_lsm_TBC,v2_lsm_S,v2_lsm_HO,v2_lsm_fail,v2_lsm_saving,v2_lsm_gap,v2_act_rec,v2_act_TBC,v2_act_S,v2_act_HO,v2_act_fail,v2_act_saving,v2_act_gap,dp_n_rec,dp_n_TBC,dp_n_S,dp_n_HO,dp_n_fail,dp_n_saving,dp_n_gap,dp_xl_rec,dp_xl_TBC,dp_xl_S,dp_xl_HO,dp_xl_fail,dp_xl_saving,dp_xl_gap,oracle_rec,oracle_TBC,oracle_S,oracle_HO,oracle_fail,oracle_saving,solve_s,eval_s
SCA8-2,MDRO,50,17,1668.48,761.85,5.19,767.04,0,0.0,0.0049,5.36,767.21,1,0.0052,0.0021,-3.3,107.72,5.31,767.15,1,0.0052,0.002,-2.25,105.25,5.37,767.22,1,0.0051,0.0021,-3.5,108.18,4.77,766.62,0,0.0028,0.0029,8.05,81.19,4.99,766.84,0,0.0022,0.0035,3.81,91.1,5.0,766.85,0,0.0022,0.0035,3.66,91.43,5.17,767.02,1,0.0048,0.0021,0.32,99.25,3.82,765.66,1,0.0071,0.0022,26.48,38.07,5.1,766.95,1,0.0046,0.0022,1.76,95.89,3.73,765.58,0,0.0002,0.0017,28.16,34.15,5.19,767.04,0,0.0,0.0049,0.0,100.0,4.78,766.63,0,0.0019,0.0035,7.93,81.45,2.97,764.82,0,0.0049,0.0,42.76,0.0,1.8
SCA8-3,Det,50,9,1020.1,417.01,244.92,661.93,0,0.0,0.3945,204.49,621.5,7,0.2867,0.1682,16.51,53.6,212.75,629.76,7,0.3821,0.1256,13.13,63.09,204.37,621.38,7,0.2878,0.1677,16.55,53.47,218.7,635.71,5,0.2214,0.2254,10.7,69.91,221.5,638.51,5,0.1842,0.2508,9.56,73.12,220.22,637.23,5,0.1743,0.2502,10.08,71.65,205.8,622.81,7,0.3383,0.1402,15.97,55.11,230.05,647.06,3,0.1007,0.3436,6.07,82.93,202.32,619.33,6,0.2796,0.1698,17.39,51.12,194.37,611.38,5,0.2014,0.1759,20.64,41.99,204.48,621.5,6,0.2882,0.1678,16.51,53.6,200.18,617.19,7,0.2856,0.1627,18.27,48.66,157.78,574.79,8,0.3126,0.0819,35.58,0.0,1.9
SCA8-3,SAA,50,14,1385.92,628.59,20.75,649.34,0,0.0,0.0255,18.5,647.09,1,0.0126,0.0153,10.87,73.72,19.03,647.63,2,0.0166,0.0135,8.28,79.98,18.46,647.06,1,0.0125,0.0154,11.02,73.35,18.92,647.51,1,0.01,0.0173,8.82,78.66,19.41,648.0,1,0.0083,0.019,6.47,84.36,19.32,647.91,1,0.0082,0.0188,6.91,83.28,18.72,647.32,1,0.0154,0.0139,9.77,76.37,13.3,641.89,3,0.0375,0.0099,35.92,13.13,18.29,646.88,1,0.0139,0.0144,11.86,71.32,11.73,640.33,0,0.0,0.0078,43.45,-5.09,19.69,648.28,1,0.0102,0.0182,5.12,87.61,18.14,646.73,1,0.0144,0.014,12.58,69.57,12.17,640.76,2,0.0249,0.0006,41.35,0.0,1.8
SCA8-3,WDRO,50,17,1584.1,753.41,3.17,756.58,0,0.0,0.0032,3.25,756.66,0,0.0024,0.0019,-2.74,106.49,3.45,756.86,0,0.0031,0.0017,-8.85,120.99,3.25,756.66,0,0.0024,0.0019,-2.74,106.49,3.03,756.44,0,0.0014,0.0022,4.27,89.87,2.96,756.37,0,0.0009,0.0025,6.71,84.09,2.92,756.33,0,0.001,0.0024,7.75,81.61,3.44,756.85,0,0.003,0.0018,-8.51,120.19,2.15,755.56,0,0.0047,0.0014,32.19,23.67,3.34,756.75,0,0.0024,0.002,-5.55,113.16,2.09,755.5,0,0.0,0.0014,34.1,19.12,3.17,756.58,0,0.0,0.0032,0.0,100.0,2.89,756.3,0,0.0017,0.002,8.69,79.4,1.83,755.24,0,0.0032,0.0,42.17,0.0,1.6
SCA8-3,Gounaris,50,14,1341.74,624.17,23.18,647.36,0,0.0,0.0282,20.96,645.13,2,0.0174,0.0152,9.59,76.48,21.84,646.01,2,0.0224,0.0131,5.79,85.79,20.96,645.13,2,0.0174,0.0152,9.59,76.48,21.02,645.19,1,0.0131,0.0178,9.33,77.11,21.35,645.53,1,0.0098,0.0202,7.88,80.66,21.22,645.39,1,0.0102,0.0198,8.48,79.19,21.58,645.75,2,0.0209,0.0138,6.91,83.05,14.66,638.83,3,0.0332,0.0115,36.77,9.81,20.62,644.8,1,0.0168,0.0153,11.03,72.94,12.85,637.02,0,0.0,0.0078,44.58,-9.36,21.62,645.8,1,0.0132,0.0187,6.72,83.53,20.31,644.48,2,0.0174,0.0146,12.38,69.62,13.73,637.91,2,0.0278,0.0005,40.76,0.0,1.9
SCA8-3,Cui,50,14,1323.01,622.3,28.91,651.21,0,0.0,0.034,25.53,647.83,2,0.0192,0.0188,11.67,68.93,26.14,648.44,2,0.024,0.0167,9.56,74.55,25.57,647.87,2,0.0193,0.0188,11.55,69.26,26.95,649.25,1,0.0121,0.0245,6.76,82.01,26.44,648.74,1,0.0099,0.0253,8.54,77.27,26.36,648.66,1,0.0103,0.0249,8.8,76.58,25.75,648.05,2,0.0214,0.0178,10.94,70.9,18.86,641.16,4,0.0375,0.0148,34.77,7.46,25.15,647.46,2,0.0189,0.0187,12.98,65.46,16.94,639.24,0,0.0,0.0118,41.41,-10.22,26.58,648.88,1,0.0146,0.0227,8.04,78.6,24.87,647.18,2,0.0197,0.0179,13.95,62.88,18.05,640.35,3,0.0303,0.0037,37.57,0.0,1.7
SCA8-3,MDRO,50,17,1547.55,749.75,4.05,753.81,0,0.0,0.0041,4.07,753.82,0,0.0032,0.0022,-0.38,100.93,4.2,753.95,0,0.0038,0.0021,-3.52,108.59,4.07,753.82,0,0.0032,0.0022,-0.38,100.93,3.66,753.42,0,0.002,0.0026,9.64,76.44,3.76,753.51,0,0.0014,0.003,7.26,82.26,3.74,753.49,0,0.0015,0.003,7.88,80.75,4.22,753.97,0,0.0036,0.0022,-4.05,109.89,2.46,752.21,1,0.0055,0.0016,39.34,3.83,3.95,753.71,0,0.0029,0.0024,2.55,93.76,2.32,752.08,0,0.0,0.0015,42.65,-4.27,4.05,753.81,0,0.0,0.0041,0.0,100.0,3.69,753.45,0,0.002,0.0026,8.87,78.32,2.4,752.15,0,0.0041,0.0,40.91,0.0,1.7
SCA8-5,Det,50,9,1043.73,419.37,245.15,664.52,0,0.0,0.3984,193.42,612.79,7,0.3062,0.1408,21.1,51.12,202.0,621.37,8,0.4358,0.076,17.6,59.23,192.82,612.19,7,0.3024,0.1419,21.35,50.56,205.36,624.73,7,0.2961,0.1642,16.23,62.41,217.91,637.29,5,0.1837,0.2517,11.11,74.27,205.44,624.81,6,0.2729,0.1751,16.2,62.48,196.45,615.82,8,0.4013,0.0894,19.87,53.99,236.82,656.19,2,0.0461,0.3677,3.4,92.13,189.28,608.65,7,0.3509,0.1114,22.79,47.21,187.52,606.89,7,0.3432,0.1103,23.51,45.55,191.91,611.28,7,0.3448,0.1188,21.72,49.7,189.56,608.94,7,0.3455,0.1147,22.67,47.48,139.31,558.68,8,0.3762,0.0222,43.17,0.0,1.9
SCA8-5,SAA,50,14,1504.16,640.42,27.38,667.79,0,0.0,0.0319,24.82,665.23,2,0.0181,0.0184,9.35,76.42,25.7,666.11,2,0.0238,0.0159,6.13,84.53,24.8,665.22,2,0.0181,0.0184,9.4,76.29,25.59,666.01,1,0.0111,0.0232,6.52,83.55,25.81,666.23,1,0.0097,0.0244,5.71,85.59,25.51,665.93,1,0.0103,0.0238,6.8,82.84,25.24,665.66,2,0.022,0.0165,7.79,80.35,18.99,659.4,4,0.0451,0.0138,30.65,22.7,24.44,664.85,2,0.0193,0.0173,10.74,72.9,16.68,657.1,0,0.0009,0.0106,39.06,1.46,25.97,666.39,2,0.0169,0.0205,5.14,87.04,24.01,664.42,2,0.0172,0.0181,12.31,68.94,16.52,656.94,3,0.03,0.0019,39.64,0.0,1.7
SCA8-5,WDRO,50,17,1644.38,759.44,4.14,763.58,0,0.0,0.0041,4.07,763.5,0,0.0031,0.0022,1.83,95.1,4.41,763.85,0,0.0035,0.0023,-6.55,117.54,4.08,763.51,0,0.003,0.0022,1.6,95.73,4.29,763.73,0,0.0025,0.0028,-3.57,109.55,3.89,763.33,0,0.001,0.0033,6.1,83.68,3.92,763.36,0,0.0009,0.0033,5.4,85.54,4.39,763.83,0,0.0034,0.0023,-6.08,116.28,3.21,762.65,1,0.0068,0.0019,22.41,39.99,4.09,763.53,0,0.0028,0.0024,1.16,96.88,3.07,762.5,0,0.0,0.0019,25.97,30.45,4.14,763.58,0,0.0,0.0041,0.0,100.0,3.87,763.31,0,0.0015,0.003,6.54,82.48,2.6,762.03,0,0.0037,0.0004,37.34,0.0,1.6
