Route,Metro,n_stops,scenario,monitor,false_rate,detect_rate,mean_delay
RouteID_0033,DLA,98,traffic_mild,ph_match,0.08333333333333333,0.3333333333333333,140.5
RouteID_0033,DLA,98,traffic_severe,tempo2,0.0,1.0,11.25
RouteID_0033,DLA,98,traffic_severe,cusum_match,0.0,1.0,78.33333333333333
RouteID_0033,DLA,98,traffic_severe,ph_match,0.0,1.0,85.66666666666667
RouteID_0033,DLA,98,demand_mild,tempo2,0.08333333333333333,0.4166666666666667,235.8
RouteID_0033,DLA,98,demand_mild,cusum_match,0.08333333333333333,0.16666666666666666,284.0
RouteID_0033,DLA,98,demand_mild,ph_match,0.08333333333333333,0.16666666666666666,284.0
RouteID_0033,DLA,98,demand_severe,tempo2,0.08333333333333333,0.9166666666666666,40.90909090909091
RouteID_0033,DLA,98,demand_severe,cusum_match,0.08333333333333333,0.9166666666666666,162.27272727272728
RouteID_0033,DLA,98,demand_severe,ph_match,0.08333333333333333,0.75,299.44444444444446
RouteID_0033,DLA,98,dwell_mild,tempo2,0.0,1.0,38.0
RouteID_0033,DLA,98,dwell_mild,cusum_match,0.0,1.0,177.33333333333334
RouteID_0033,DLA,98,dwell_mild,ph_match,0.0,0.4166666666666667,172.2
RouteID_0033,DLA,98,dwell_severe,tempo2,0.0,1.0,7.5
RouteID_0033,DLA,98,dwell_severe,cusum_match,0.0,1.0,48.75
RouteID_0033,DLA,98,dwell_severe,ph_match,0.0,1.0,46.0
RouteID_0033,DLA,98,accident_mild,tempo2,0.08333333333333333,0.25,147.66666666666666
RouteID_0033,DLA,98,accident_mild,cusum_match,0.0,0.25,147.66666666666666
RouteID_0033,DLA,98,accident_mild,ph_match,0.0,0.25,147.66666666666666
RouteID_0033,DLA,98,accident_severe,tempo2,0.16666666666666666,0.16666666666666666,287.5
RouteID_0033,DLA,98,accident_severe,cusum_match,0.16666666666666666,0.25,193.33333333333334
RouteID_0033,DLA,98,accident_severe,ph_match,0.16666666666666666,0.3333333333333333,250.5
RouteID_0033,DLA,98,breakdown,tempo2,0.0,1.0,32.5
RouteID_0033,DLA,98,breakdown,cusum_match,0.0,1.0,32.5
RouteID_0033,DLA,98,breakdown,ph_match,0.0,1.0,32.5
RouteID_0033,DLA,98,traffic_ramp,tempo2,0.08333333333333333,0.9166666666666666,90.45454545454545
RouteID_0033,DLA,98,traffic_ramp,cusum_match,0.08333333333333333,0.9166666666666666,156.8181818181818
RouteID_0033,DLA,98,traffic_ramp,ph_match,0.08333333333333333,0.9166666666666666,175.9090909090909
RouteID_0033,DLA,98,demand_ramp,tempo2,0.0,1.0,155.0
RouteID_0033,DLA,98,demand_ramp,cusum_match,0.0,0.9166666666666666,311.90909090909093
RouteID_0033,DLA,98,demand_ramp,ph_match,0.0,0.4166666666666667,336.0
RouteID_0033,DLA,98,traffic_transient,tempo2,0.0,1.0,6.25
RouteID_0033,DLA,98,traffic_transient,cusum_match,0.0,1.0,61.25
RouteID_0033,DLA,98,traffic_transient,ph_match,0.0,1.0,64.5
RouteID_0033,DLA,98,traffic_late,tempo2,0.0,1.0,26.666666666666668
RouteID_0033,DLA,98,traffic_late,cusum_match,0.0,1.0,93.91666666666667
RouteID_0033,DLA,98,traffic_late,ph_match,0.0,1.0,109.33333333333333
RouteID_0033,DLA,98,demand_late,tempo2,0.0,1.0,93.33333333333333
RouteID_0033,DLA,98,demand_late,cusum_match,0.0,0.5,235.83333333333334
RouteID_0033,DLA,98,demand_late,ph_match,0.0,0.08333333333333333,143.0
RouteID_0033,DLA,98,storm,tempo2,0.0,1.0,51.916666666666664
RouteID_0033,DLA,98,storm,cusum_match,0.0,1.0,139.25
RouteID_0033,DLA,98,storm,ph_match,0.0,1.0,76.0
RouteID_0033,DLA,98,rush_crush,tempo2,0.08333333333333333,0.9166666666666666,25.363636363636363
RouteID_0033,DLA,98,rush_crush,cusum_match,0.08333333333333333,0.9166666666666666,111.27272727272727
RouteID_0033,DLA,98,rush_crush,ph_match,0.08333333333333333,0.9166666666666666,93.81818181818181
RouteID_0033,DLA,98,black_day,tempo2,0.0,1.0,11.166666666666666
RouteID_0033,DLA,98,black_day,cusum_match,0.0,1.0,66.91666666666667
RouteID_0033,DLA,98,black_day,ph_match,0.0,1.0,26.583333333333332
RouteID_0034,DLA,142,null,tempo2,0.0,,
RouteID_0034,DLA,142,null,cusum_match,0.08333333333333333,,
RouteID_0034,DLA,142,null,ph_match,0.0,,
RouteID_0034,DLA,142,null_rain,tempo2,0.0,,
RouteID_0034,DLA,142,null_rain,cusum_match,0.16666666666666666,,
RouteID_0034,DLA,142,null_rain,ph_match,0.08333333333333333,,
