sweep,scenario,x,seed,none_cost,none_fail,none_ho,v1_myo_cost,v1_myo_fail,v1_myo_ho,v1_myo_saving,v1_myo_gap,v1_tun_cost,v1_tun_fail,v1_tun_ho,v1_tun_saving,v1_tun_gap,fb_tun_cost,fb_tun_fail,fb_tun_ho,fb_tun_saving,fb_tun_gap,v2_lsm_cost,v2_lsm_fail,v2_lsm_ho,v2_lsm_saving,v2_lsm_gap,oracle_cost,oracle_fail,oracle_ho,oracle_saving
cost_ratio,ctd,2.0,0,0.203,0.1015,0.0,0.203,0.1015,0.0,0.0,100.0,0.203,0.1015,0.0,0.0,100.0,0.15908333333333333,0.04158333333333333,0.07591666666666666,21.633825944170777,56.73234811165844,0.15675,0.04033333333333333,0.07608333333333334,22.7832512315271,54.4334975369458,0.1015,0.0,0.1015,50.0
cost_ratio,ctd,2.0,1,0.20983333333333334,0.10491666666666667,0.0,0.20983333333333334,0.10491666666666667,0.0,0.0,100.0,0.20983333333333334,0.10491666666666667,0.0,0.0,100.0,0.16441666666666666,0.03858333333333333,0.08725,21.64416203335982,56.71167593328036,0.16075,0.038,0.08475,23.39158061953932,53.21683876092136,0.10491666666666667,0.0,0.10491666666666667,50.0
cost_ratio,ctd,2.0,2,0.2025,0.10125,0.0,0.2025,0.10125,0.0,0.0,100.0,0.2025,0.10125,0.0,0.0,100.0,0.16008333333333333,0.04075,0.07858333333333334,20.946502057613177,58.106995884773646,0.15616666666666668,0.04133333333333333,0.0735,22.88065843621399,54.23868312757202,0.10125,0.0,0.10125,50.0
cost_ratio,ctd,2.0,3,0.20483333333333334,0.10241666666666667,0.0,0.20483333333333334,0.10241666666666667,0.0,0.0,100.0,0.20483333333333334,0.10241666666666667,0.0,0.0,100.0,0.16266666666666665,0.04725,0.06816666666666667,20.585842148087885,58.82831570382423,0.15833333333333333,0.03841666666666667,0.0815,22.701383238405214,54.59723352318957,0.10241666666666667,0.0,0.10241666666666667,50.0
cost_ratio,ctd,2.0,4,0.20316666666666666,0.10158333333333333,0.0,0.20316666666666666,0.10158333333333333,0.0,0.0,100.0,0.20316666666666666,0.10158333333333333,0.0,0.0,100.0,0.16266666666666665,0.04858333333333333,0.0655,19.934372436423303,60.131255127153395,0.16216666666666665,0.04583333333333333,0.0705,20.180475799835936,59.63904840032812,0.10158333333333333,0.0,0.10158333333333333,50.0
cost_ratio,ctd,5.0,0,0.5075,0.1015,0.0,0.5075,0.1015,0.0,0.0,100.0,0.5075,0.1015,0.0,0.0,100.0,0.25816666666666666,0.02075,0.15441666666666667,49.129720853858785,38.58784893267652,0.24283333333333335,0.021,0.13783333333333334,52.15106732348111,34.81116584564862,0.1015,0.0,0.1015,80.0
cost_ratio,ctd,5.0,1,0.5245833333333333,0.10491666666666667,0.0,0.5245833333333333,0.10491666666666667,0.0,0.0,100.0,0.5245833333333333,0.10491666666666667,0.0,0.0,100.0,0.2615,0.02225,0.15025,50.15091342335186,37.31135822081017,0.24408333333333335,0.020083333333333335,0.14366666666666666,53.47100873709293,33.16123907863384,0.10491666666666667,0.0,0.10491666666666667,80.0
cost_ratio,ctd,5.0,2,0.50625,0.10125,0.0,0.50625,0.10125,0.0,0.0,100.00000000000001,0.50625,0.10125,0.0,0.0,100.00000000000001,0.2604166666666667,0.024416666666666666,0.13833333333333334,48.559670781893,39.30041152263375,0.23716666666666666,0.01875,0.14341666666666666,53.1522633744856,33.559670781893004,0.10125,0.0,0.10125,80.0
cost_ratio,ctd,5.0,3,0.5120833333333333,0.10241666666666667,0.0,0.5120833333333333,0.10241666666666667,0.0,0.0,100.0,0.5120833333333333,0.10241666666666667,0.0,0.0,100.0,0.25883333333333336,0.027,0.12383333333333334,49.45484133441822,38.18144833197723,0.23916666666666667,0.018333333333333333,0.1475,53.295362082994316,33.380797396257115,0.10241666666666667,0.0,0.10241666666666667,80.0
cost_ratio,ctd,5.0,4,0.5079166666666667,0.10158333333333333,0.0,0.5079166666666667,0.10158333333333333,0.0,0.0,100.0,0.5079166666666667,0.10158333333333333,0.0,0.0,100.0,0.26766666666666666,0.025833333333333333,0.1385,47.30106644790813,40.87366694011485,0.2514166666666667,0.025833333333333333,0.12225,50.50041017227236,36.87448728465956,0.10158333333333333,0.0,0.10158333333333333,80.0
cost_ratio,ctd,10.0,0,1.015,0.1015,0.0,1.015,0.1015,0.0,0.0,99.99999999999999,1.015,0.1015,0.0,0.0,99.99999999999999,0.35591666666666666,0.015666666666666666,0.19925,64.93431855500822,27.85075716110199,0.31175,0.0125,0.18675,69.28571428571428,23.015873015873023,0.1015,0.0,0.1015,89.99999999999999
cost_ratio,ctd,10.0,1,1.0491666666666666,0.10491666666666667,0.0,1.0491666666666666,0.10491666666666667,0.0,0.0,100.0,1.0491666666666666,0.10491666666666667,0.0,0.0,100.0,0.35408333333333336,0.012916666666666667,0.22491666666666665,66.25099285146942,26.38778572058954,0.3145833333333333,0.009916666666666667,0.21541666666666667,70.01588562351073,22.204571529432535,0.10491666666666667,0.0,0.10491666666666667,90.0
cost_ratio,ctd,10.0,2,1.0125,0.10125,0.0,1.0125,0.10125,0.0,0.0,100.0,1.0125,0.10125,0.0,0.0,100.0,0.3516666666666667,0.0155,0.19666666666666666,65.26748971193416,27.48056698673983,0.3075,0.008833333333333334,0.21916666666666668,69.62962962962963,22.63374485596708,0.10125,0.0,0.10125,89.99999999999999
cost_ratio,ctd,10.0,3,1.0241666666666667,0.10241666666666667,0.0,1.0241666666666667,0.10241666666666667,0.0,0.0,100.0,1.0241666666666667,0.10241666666666667,0.0,0.0,100.0,0.3475,0.016083333333333335,0.18666666666666668,66.0699755899105,26.58891601121056,0.3140833333333333,0.014166666666666666,0.17241666666666666,69.33279088689993,22.963565681222313,0.10241666666666667,0.0,0.10241666666666667,90.0
