instance,source,profile,policy,N,dimension,alpha,capacity,iterations,repetitions,direction,prep_seconds,explained_variance,effective_rank,entropy_rank,top_share,residual_cvar,calls,coverage,coverage_iqr,certified_feasible,certified_infeasible,fallbacks,mean_pieces,mean_route_length_checked,K,distance,objective_raw,full_gate_seconds,full_gate_iqr,cert_gate_seconds,cert_gate_iqr,gate_speedup,gate_speedup_iqr,full_solver_seconds,full_solver_iqr,cert_solver_seconds,cert_solver_iqr,solver_speedup,solver_speedup_iqr,solver_speedup_with_prep,solver_speedup_with_prep_iqr,audit_checks,identity_pass
CON3-0,CON3-0.vrpspd,moderate,WDRO,50000,10,0.9,686.8838949999999,20,3,SLOPE,0.015218200000163051,0.09943670037888847,1.1986707418972964,1.4508599731607275,0.9103088726315018,4.059642893894834,11132,0.53099173553719,0.014434288938298567,4796,1331,5221,4.069001321502737,11.139333028780264,5,657.7975999999999,845.468774117647,138.06480180001563,33.514285899986135,61.336899300023106,9.796672749985191,1.90699793929572,0.4899714510739779,138.23201879999942,33.55750115000046,61.52117890000045,9.821044450000045,1.903980942406852,0.4890699034360608,1.903460565754653,0.4889074108672973,511,1
CON3-1,CON3-1.vrpspd,moderate,WDRO,50000,10,0.9,787.318705,20,3,SLOPE,0.015488099999856786,0.09961155206479348,1.2470022441669082,1.5133625938216217,0.8903415847225523,4.064959922837222,10858,0.4382181368216369,0.017437434077853364,4021,664,6032,3.7636765518511694,11.76339048965883,5,604.1061,784.4421537254902,127.99879130001136,6.79344380003613,74.4268241000309,5.140242800007854,1.5774566592040613,0.08817382964560161,128.15103140000065,6.8012008499999865,74.58972710000035,5.1359008000004,1.5757457061402667,0.08777738732676132,1.5754185801209177,0.08773919770599825,437,1
CON3-2,CON3-2.vrpspd,moderate,WDRO,50000,10,0.9,726.3204099999999,20,3,SLOPE,0.0171688999998878,0.09985959276913488,1.236793060512684,1.5042194801492956,0.8946219380941445,4.066173022536861,11015,0.4285005457973603,0.03331893872907504,3903,913,6288,4.279051304951871,12.100352256901777,4,542.847,672.9683352156862,123.6178105999652,11.843759899998986,78.19685549999303,4.164708300025268,1.6425569289572883,0.09436235262784254,123.7795543000002,11.862182500000017,78.39410399999997,4.184001250000165,1.640493290117236,0.09406124712819253,1.6400945244148304,0.09404209227739235,578,1
CON3-3,CON3-3.vrpspd,moderate,WDRO,50000,10,0.9,721.988895,20,3,SLOPE,0.015412900000228547,0.09987949867593916,1.2419506593590797,1.5097638777430804,0.8924750946841382,4.060372387354415,10221,0.49955972996771353,0.04173428794290368,4623,633,4962,3.4239311221993933,11.040994031895117,5,647.8456000000001,840.8885027450981,105.46828189999451,6.960765150011412,60.77380049999374,0.6093736500147315,1.7183428572433417,0.12434732942291538,105.60112860000027,6.9704118999993625,60.94051899999977,0.6015358000004198,1.7159541401142646,0.12396168668251306,1.715524486569463,0.12392789638600799,1148,1
CON3-4,CON3-4.vrpspd,moderate,WDRO,50000,10,0.9,745.99077,20,3,SLOPE,0.015233099999932165,0.09900315097529483,1.1966307362713096,1.430954768902077,0.910873213953149,4.061119161872759,11397,0.4993419320873914,0.03616599997371828,4268,1423,5706,4.010090374659998,12.492089322846036,4,651.0677,794.0030694117646,130.60298019997572,2.3574367500796143,70.75449129992012,4.339341999985663,1.853165826592024,0.13104079550750303,130.77949170000102,2.3651125000005777,70.95169329999953,4.331364450001274,1.8502979106523132,0.13057149138996205,1.849899217868454,0.13052480306213754,660,1
CON3-5,CON3-5.vrpspd,moderate,WDRO,50000,10,0.9,656.659255,20,3,SLOPE,0.015525400000115042,0.09937703041838611,1.2863637039263174,1.5642875152970068,0.8745785166612905,4.063766308032132,10444,0.4807909604519774,0.02369976005905211,4301,805,5321,4.354110581901015,12.092467043314501,4,621.086,773.7983689411765,114.62315219993252,5.583505749973483,67.47544930008553,0.6967984000602883,1.702368151609008,0.06651768984350626,114.7720588000011,5.592877550000594,67.64942250000058,0.695903549999457,1.6999437707434926,0.06640578917039974,1.6995529515514305,0.06639421649027932,458,1
CON3-6,CON3-6.vrpspd,moderate,WDRO,50000,10,0.9,623.994265,20,3,SLOPE,0.015582899999571964,0.09965325034405964,1.2093599596045452,1.4697816030435238,0.9059196738136545,4.058616720258482,11101,0.476461038961039,0.016966974703229443,4346,997,5841,3.8792459098081555,12.330661525974026,4,541.0667,666.142874117647,128.8376172000535,11.188611450005737,74.82801509992169,5.551564599916674,1.7731631446948475,0.04355737067743792,128.99692440000035,11.196905050000169,75.01672060000055,5.564594350000334,1.7704051551532662,0.0432373894943785,1.769976570611382,0.043229569944900126,440,1
CON3-7,CON3-7.vrpspd,moderate,WDRO,50000,10,0.9,704.662835,20,3,SLOPE,0.016070699999545468,0.09933405227027733,1.233458657199775,1.486745068374787,0.8957270939952832,4.06948541815667,9176,0.7768090671316478,0.02020888527979503,6709,419,2048,4.249521988527724,10.556451612903226,5,628.8003,835.3763670588236,92.69593799998438,1.016174350053916,27.756667400020888,1.7275536500228554,3.339591769576582,0.24832561348159388,92.82878840000012,1.0173531499995079,27.871718200000032,1.730389649999779,3.33057286722998,0.24714590324752184,3.328653581424719,0.2468807816793075,1400,1
CON3-8,CON3-8.vrpspd,moderate,WDRO,50000,10,0.9,700.331065,20,3,SLOPE,0.01561279999987164,0.10027051132278547,1.1852075107243856,1.4192912228725996,0.915813268744621,4.055452293301624,9997,0.4574372311693508,0.016915635221831204,3642,1084,5424,3.9890069622572373,12.047681188516362,5,567.1672,747.5569352941177,115.11643429993092,5.61122945004081,68.65891679994638,5.230235849969176,1.6766421561142486,0.04080272865836232,115.26999289999912,5.623045400000592,68.84154000000126,5.24508330000117,1.6744249605688224,0.04071869705827158,1.674045298312091,0.04068502084033665,549,1
CON3-9,CON3-9.vrpspd,moderate,WDRO,50000,10,0.9,610.99972,20,3,SLOPE,0.015904399999271845,0.10098495705045772,1.2368548331309623,1.5066934849662141,0.894659131538153,4.0479987506749024,10393,0.4717549141136887,0.040402441479733486,4211,856,5398,4.001154623304147,11.286057923602424,5,618.2960999999999,802.071491372549,111.22416639987932,6.942797599969708,63.49303600003259,4.817737349932031,1.6694806511404918,0.08315156502640342,111.36947879999934,6.936544850000246,63.67935960000068,4.81594159999986,1.6673201000465672,0.08288956441048656,1.6669474352810834,0.08286089409931585,283,1
CON8-0,CON8-0.vrpspd,moderate,WDRO,50000,10,0.9,257.58144999999996,20,3,SLOPE,0.01246530000025814,0.09930310862291775,1.3897769765675818,1.8556040105861447,0.8400079400102235,4.063301856343255,18996,0.7769043875946834,0.01438205289499106,6438,7827,4683,3.1529535864978904,4.608165404220856,12,1031.2475,1481.658317882353,90.73935539994636,9.644296100022984,25.638825400032147,2.927463450025243,3.756997625101684,0.23111229477731987,90.9661787999994,9.662569900000562,25.850500599999577,2.943016350000107,3.733088979382634,0.22881014947914746,3.730897944133326,0.22866226532541445,3198,1
CON8-1,CON8-1.vrpspd,moderate,WDRO,50000,10,0.9,295.244525,20,3,SLOPE,0.01193779999994149,0.09961661185514784,1.3208335522945998,1.7469182986265888,0.864754778436134,4.059034750126642,20527,0.7814212905087028,0.013861885121347783,6934,9318,4355,3.0482291615920496,4.61582306230818,12,856.7024999999999,1289.5090289411764,98.61080300010872,6.16024964994449,24.421793499930573,1.3154143000365366,3.8786306358037392,0.23135863469765283,98.85585829999945,6.194002999999611,24.607282900000428,1.3277528499993423,3.853455323224309,0.22786876618054563,3.851728824533813,0.22773201433122114,1741,1
CON8-2,CON8-2.vrpspd,moderate,WDRO,50000,10,0.9,272.37017499999996,20,3,SLOPE,0.012418000000252505,0.0994266547778447,1.3293707217079862,1.7734472369406047,0.8621280864430639,4.069106684522328,17140,0.7483080513418903,0.016934670583111044,5690,7136,4314,3.0004084014002332,4.792517798148062,12,810.0788000000001,1200.4428056470588,82.17927550004424,12.582208549954885,25.057459599858703,2.2605182500210503,3.620777015350322,0.3372270432879958,82.36710289999974,12.618021899999803,25.262849099999585,2.294767800000045,3.601803643994987,0.33424175994422534,3.599774110013578,0.33412656389852957,1330,1
CON8-3,CON8-3.vrpspd,moderate,WDRO,50000,10,0.9,270.74582499999997,20,3,SLOPE,0.012211500001285458,0.10022945019660758,1.3247246955934266,1.7570981531928846,0.8634733733865682,4.055899411638173,18231,0.776649245636525,0.0349015911124706,5838,8650,4530,3.1344364588556464,4.653288630312592,12,958.3585,1421.6614665882353,87.76903209992633,4.963689049984168,25.976920100001735,2.070343149925975,3.731263957652913,0.29190966765881887,87.93833780000023,4.977260749999914,26.173910800000158,2.0689490999993723,3.7108532516279373,0.28837825008631013,3.7091227516337852,0.28808101936239305,3024,1
CON8-4,CON8-4.vrpspd,moderate,WDRO,50000,10,0.9,279.74656,20,3,SLOPE,0.011803499999587075,0.10116945705803411,1.348818986250112,1.75016144659164,0.853557372223082,4.048491568854,16839,0.7456331158130644,0.006477327373524577,5014,7338,4487,3.030848329048843,5.153912069079164,12,910.5510000000002,1339.3571082352942,89.29164779990424,9.48308174988324,26.501644100180783,3.0770814499210246,3.4768347251152756,0.10830525468951446,89.47863010000037,9.509435900000426,26.69232209999973,3.1024623499997688,3.4578701353968637,0.10707554713696865,3.4564468300599516,0.1068797495046736,1266,1
CON8-5,CON8-5.vrpspd,moderate,WDRO,50000,10,0.9,246.24721,20,3,SLOPE,0.012925299999551498,0.10029497404011149,1.3812001690869125,1.824215482969119,0.8425954086050516,4.064275943508129,20099,0.734544480649913,0.025432336717416737,6778,8001,5947,3.024876859545251,4.780347409709133,12,952.1288999999998,1400.2159068235292,98.82453760011776,6.9648345000923655,32.71645780005019,1.9088329000096564,3.220631425289386,0.15421838991627368,99.04391289999876,6.968606049999835,32.95645510000031,1.8983964500002912,3.2014531495786067,0.15260280787809855,3.200048816654022,0.15253783502072382,1341,1
CON8-6,CON8-6.vrpspd,moderate,WDRO,50000,10,0.9,233.99786,20,3,SLOPE,0.012337800000750576,0.1000552307805023,1.3325290537367154,1.759501082382119,0.8603685592861631,4.053510597097206,20068,0.7872732708790113,0.014804652348694325,7262,8537,4269,3.270729519633247,4.832242784312151,12,792.1108000000002,1165.0560223529412,100.11631909999596,17.98697310003263,25.48736609992011,2.5739694999610947,4.009415195506213,0.3361783496502766,100.35818769999969,18.04256935000012,25.691864300000816,2.612061050000193,3.9833672639449516,0.3308414201404348,3.9814175406022487,0.33083313726213115,1791,1
CON8-7,CON8-7.vrpspd,moderate,WDRO,50000,10,0.9,264.24851,20,3,SLOPE,0.013615600000775885,0.10100447265936306,1.4590047367439547,1.9215603952159064,0.8150201629152629,4.050760223862704,16903,0.7145919679862799,0.0023512372054974584,5555,6439,4885,3.0054362452231014,4.9021723595826785,12,974.3623999999999,1470.1449609411764,82.31408050000027,12.540512350039535,26.315585699878284,4.309110350162882,3.0068164524746326,0.07400508076195278,82.4857125999988,12.571089349999966,26.49099610000121,4.336471450001227,2.9925560512465057,0.07360304379646321,2.9907477089993266,0.07345046233143826,986,1
CON8-8,CON8-8.vrpspd,moderate,WDRO,50000,10,0.9,262.62416,20,3,SLOPE,0.01227660000040487,0.10087799994463717,1.2703806244848888,1.6532420659989058,0.8835173244111778,4.043137829749432,15807,0.787815524767508,0.009392754720448426,4879,7574,3354,3.1393686341494274,4.700955272980325,12,904.0121000000001,1336.9474647058826,76.81683149984747,9.913676250001117,17.31144139996286,3.835294599972258,4.184921388852842,0.39773289458291305,76.96823119999863,9.938500950000162,17.44492690000152,3.8617974999997386,4.159508261516391,0.39519220805999833,4.156118526902561,0.3946163899199693,1696,1
CON8-9,CON8-9.vrpspd,moderate,WDRO,50000,10,0.9,229.12489499999998,20,3,SLOPE,0.012594899999385234,0.09975276630108852,1.4475433446155412,1.933037438776275,0.8199363390773554,4.051589815539084,17808,0.7173899390818314,0.016250612594952196,5798,6925,5085,3.141790206648697,4.717892356967908,12,917.8367000000001,1358.8976392941177,88.0273048998497,16.38628339992556,28.402430699843535,4.2533844999034045,3.4449076125689215,0.22702069398436064,88.21182559999943,16.414165899999716,28.59727269999894,4.283333500000481,3.427217461993359,0.22512646411236847,3.4253933134357655,0.22511475231493172,1435,1
SCA3-0,SCA3-0.vrpspd,moderate,WDRO,50000,10,0.9,700.1325049999999,20,3,SLOPE,0.015637599999536178,0.0996946912148442,1.333237591825673,1.6426422357897994,0.8568522281550002,4.058985095461842,10881,0.5367153754250529,0.025018062422563103,5227,535,5041,4.098445119146196,11.299584033985308,5,700.755,939.7390066666667,116.10955419993661,3.8702669499198237,67.12487829983729,2.554989649943309,1.77000627053965,0.02997934390803647,116.24302110000099,3.8703043999994406,67.29494580000028,2.5530048499995246,1.7676942448774442,0.029837569943786724,1.767283574012231,0.02981397228241689,833,1
SCA3-1,SCA3-1.vrpspd,moderate,WDRO,50000,10,0.9,656.628145,20,3,SLOPE,0.015138999999180669,0.09993867562973295,1.3104386960567433,1.61146811561645,0.865606032126119,4.057819388434456,9832,0.560720097640358,0.03276873202567199,5109,357,4319,4.2652804032766225,11.108905692081496,5,747.0477999999999,1005.8438305882353,92.6719830999973,2.0185946499759666,45.118890999927316,2.375058350134168,2.037371734161963,0.14401503647339853,92.78922029999922,2.017744699999639,45.23978200000056,2.382398650000141,2.0342269885385313,0.14364536107385617,2.0335464843702042,0.14356195130928961,997,1
